; Candidate 3059
; ADRP+ADD at VM 0xfffffff00870ff04 (fileoff 0x170bf04): page=0x1fea22000 add_imm=0xd90

0xfffffff00870fe84: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00870fe88: 301ac1da  autda	x16, x17
0xfffffff00870fe8c: 112f80d2  mov	x17, #0x178
0xfffffff00870fe90: 1002118b  add	x16, x16, x17
0xfffffff00870fe94: 080240f9  ldr	x8, [x16]
0xfffffff00870fe98: e90310aa  mov	x9, x16
0xfffffff00870fe9c: e00313aa  mov	x0, x19
0xfffffff00870fea0: e20319aa  mov	x2, x25
0xfffffff00870fea4: f10309aa  mov	x17, x9
0xfffffff00870fea8: d11ce6f2  movk	x17, #0x30e6, lsl #48
0xfffffff00870feac: 11093fd7  blraa	x8, x17
0xfffffff00870feb0: 80080034  cbz	w0, #0xfffffff00870ffc0
0xfffffff00870feb4: 08008052  mov	w8, #0
0xfffffff00870feb8: 43000014  b	#0xfffffff00870ffc4
0xfffffff00870febc: e80309cb  neg	x8, x9
0xfffffff00870fec0: e8bb00a9  stp	x8, x14, [sp, #8]
0xfffffff00870fec4: 2952ffb0  adrp	x9, #0xfffffff007154000
0xfffffff00870fec8: 29693491  add	x9, x9, #0xd1a
0xfffffff00870fecc: e90300f9  str	x9, [sp]
0xfffffff00870fed0: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870fed4: 00403691  add	x0, x0, #0xd90
0xfffffff00870fed8: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870fedc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870fee0: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870fee4: 63381a91  add	x3, x3, #0x68e
0xfffffff00870fee8: 02008052  mov	w2, #0
0xfffffff00870feec: 918cf097  bl	#0xfffffff008333130
0xfffffff00870fef0: c8268052  mov	w8, #0x136
0xfffffff00870fef4: 2e010014  b	#0xfffffff0087103ac
0xfffffff00870fef8: 0852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff00870fefc: 08491591  add	x8, x8, #0x552
0xfffffff00870ff00: e87300a9  stp	x8, x28, [sp]
0xfffffff00870ff04: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870ff08: 00403691  add	x0, x0, #0xd90
0xfffffff00870ff0c: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ff10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ff14: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870ff18: 63501191  add	x3, x3, #0x454
0xfffffff00870ff1c: 02008052  mov	w2, #0
0xfffffff00870ff20: 848cf097  bl	#0xfffffff008333130
0xfffffff00870ff24: c8278052  mov	w8, #0x13e
0xfffffff00870ff28: 17020014  b	#0xfffffff008710784
0xfffffff00870ff2c: 0852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff00870ff30: 08491591  add	x8, x8, #0x552
0xfffffff00870ff34: e87300a9  stp	x8, x28, [sp]
0xfffffff00870ff38: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870ff3c: 00403691  add	x0, x0, #0xd90
0xfffffff00870ff40: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ff44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ff48: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870ff4c: 63cc1191  add	x3, x3, #0x473
0xfffffff00870ff50: 02008052  mov	w2, #0
0xfffffff00870ff54: 778cf097  bl	#0xfffffff008333130
0xfffffff00870ff58: 0a020014  b	#0xfffffff008710780
0xfffffff00870ff5c: 0852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff00870ff60: 08491591  add	x8, x8, #0x552
0xfffffff00870ff64: e80300f9  str	x8, [sp]
0xfffffff00870ff68: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870ff6c: 00403691  add	x0, x0, #0xd90
0xfffffff00870ff70: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ff74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ff78: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870ff7c: 63541291  add	x3, x3, #0x495
0xfffffff00870ff80: 02008052  mov	w2, #0
