; Candidate 8184
; ADRP+ADD at VM 0xfffffff00889aa3c (fileoff 0x1896a3c): page=0x1fe94f000 add_imm=0xe80

0xfffffff00889a9bc: a04cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889a9c0: 00340791  add	x0, x0, #0x1cd
0xfffffff00889a9c4: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889a9c8: a672d497  bl	#0xfffffff007db7460
0xfffffff00889a9cc: 22000014  b	#0xfffffff00889aa54
0xfffffff00889a9d0: f7650094  bl	#0xfffffff0088b41ac
0xfffffff00889a9d4: fb0300aa  mov	x27, x0
0xfffffff00889a9d8: c0008052  mov	w0, #6
0xfffffff00889a9dc: 9d83ff97  bl	#0xfffffff00887b850
0xfffffff00889a9e0: f5df06a9  stp	x21, x23, [sp, #0x68]
0xfffffff00889a9e4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889a9e8: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff00889a9ec: e80319aa  mov	x8, x25
0xfffffff00889a9f0: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00889a9f4: fc0318aa  mov	x28, x24
0xfffffff00889a9f8: e8031caa  mov	x8, x28
0xfffffff00889a9fc: e90314aa  mov	x9, x20
0xfffffff00889aa00: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00889aa04: e80316aa  mov	x8, x22
0xfffffff00889aa08: b88359f8  ldur	x24, [x29, #-0x68]
0xfffffff00889aa0c: e90318aa  mov	x9, x24
0xfffffff00889aa10: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00889aa14: a84bfff0  adrp	x8, #0xfffffff007211000
0xfffffff00889aa18: 08892c91  add	x8, x8, #0xb22
0xfffffff00889aa1c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889aa20: a84cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889aa24: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889aa28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889aa2c: a80f8052  mov	w8, #0x7d
0xfffffff00889aa30: 234effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889aa34: 63740991  add	x3, x3, #0x25d
0xfffffff00889aa38: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889aa3c: 604afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889aa40: 00003a91  add	x0, x0, #0xe80
0xfffffff00889aa44: 618bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889aa48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889aa4c: 02008052  mov	w2, #0
0xfffffff00889aa50: b861ea97  bl	#0xfffffff008333130
0xfffffff00889aa54: b50319f8  stur	x21, [x29, #-0x70]
0xfffffff00889aa58: ba0b00b4  cbz	x26, #0xfffffff00889abcc
0xfffffff00889aa5c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889aa60: 680b00b4  cbz	x8, #0xfffffff00889abcc
0xfffffff00889aa64: 550b00b4  cbz	x21, #0xfffffff00889abcc
0xfffffff00889aa68: 370b00b4  cbz	x23, #0xfffffff00889abcc
0xfffffff00889aa6c: bc5f38a9  stp	x28, x23, [x29, #-0x80]
0xfffffff00889aa70: 76520129  stp	w22, w20, [x19, #8]
0xfffffff00889aa74: b48317f8  stur	x20, [x29, #-0x88]
0xfffffff00889aa78: 7bc21291  add	x27, x19, #0x4b0
0xfffffff00889aa7c: 34038052  mov	w20, #0x19
0xfffffff00889aa80: e00313aa  mov	x0, x19
0xfffffff00889aa84: e1031baa  mov	x1, x27
0xfffffff00889aa88: 44020094  bl	#0xfffffff00889b398
0xfffffff00889aa8c: e0031baa  mov	x0, x27
0xfffffff00889aa90: 5052fe97  bl	#0xfffffff00882f3d0
0xfffffff00889aa94: 7b230991  add	x27, x27, #0x248
0xfffffff00889aa98: 940600f1  subs	x20, x20, #1
0xfffffff00889aa9c: 21ffff54  b.ne	#0xfffffff00889aa80
0xfffffff00889aaa0: f80316aa  mov	x24, x22
0xfffffff00889aaa4: df060071  cmp	w22, #1
0xfffffff00889aaa8: eb030054  b.lt	#0xfffffff00889ab24
0xfffffff00889aaac: 170080d2  mov	x23, #0
0xfffffff00889aab0: 7b820c91  add	x27, x19, #0x320
0xfffffff00889aab4: 7cc20091  add	x28, x19, #0x30
0xfffffff00889aab8: b4db78a9  ldp	x20, x22, [x29, #-0x78]
