; Candidate 15083
; ADRP+ADD at VM 0xfffffff009a9122c (fileoff 0x2a8d22c): page=0x1fdb7f000 add_imm=0xd5f

0xfffffff009a911ac: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009a911b0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009a911b4: fdc30191  add	x29, sp, #0x70
0xfffffff009a911b8: f40304aa  mov	x20, x4
0xfffffff009a911bc: f50303aa  mov	x21, x3
0xfffffff009a911c0: f60302aa  mov	x22, x2
0xfffffff009a911c4: f80301aa  mov	x24, x1
0xfffffff009a911c8: f30300aa  mov	x19, x0
0xfffffff009a911cc: 99318052  mov	w25, #0x18c
0xfffffff009a911d0: 997ea572  movk	w25, #0x2bf4, lsl #16
0xfffffff009a911d4: 00b840b9  ldr	w0, [x0, #0xb8]
0xfffffff009a911d8: 21f30251  sub	w1, w25, #0xbc
0xfffffff009a911dc: 020080d2  mov	x2, #0
0xfffffff009a911e0: 030080d2  mov	x3, #0
0xfffffff009a911e4: 040080d2  mov	x4, #0
0xfffffff009a911e8: 050080d2  mov	x5, #0
0xfffffff009a911ec: 55030094  bl	#0xfffffff009a91f40
0xfffffff009a911f0: 60ba40b9  ldr	w0, [x19, #0xb8]
0xfffffff009a911f4: e203152a  mov	w2, w21
0xfffffff009a911f8: 21c30551  sub	w1, w25, #0x170
0xfffffff009a911fc: 030080d2  mov	x3, #0
0xfffffff009a91200: 040080d2  mov	x4, #0
0xfffffff009a91204: 050080d2  mov	x5, #0
0xfffffff009a91208: 4e030094  bl	#0xfffffff009a91f40
0xfffffff009a9120c: 68e24239  ldrb	w8, [x19, #0xb8]
0xfffffff009a91210: a8030036  tbz	w8, #0, #0xfffffff009a91284
0xfffffff009a91214: 22f39097  bl	#0xfffffff007ecde9c
0xfffffff009a91218: 60020034  cbz	w0, #0xfffffff009a91264
0xfffffff009a9121c: f7dbfef0  adrp	x23, #0xfffffff007610000
0xfffffff009a91220: f7463691  add	x23, x23, #0xd91
0xfffffff009a91224: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff009a91228: f30300f9  str	x19, [sp]
0xfffffff009a9122c: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a91230: 007c3591  add	x0, x0, #0xd5f
0xfffffff009a91234: 7b17a397  bl	#0xfffffff008357020
0xfffffff009a91238: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff009a9123c: f30300f9  str	x19, [sp]
0xfffffff009a91240: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a91244: 00c00f91  add	x0, x0, #0x3f0
0xfffffff009a91248: 2111fff0  adrp	x1, #0xfffffff007cb8000
0xfffffff009a9124c: 213847f9  ldr	x1, [x1, #0xe70]
0xfffffff009a91250: 03dcfe90  adrp	x3, #0xfffffff007611000
0xfffffff009a91254: 63700091  add	x3, x3, #0x1c
0xfffffff009a91258: 02008052  mov	w2, #0
0xfffffff009a9125c: b587a297  bl	#0xfffffff008333130
0xfffffff009a91260: 09000014  b	#0xfffffff009a91284
0xfffffff009a91264: e80315aa  mov	x8, x21
0xfffffff009a91268: e9dbfef0  adrp	x9, #0xfffffff007610000
0xfffffff009a9126c: 29453691  add	x9, x9, #0xd91
0xfffffff009a91270: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009a91274: f30300f9  str	x19, [sp]
0xfffffff009a91278: e0dbfef0  adrp	x0, #0xfffffff007610000
0xfffffff009a9127c: 007c3591  add	x0, x0, #0xd5f
0xfffffff009a91280: b478a797  bl	#0xfffffff00846f550
0xfffffff009a91284: da578052  mov	w26, #0x2be
0xfffffff009a91288: 1a00bc72  movk	w26, #0xe000, lsl #16
0xfffffff009a9128c: 57cb0011  add	w23, w26, #0x32
0xfffffff009a91290: 1b008052  mov	w27, #0
0xfffffff009a91294: 18050034  cbz	w24, #0xfffffff009a91334
0xfffffff009a91298: f803182a  mov	w24, w24
0xfffffff009a9129c: c10240b9  ldr	w1, [x22]
0xfffffff009a912a0: 700240f9  ldr	x16, [x19]
0xfffffff009a912a4: f10313aa  mov	x17, x19
0xfffffff009a912a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
