; Candidate 6147
; ADRP+ADD at VM 0xfffffff00881753c (fileoff 0x181353c): page=0x1fea07000 add_imm=0xd3f

0xfffffff0088174bc: e04fffb0  adrp	x0, #0xfffffff007214000
0xfffffff0088174c0: 00242491  add	x0, x0, #0x909
0xfffffff0088174c4: 20000014  b	#0xfffffff008817544
0xfffffff0088174c8: 800e8052  mov	w0, #0x74
0xfffffff0088174cc: 81008052  mov	w1, #4
0xfffffff0088174d0: c0900194  bl	#0xfffffff00887b7d0
0xfffffff0088174d4: 200f0034  cbz	w0, #0xfffffff0088176b8
0xfffffff0088174d8: 800e8052  mov	w0, #0x74
0xfffffff0088174dc: cf900194  bl	#0xfffffff00887b818
0xfffffff0088174e0: fc0300aa  mov	x28, x0
0xfffffff0088174e4: 32730294  bl	#0xfffffff0088b41ac
0xfffffff0088174e8: fb0300aa  mov	x27, x0
0xfffffff0088174ec: 80008052  mov	w0, #4
0xfffffff0088174f0: d8900194  bl	#0xfffffff00887b850
0xfffffff0088174f4: 7c0a0034  cbz	w28, #0xfffffff008817640
0xfffffff0088174f8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088174fc: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817500: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817504: e83300f9  str	x8, [sp, #0x60]
0xfffffff008817508: e8031aaa  mov	x8, x26
0xfffffff00881750c: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817510: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff008817514: f86704a9  stp	x24, x25, [sp, #0x40]
0xfffffff008817518: f65f03a9  stp	x22, x23, [sp, #0x30]
0xfffffff00881751c: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817520: 08113691  add	x8, x8, #0xd84
0xfffffff008817524: a9ff8052  mov	w9, #0x7fd
0xfffffff008817528: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881752c: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817530: 080d3491  add	x8, x8, #0xd03
0xfffffff008817534: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008817538: 880e8052  mov	w8, #0x74
0xfffffff00881753c: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff008817540: 00fc3491  add	x0, x0, #0xd3f
0xfffffff008817544: fb2300a9  stp	x27, x8, [sp]
0xfffffff008817548: c67fd697  bl	#0xfffffff007db7460
0xfffffff00881754c: 5b000014  b	#0xfffffff0088176b8
0xfffffff008817550: 17730294  bl	#0xfffffff0088b41ac
0xfffffff008817554: fb0300aa  mov	x27, x0
0xfffffff008817558: 80008052  mov	w0, #4
0xfffffff00881755c: bd900194  bl	#0xfffffff00887b850
0xfffffff008817560: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008817564: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817568: 08553491  add	x8, x8, #0xd15
0xfffffff00881756c: 09ff8052  mov	w9, #0x7f8
0xfffffff008817570: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008817574: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817578: 080d3491  add	x8, x8, #0xd03
0xfffffff00881757c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817580: 880e8052  mov	w8, #0x74
0xfffffff008817584: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008817588: fb0300f9  str	x27, [sp]
0xfffffff00881758c: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008817590: 00003a91  add	x0, x0, #0xe80
0xfffffff008817594: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008817598: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881759c: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088175a0: 63d02b91  add	x3, x3, #0xaf4
0xfffffff0088175a4: 02008052  mov	w2, #0
0xfffffff0088175a8: e26eec97  bl	#0xfffffff008333130
0xfffffff0088175ac: 43000014  b	#0xfffffff0088176b8
0xfffffff0088175b0: 800e8052  mov	w0, #0x74
0xfffffff0088175b4: 81008052  mov	w1, #4
0xfffffff0088175b8: 86900194  bl	#0xfffffff00887b7d0
