; Candidate 2806
; ADRP+ADD at VM 0xfffffff0086e9a34 (fileoff 0x16e5a34): page=0x1fea48000 add_imm=0xd90

0xfffffff0086e99b4: 1f010aeb  cmp	x8, x10
0xfffffff0086e99b8: 61fdff54  b.ne	#0xfffffff0086e9964
0xfffffff0086e99bc: 00008052  mov	w0, #0
0xfffffff0086e99c0: 26000014  b	#0xfffffff0086e9a58
0xfffffff0086e99c4: cad98352  mov	w10, #0x1ece
0xfffffff0086e99c8: 0a686a38  ldrb	w10, [x0, x10]
0xfffffff0086e99cc: 4a040036  tbz	w10, #0, #0xfffffff0086e9a54
0xfffffff0086e99d0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0086e99d4: 08208052  mov	w8, #0x100
0xfffffff0086e99d8: 2953fff0  adrp	x9, #0xfffffff007150000
0xfffffff0086e99dc: 29c50b91  add	x9, x9, #0x2f1
0xfffffff0086e99e0: e8af00a9  stp	x8, x11, [sp, #8]
0xfffffff0086e99e4: e90300f9  str	x9, [sp]
0xfffffff0086e99e8: 4052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e99ec: 00403691  add	x0, x0, #0xd90
0xfffffff0086e99f0: a198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e99f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e99f8: 4352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e99fc: 63ec2791  add	x3, x3, #0x9fb
0xfffffff0086e9a00: 02008052  mov	w2, #0
0xfffffff0086e9a04: cb25f197  bl	#0xfffffff008333130
0xfffffff0086e9a08: 13000014  b	#0xfffffff0086e9a54
0xfffffff0086e9a0c: c8d98352  mov	w8, #0x1ece
0xfffffff0086e9a10: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff0086e9a14: 28696838  ldrb	w8, [x9, x8]
0xfffffff0086e9a18: e8010036  tbz	w8, #0, #0xfffffff0086e9a54
0xfffffff0086e9a1c: 68031a0b  add	w8, w27, w26
0xfffffff0086e9a20: f97301a9  stp	x25, x28, [sp, #0x10]
0xfffffff0086e9a24: e80700f9  str	x8, [sp, #8]
0xfffffff0086e9a28: 2853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086e9a2c: 08c50b91  add	x8, x8, #0x2f1
0xfffffff0086e9a30: e80300f9  str	x8, [sp]
0xfffffff0086e9a34: 4052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e9a38: 00403691  add	x0, x0, #0xd90
0xfffffff0086e9a3c: a198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e9a40: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e9a44: 4352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e9a48: 63102991  add	x3, x3, #0xa44
0xfffffff0086e9a4c: 02008052  mov	w2, #0
0xfffffff0086e9a50: b825f197  bl	#0xfffffff008333130
0xfffffff0086e9a54: 00008012  mov	w0, #-1
0xfffffff0086e9a58: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0086e9a5c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0086e9a60: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0086e9a64: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0086e9a68: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0086e9a6c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0086e9a70: ff430291  add	sp, sp, #0x90
0xfffffff0086e9a74: ff0f5fd6  retab	
0xfffffff0086e9a78: 7f2303d5  pacibsp	
0xfffffff0086e9a7c: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff0086e9a80: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0086e9a84: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0086e9a88: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0086e9a8c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0086e9a90: fd030191  add	x29, sp, #0x40
0xfffffff0086e9a94: f50306aa  mov	x21, x6
0xfffffff0086e9a98: f40305aa  mov	x20, x5
0xfffffff0086e9a9c: f70304aa  mov	x23, x4
0xfffffff0086e9aa0: f30303aa  mov	x19, x3
0xfffffff0086e9aa4: f60302aa  mov	x22, x2
0xfffffff0086e9aa8: f90301aa  mov	x25, x1
0xfffffff0086e9aac: fa0300aa  mov	x26, x0
0xfffffff0086e9ab0: 225862b8  ldr	w2, [x1, w2, uxtw #2]
