; Candidate 12291
; ADRP+ADD at VM 0xfffffff009084464 (fileoff 0x2080464): page=0x1fe3d5000 add_imm=0xe24

0xfffffff0090843e4: 946a2091  add	x20, x20, #0x81a
0xfffffff0090843e8: b51effb0  adrp	x21, #0xfffffff007459000
0xfffffff0090843ec: b52e3f91  add	x21, x21, #0xfcb
0xfffffff0090843f0: 1f290071  cmp	w8, #0xa
0xfffffff0090843f4: a8000054  b.hi	#0xfffffff009084408
0xfffffff0090843f8: f55300a9  stp	x21, x20, [sp]
0xfffffff0090843fc: a01effb0  adrp	x0, #0xfffffff007459000
0xfffffff009084400: 00583191  add	x0, x0, #0xc56
0xfffffff009084404: 074bcb97  bl	#0xfffffff008357020
0xfffffff009084408: 88c3c597  bl	#0xfffffff0081f5228
0xfffffff00908440c: c8024039  ldrb	w8, [x22]
0xfffffff009084410: 1fa10071  cmp	w8, #0x28
0xfffffff009084414: e8020054  b.hi	#0xfffffff009084470
0xfffffff009084418: a81effd0  adrp	x8, #0xfffffff00745a000
0xfffffff00908441c: 08891691  add	x8, x8, #0x5a2
0xfffffff009084420: a91effd0  adrp	x9, #0xfffffff00745a000
0xfffffff009084424: 299d2191  add	x9, x9, #0x867
0xfffffff009084428: 1f000071  cmp	w0, #0
0xfffffff00908442c: 2a11889a  csel	x10, x9, x8, ne
0xfffffff009084430: 6b224139  ldrb	w11, [x19, #0x48]
0xfffffff009084434: 7f010071  cmp	w11, #0
0xfffffff009084438: 0801899a  csel	x8, x8, x9, eq
0xfffffff00908443c: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009084440: f55300a9  stp	x21, x20, [sp]
0xfffffff009084444: a01effd0  adrp	x0, #0xfffffff00745a000
0xfffffff009084448: 00e02091  add	x0, x0, #0x838
0xfffffff00908444c: f54acb97  bl	#0xfffffff008357020
0xfffffff009084450: c8024039  ldrb	w8, [x22]
0xfffffff009084454: 1f290071  cmp	w8, #0xa
0xfffffff009084458: c8000054  b.hi	#0xfffffff009084470
0xfffffff00908445c: f4ff00a9  stp	x20, xzr, [sp, #8]
0xfffffff009084460: f50300f9  str	x21, [sp]
0xfffffff009084464: a01effb0  adrp	x0, #0xfffffff007459000
0xfffffff009084468: 00903891  add	x0, x0, #0xe24
0xfffffff00908446c: ed4acb97  bl	#0xfffffff008357020
0xfffffff009084470: 00008052  mov	w0, #0
0xfffffff009084474: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009084478: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00908447c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009084480: ff430191  add	sp, sp, #0x50
0xfffffff009084484: ff0f5fd6  retab	
0xfffffff009084488: 5f2403d5  bti	c
0xfffffff00908448c: 087845b9  ldr	w8, [x0, #0x578]
0xfffffff009084490: 88000035  cbnz	w8, #0xfffffff0090844a0
0xfffffff009084494: 08e85339  ldrb	w8, [x0, #0x4fa]
0xfffffff009084498: 1f090071  cmp	w8, #2
0xfffffff00908449c: 81000054  b.ne	#0xfffffff0090844ac
0xfffffff0090844a0: 01008052  mov	w1, #0
0xfffffff0090844a4: 01841539  strb	w1, [x0, #0x561]
0xfffffff0090844a8: c0035fd6  ret	
0xfffffff0090844ac: 08044139  ldrb	w8, [x0, #0x41]
0xfffffff0090844b0: 68000034  cbz	w8, #0xfffffff0090844bc
0xfffffff0090844b4: 08084139  ldrb	w8, [x0, #0x42]
0xfffffff0090844b8: 68ffff34  cbz	w8, #0xfffffff0090844a4
0xfffffff0090844bc: 08404139  ldrb	w8, [x0, #0x50]
0xfffffff0090844c0: 3f080071  cmp	w1, #2
0xfffffff0090844c4: 29008052  mov	w9, #1
0xfffffff0090844c8: 2915891a  cinc	w9, w9, eq
0xfffffff0090844cc: 1f050071  cmp	w8, #1
0xfffffff0090844d0: 2110891a  csel	w1, w1, w9, ne
0xfffffff0090844d4: f4ffff17  b	#0xfffffff0090844a4
0xfffffff0090844d8: 5f2403d5  bti	c
0xfffffff0090844dc: 087845b9  ldr	w8, [x0, #0x578]
0xfffffff0090844e0: 68000034  cbz	w8, #0xfffffff0090844ec
