; Candidate 11846
; ADRP+ADD at VM 0xfffffff008fceaa4 (fileoff 0x1fcaaa4): page=0x1fe457000 add_imm=0xdd7

0xfffffff008fcea24: ea2f00a9  stp	x10, x11, [sp]
0xfffffff008fcea28: c022fff0  adrp	x0, #0xfffffff007429000
0xfffffff008fcea2c: 00680591  add	x0, x0, #0x15a
0xfffffff008fcea30: b716d397  bl	#0xfffffff00849450c
0xfffffff008fcea34: 7f2303d5  pacibsp	
0xfffffff008fcea38: ffc300d1  sub	sp, sp, #0x30
0xfffffff008fcea3c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008fcea40: fd830091  add	x29, sp, #0x20
0xfffffff008fcea44: 28cd8152  mov	w8, #0xe69
0xfffffff008fcea48: a922fff0  adrp	x9, #0xfffffff007425000
0xfffffff008fcea4c: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcea50: ca22fff0  adrp	x10, #0xfffffff007429000
0xfffffff008fcea54: 4ad90491  add	x10, x10, #0x136
0xfffffff008fcea58: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008fcea5c: ea2300a9  stp	x10, x8, [sp]
0xfffffff008fcea60: c022fff0  adrp	x0, #0xfffffff007429000
0xfffffff008fcea64: 00d40391  add	x0, x0, #0xf5
0xfffffff008fcea68: a916d397  bl	#0xfffffff00849450c
0xfffffff008fcea6c: 7f2303d5  pacibsp	
0xfffffff008fcea70: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcea74: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcea78: fdc30091  add	x29, sp, #0x30
0xfffffff008fcea7c: 28d68152  mov	w8, #0xeb1
0xfffffff008fcea80: a922fff0  adrp	x9, #0xfffffff007425000
0xfffffff008fcea84: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcea88: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcea8c: ca22fff0  adrp	x10, #0xfffffff007429000
0xfffffff008fcea90: 4ad90c91  add	x10, x10, #0x336
0xfffffff008fcea94: cb22fff0  adrp	x11, #0xfffffff007429000
0xfffffff008fcea98: 6b250c91  add	x11, x11, #0x309
0xfffffff008fcea9c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fceaa0: eb0300f9  str	x11, [sp]
0xfffffff008fceaa4: a022fff0  adrp	x0, #0xfffffff007425000
0xfffffff008fceaa8: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fceaac: 9816d397  bl	#0xfffffff00849450c
0xfffffff008fceab0: 7f2303d5  pacibsp	
0xfffffff008fceab4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fceab8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fceabc: fdc30091  add	x29, sp, #0x30
0xfffffff008fceac0: e8618352  mov	w8, #0x1b0f
0xfffffff008fceac4: a922fff0  adrp	x9, #0xfffffff007425000
0xfffffff008fceac8: 29d93891  add	x9, x9, #0xe36
0xfffffff008fceacc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcead0: ca22ff90  adrp	x10, #0xfffffff007426000
0xfffffff008fcead4: 4aa50891  add	x10, x10, #0x229
0xfffffff008fcead8: eb22ffb0  adrp	x11, #0xfffffff00742b000
0xfffffff008fceadc: 6be13191  add	x11, x11, #0xc78
0xfffffff008fceae0: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fceae4: eb0300f9  str	x11, [sp]
0xfffffff008fceae8: a022fff0  adrp	x0, #0xfffffff007425000
0xfffffff008fceaec: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fceaf0: 8716d397  bl	#0xfffffff00849450c
0xfffffff008fceaf4: 7f2303d5  pacibsp	
0xfffffff008fceaf8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fceafc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fceb00: fdc30091  add	x29, sp, #0x30
0xfffffff008fceb04: 08d98152  mov	w8, #0xec8
0xfffffff008fceb08: a922fff0  adrp	x9, #0xfffffff007425000
0xfffffff008fceb0c: 29d93891  add	x9, x9, #0xe36
0xfffffff008fceb10: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fceb14: ca22fff0  adrp	x10, #0xfffffff007429000
0xfffffff008fceb18: 4afd0e91  add	x10, x10, #0x3bf
0xfffffff008fceb1c: cb22fff0  adrp	x11, #0xfffffff007429000
0xfffffff008fceb20: 6b510e91  add	x11, x11, #0x394
