; Candidate 7920
; ADRP+ADD at VM 0xfffffff008887334 (fileoff 0x1883334): page=0x1fe9a6000 add_imm=0xecf

0xfffffff0088872b4: e0080034  cbz	w0, #0xfffffff0088873d0
0xfffffff0088872b8: e00314aa  mov	x0, x20
0xfffffff0088872bc: 57d1ff97  bl	#0xfffffff00887b818
0xfffffff0088872c0: 9602f837  tbnz	w22, #0x1f, #0xfffffff008887310
0xfffffff0088872c4: d7021b12  and	w23, w22, #0x20
0xfffffff0088872c8: 18000052  eor	w24, w0, #1
0xfffffff0088872cc: b8b30094  bl	#0xfffffff0088b41ac
0xfffffff0088872d0: f60300aa  mov	x22, x0
0xfffffff0088872d4: e00315aa  mov	x0, x21
0xfffffff0088872d8: 5ed1ff97  bl	#0xfffffff00887b850
0xfffffff0088872dc: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff0088872e0: 28030037  tbnz	w8, #0, #0xfffffff008887344
0xfffffff0088872e4: 68264e29  ldp	w8, w9, [x19, #0x70]
0xfffffff0088872e8: 6a2e4f29  ldp	w10, w11, [x19, #0x78]
0xfffffff0088872ec: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0088872f0: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088872f4: e8430191  add	x8, sp, #0x50
0xfffffff0088872f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088872fc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008887300: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008887304: 00383d91  add	x0, x0, #0xf4e
0xfffffff008887308: f65300a9  stp	x22, x20, [sp]
0xfffffff00888730c: 0c000014  b	#0xfffffff00888733c
0xfffffff008887310: 40040034  cbz	w0, #0xfffffff008887398
0xfffffff008887314: e803164b  neg	w8, w22
0xfffffff008887318: 08042837  tbnz	w8, #5, #0xfffffff008887398
0xfffffff00888731c: 68264e29  ldp	w8, w9, [x19, #0x70]
0xfffffff008887320: 6a2e4f29  ldp	w10, w11, [x19, #0x78]
0xfffffff008887324: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008887328: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00888732c: e8430191  add	x8, sp, #0x50
0xfffffff008887330: e84f00a9  stp	x8, x19, [sp]
0xfffffff008887334: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008887338: 003c3b91  add	x0, x0, #0xecf
0xfffffff00888733c: 49c0d497  bl	#0xfffffff007db7460
0xfffffff008887340: 24000014  b	#0xfffffff0088873d0
0xfffffff008887344: 9ab30094  bl	#0xfffffff0088b41ac
0xfffffff008887348: f60300aa  mov	x22, x0
0xfffffff00888734c: e00315aa  mov	x0, x21
0xfffffff008887350: 40d1ff97  bl	#0xfffffff00887b850
0xfffffff008887354: 68264e29  ldp	w8, w9, [x19, #0x70]
0xfffffff008887358: 6a2e4f29  ldp	w10, w11, [x19, #0x78]
0xfffffff00888735c: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff008887360: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008887364: e8430191  add	x8, sp, #0x50
0xfffffff008887368: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00888736c: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff008887370: f60300f9  str	x22, [sp]
0xfffffff008887374: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887378: 00003a91  add	x0, x0, #0xe80
0xfffffff00888737c: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887380: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887384: a34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008887388: 63a83c91  add	x3, x3, #0xf2a
0xfffffff00888738c: 02008052  mov	w2, #0
0xfffffff008887390: 68afea97  bl	#0xfffffff008333130
0xfffffff008887394: 0f000014  b	#0xfffffff0088873d0
0xfffffff008887398: 68264e29  ldp	w8, w9, [x19, #0x70]
0xfffffff00888739c: 6a2e4f29  ldp	w10, w11, [x19, #0x78]
0xfffffff0088873a0: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0088873a4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0088873a8: e8430191  add	x8, sp, #0x50
0xfffffff0088873ac: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088873b0: 004bffd0  adrp	x0, #0xfffffff0071e9000
