; Candidate 4022
; ADRP+ADD at VM 0xfffffff008785a68 (fileoff 0x1781a68): page=0x1fe9ac000 add_imm=0xd90

0xfffffff0087859e8: 202b00b9  str	w0, [x25, #0x28]
0xfffffff0087859ec: e80315aa  mov	x8, x21
0xfffffff0087859f0: e90316aa  mov	x9, x22
0xfffffff0087859f4: b60315b8  stur	w22, [x29, #-0xb0]
0xfffffff0087859f8: 281f0079  strh	w8, [x25, #0xe]
0xfffffff0087859fc: e0031caa  mov	x0, x28
0xfffffff008785a00: 94060091  add	x20, x20, #1
0xfffffff008785a04: a88355f8  ldur	x8, [x29, #-0xa8]
0xfffffff008785a08: 1f0114eb  cmp	x8, x20
0xfffffff008785a0c: 81caff54  b.ne	#0xfffffff00878535c
0xfffffff008785a10: 27feff17  b	#0xfffffff0087852ac
0xfffffff008785a14: f77b00b9  str	w23, [sp, #0x78]
0xfffffff008785a18: b70356b8  ldur	w23, [x29, #-0xa0]
0xfffffff008785a1c: f9ffff17  b	#0xfffffff008785a00
0xfffffff008785a20: 0fd08452  mov	w15, #0x2680
0xfffffff008785a24: 0f250f9b  madd	x15, x8, x15, x9
0xfffffff008785a28: efd14039  ldrb	w15, [x15, #0x34]
0xfffffff008785a2c: ff010071  cmp	w15, #0
0xfffffff008785a30: a009417a  ccmp	w13, #1, #0, eq
0xfffffff008785a34: 8089407a  ccmp	w12, #0, #0, hi
0xfffffff008785a38: ec179f1a  cset	w12, eq
0xfffffff008785a3c: ec9f00b9  str	w12, [sp, #0x9c]
0xfffffff008785a40: ccfdff17  b	#0xfffffff008785170
0xfffffff008785a44: a8a776a9  ldp	x8, x9, [x29, #-0x98]
0xfffffff008785a48: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff008785a4c: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008785a50: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008785a54: c90100b4  cbz	x9, #0xfffffff008785a8c
0xfffffff008785a58: 49d48052  mov	w9, #0x6a2
0xfffffff008785a5c: 484effd0  adrp	x8, #0xfffffff00714f000
0xfffffff008785a60: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008785a64: e82700a9  stp	x8, x9, [sp]
0xfffffff008785a68: 604dff90  adrp	x0, #0xfffffff007131000
0xfffffff008785a6c: 00403691  add	x0, x0, #0xd90
0xfffffff008785a70: c193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008785a74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008785a78: 034eff90  adrp	x3, #0xfffffff007145000
0xfffffff008785a7c: 63042191  add	x3, x3, #0x841
0xfffffff008785a80: 02008052  mov	w2, #0
0xfffffff008785a84: abb5ee97  bl	#0xfffffff008333130
0xfffffff008785a88: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff008785a8c: 0803080b  add	w8, w24, w8
0xfffffff008785a90: 880208ab  adds	x8, x20, x8
0xfffffff008785a94: 03020054  b.lo	#0xfffffff008785ad4
0xfffffff008785a98: 00008012  mov	w0, #-1
0xfffffff008785a9c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008785aa0: c993ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008785aa4: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008785aa8: 290140f9  ldr	x9, [x9]
0xfffffff008785aac: 3f0108eb  cmp	x9, x8
0xfffffff008785ab0: 610d0054  b.ne	#0xfffffff008785c5c
0xfffffff008785ab4: fd7b59a9  ldp	x29, x30, [sp, #0x190]
0xfffffff008785ab8: f44f58a9  ldp	x20, x19, [sp, #0x180]
0xfffffff008785abc: f65757a9  ldp	x22, x21, [sp, #0x170]
0xfffffff008785ac0: f85f56a9  ldp	x24, x23, [sp, #0x160]
0xfffffff008785ac4: fa6755a9  ldp	x26, x25, [sp, #0x150]
0xfffffff008785ac8: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff008785acc: ff830691  add	sp, sp, #0x1a0
0xfffffff008785ad0: ff0f5fd6  retab	
0xfffffff008785ad4: a98354b8  ldur	w9, [x29, #-0xb8]
0xfffffff008785ad8: 2901184b  sub	w9, w9, w24
0xfffffff008785adc: 28a70229  stp	w8, w9, [x25, #0x14]
0xfffffff008785ae0: e9018052  mov	w9, #0xf
0xfffffff008785ae4: c901a072  movk	w9, #0xe, lsl #16
