; Candidate 2231
; ADRP+ADD at VM 0xfffffff0085b884c (fileoff 0x15b484c): page=0x1feb3f000 add_imm=0xecd

0xfffffff0085b87cc: 21f03a91  add	x1, x1, #0xebc
0xfffffff0085b87d0: e00314aa  mov	x0, x20
0xfffffff0085b87d4: f10309aa  mov	x17, x9
0xfffffff0085b87d8: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff0085b87dc: 11093fd7  blraa	x8, x17
0xfffffff0085b87e0: 08a0ffb0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085b87e4: 086541f9  ldr	x8, [x8, #0x2c8]
0xfffffff0085b87e8: 150140f9  ldr	x21, [x8]
0xfffffff0085b87ec: e10315aa  mov	x1, x21
0xfffffff0085b87f0: 41adf497  bl	#0xfffffff0082e3cf4
0xfffffff0085b87f4: a00500b4  cbz	x0, #0xfffffff0085b88a8
0xfffffff0085b87f8: 100040f9  ldr	x16, [x0]
0xfffffff0085b87fc: f10300aa  mov	x17, x0
0xfffffff0085b8800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b8804: 301ac1da  autda	x16, x17
0xfffffff0085b8808: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0085b880c: e90310aa  mov	x9, x16
0xfffffff0085b8810: f10309aa  mov	x17, x9
0xfffffff0085b8814: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff0085b8818: 11093fd7  blraa	x8, x17
0xfffffff0085b881c: 1f000071  cmp	w0, #0
0xfffffff0085b8820: e8079f1a  cset	w8, ne
0xfffffff0085b8824: 76260a91  add	x22, x19, #0x289
0xfffffff0085b8828: 68260a39  strb	w8, [x19, #0x289]
0xfffffff0085b882c: 687a42b9  ldr	w8, [x19, #0x278]
0xfffffff0085b8830: 1f1d0071  cmp	w8, #7
0xfffffff0085b8834: 23010054  b.lo	#0xfffffff0085b8858
0xfffffff0085b8838: 1f000071  cmp	w0, #0
0xfffffff0085b883c: e8079f1a  cset	w8, ne
0xfffffff0085b8840: e959fff0  adrp	x9, #0xfffffff0070f7000
0xfffffff0085b8844: 29a53891  add	x9, x9, #0xe29
0xfffffff0085b8848: e92300a9  stp	x9, x8, [sp]
0xfffffff0085b884c: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b8850: 00343b91  add	x0, x0, #0xecd
0xfffffff0085b8854: f379f697  bl	#0xfffffff008357020
0xfffffff0085b8858: 606640f9  ldr	x0, [x19, #0xc8]
0xfffffff0085b885c: a1018052  mov	w1, #0xd
0xfffffff0085b8860: e20316aa  mov	x2, x22
0xfffffff0085b8864: 23008052  mov	w3, #1
0xfffffff0085b8868: 04008052  mov	w4, #0
0xfffffff0085b886c: d0293094  bl	#0xfffffff0091c2fac
0xfffffff0085b8870: f70300aa  mov	x23, x0
0xfffffff0085b8874: 62264a39  ldrb	w2, [x19, #0x289]
0xfffffff0085b8878: 700240f9  ldr	x16, [x19]
0xfffffff0085b887c: f10313aa  mov	x17, x19
0xfffffff0085b8880: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b8884: 301ac1da  autda	x16, x17
0xfffffff0085b8888: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0085b888c: e90310aa  mov	x9, x16
0xfffffff0085b8890: e159fff0  adrp	x1, #0xfffffff0070f7000
0xfffffff0085b8894: 21003c91  add	x1, x1, #0xf00
0xfffffff0085b8898: e00313aa  mov	x0, x19
0xfffffff0085b889c: f10309aa  mov	x17, x9
0xfffffff0085b88a0: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0085b88a4: 11093fd7  blraa	x8, x17
0xfffffff0085b88a8: 900240f9  ldr	x16, [x20]
0xfffffff0085b88ac: f10314aa  mov	x17, x20
0xfffffff0085b88b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b88b4: 301ac1da  autda	x16, x17
0xfffffff0085b88b8: 112780d2  mov	x17, #0x138
0xfffffff0085b88bc: 1002118b  add	x16, x16, x17
0xfffffff0085b88c0: 080240f9  ldr	x8, [x16]
0xfffffff0085b88c4: e90310aa  mov	x9, x16
0xfffffff0085b88c8: e159fff0  adrp	x1, #0xfffffff0070f7000
