; Candidate 11126
; ADRP+ADD at VM 0xfffffff008e74b40 (fileoff 0x1e70b40): page=0x1496000 add_imm=0xd18

0xfffffff008e74ac0: 10a20c91  add	x16, x16, #0x328
0xfffffff008e74ac4: 10420091  add	x16, x16, #0x10
0xfffffff008e74ac8: f10300aa  mov	x17, x0
0xfffffff008e74acc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74ad0: 300ac1da  pacda	x16, x17
0xfffffff008e74ad4: 100000f9  str	x16, [x0]
0xfffffff008e74ad8: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74adc: 00e03591  add	x0, x0, #0xd78
0xfffffff008e74ae0: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74ae4: 21882b91  add	x1, x1, #0xae2
0xfffffff008e74ae8: e20314aa  mov	x2, x20
0xfffffff008e74aec: 03308052  mov	w3, #0x180
0xfffffff008e74af0: 12bcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74af4: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74af8: 10e21191  add	x16, x16, #0x478
0xfffffff008e74afc: 10420091  add	x16, x16, #0x10
0xfffffff008e74b00: f10300aa  mov	x17, x0
0xfffffff008e74b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74b08: 300ac1da  pacda	x16, x17
0xfffffff008e74b0c: 100000f9  str	x16, [x0]
0xfffffff008e74b10: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e74b14: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e74b18: ff0f5fd6  retab	
0xfffffff008e74b1c: 7f2303d5  pacibsp	
0xfffffff008e74b20: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e74b24: fd030091  mov	x29, sp
0xfffffff008e74b28: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74b2c: 00e03591  add	x0, x0, #0xd78
0xfffffff008e74b30: f1bed197  bl	#0xfffffff0082e46f4
0xfffffff008e74b34: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74b38: 00003591  add	x0, x0, #0xd40
0xfffffff008e74b3c: eebed197  bl	#0xfffffff0082e46f4
0xfffffff008e74b40: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74b44: 00603491  add	x0, x0, #0xd18
0xfffffff008e74b48: ebbed197  bl	#0xfffffff0082e46f4
0xfffffff008e74b4c: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74b50: 00c03391  add	x0, x0, #0xcf0
0xfffffff008e74b54: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e74b58: ff2303d5  autibsp	
0xfffffff008e74b5c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e74b60: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e74b68
0xfffffff008e74b64: 208e38d4  brk	#0xc471
0xfffffff008e74b68: e3bed117  b	#0xfffffff0082e46f4
0xfffffff008e74b6c: 7f2303d5  pacibsp	
0xfffffff008e74b70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e74b74: fd030091  mov	x29, sp
0xfffffff008e74b78: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74b7c: 218c3291  add	x1, x1, #0xca3
0xfffffff008e74b80: a2a400d0  adrp	x2, #0xfffffff00a30a000
0xfffffff008e74b84: 42603891  add	x2, x2, #0xe18
0xfffffff008e74b88: 030c8052  mov	w3, #0x60
0xfffffff008e74b8c: ebbbd197  bl	#0xfffffff0082e3b38
0xfffffff008e74b90: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74b94: 10a21e91  add	x16, x16, #0x7a8
0xfffffff008e74b98: 10420091  add	x16, x16, #0x10
0xfffffff008e74b9c: f10300aa  mov	x17, x0
0xfffffff008e74ba0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74ba4: 300ac1da  pacda	x16, x17
0xfffffff008e74ba8: 100000f9  str	x16, [x0]
0xfffffff008e74bac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e74bb0: ff0f5fd6  retab	
0xfffffff008e74bb4: 5f2403d5  bti	c
0xfffffff008e74bb8: cfbed117  b	#0xfffffff0082e46f4
0xfffffff008e74bbc: 7f2303d5  pacibsp	
