; Candidate 16428
; ADRP+ADD at VM 0xfffffff009e9de5c (fileoff 0x2e99e5c): page=0x1fd998000 add_imm=0xd18

0xfffffff009e9dddc: 4b3f7c97  bl	#0xfffffff007dadb08
0xfffffff009e9dde0: 685643b9  ldr	w8, [x19, #0x354]
0xfffffff009e9dde4: a8000034  cbz	w8, #0xfffffff009e9ddf8
0xfffffff009e9dde8: d6038052  mov	w22, #0x1e
0xfffffff009e9ddec: 17000014  b	#0xfffffff009e9de48
0xfffffff009e9ddf0: d6028052  mov	w22, #0x16
0xfffffff009e9ddf4: e4ffff17  b	#0xfffffff009e9dd84
0xfffffff009e9ddf8: e00313aa  mov	x0, x19
0xfffffff009e9ddfc: e0cb0194  bl	#0xfffffff009f10d7c
0xfffffff009e9de00: 1f0c0071  cmp	w0, #3
0xfffffff009e9de04: 01020054  b.ne	#0xfffffff009e9de44
0xfffffff009e9de08: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009e9de0c: 09e14039  ldrb	w9, [x8, #0x38]
0xfffffff009e9de10: a9013036  tbz	w9, #6, #0xfffffff009e9de44
0xfffffff009e9de14: 08c14039  ldrb	w8, [x8, #0x30]
0xfffffff009e9de18: 68010837  tbnz	w8, #1, #0xfffffff009e9de44
0xfffffff009e9de1c: 08db8352  mov	w8, #0x1ed8
0xfffffff009e9de20: 7602088b  add	x22, x19, x8
0xfffffff009e9de24: e00316aa  mov	x0, x22
0xfffffff009e9de28: 29377c97  bl	#0xfffffff007dabacc
0xfffffff009e9de2c: 77ea5eb9  ldr	w23, [x19, #0x1ee8]
0xfffffff009e9de30: e00316aa  mov	x0, x22
0xfffffff009e9de34: 423a7c97  bl	#0xfffffff007dac73c
0xfffffff009e9de38: b7020034  cbz	w23, #0xfffffff009e9de8c
0xfffffff009e9de3c: 96048052  mov	w22, #0x24
0xfffffff009e9de40: 0a000014  b	#0xfffffff009e9de68
0xfffffff009e9de44: d6028052  mov	w22, #0x16
0xfffffff009e9de48: c8ccfeb0  adrp	x8, #0xfffffff007836000
0xfffffff009e9de4c: 080d0091  add	x8, x8, #3
0xfffffff009e9de50: a9959052  mov	w9, #0x84ad
0xfffffff009e9de54: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009e9de58: e80300f9  str	x8, [sp]
0xfffffff009e9de5c: c0ccfe90  adrp	x0, #0xfffffff007835000
0xfffffff009e9de60: 00603491  add	x0, x0, #0xd18
0xfffffff009e9de64: 7f657c97  bl	#0xfffffff007db7460
0xfffffff009e9de68: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009e9de6c: 1f0115eb  cmp	x8, x21
0xfffffff009e9de70: 80000054  b.eq	#0xfffffff009e9de80
0xfffffff009e9de74: 08ff8352  mov	w8, #0x1ff8
0xfffffff009e9de78: 6002088b  add	x0, x19, x8
0xfffffff009e9de7c: 4b427c97  bl	#0xfffffff007dae7a8
0xfffffff009e9de80: e00314aa  mov	x0, x20
0xfffffff009e9de84: 5e427c97  bl	#0xfffffff007dae7fc
0xfffffff009e9de88: bfffff17  b	#0xfffffff009e9dd84
0xfffffff009e9de8c: e1a30091  add	x1, sp, #0x28
0xfffffff009e9de90: e00313aa  mov	x0, x19
0xfffffff009e9de94: 2a010094  bl	#0xfffffff009e9e33c
0xfffffff009e9de98: 80010034  cbz	w0, #0xfffffff009e9dec8
0xfffffff009e9de9c: c8ccfeb0  adrp	x8, #0xfffffff007836000
0xfffffff009e9dea0: 080d0091  add	x8, x8, #3
0xfffffff009e9dea4: 89969052  mov	w9, #0x84b4
0xfffffff009e9dea8: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009e9deac: e80300f9  str	x8, [sp]
0xfffffff009e9deb0: c8ccfe90  adrp	x8, #0xfffffff007835000
0xfffffff009e9deb4: 08fd3491  add	x8, x8, #0xd3f
0xfffffff009e9deb8: f60300aa  mov	x22, x0
0xfffffff009e9debc: e00308aa  mov	x0, x8
0xfffffff009e9dec0: 68657c97  bl	#0xfffffff007db7460
0xfffffff009e9dec4: 28000014  b	#0xfffffff009e9df64
0xfffffff009e9dec8: e00316aa  mov	x0, x22
0xfffffff009e9decc: 00377c97  bl	#0xfffffff007dabacc
0xfffffff009e9ded0: 68ea5eb9  ldr	w8, [x19, #0x1ee8]
0xfffffff009e9ded4: e8040035  cbnz	w8, #0xfffffff009e9df70
0xfffffff009e9ded8: 48008052  mov	w8, #2
