; Candidate 1310
; ADRP+ADD at VM 0xfffffff00834b8c4 (fileoff 0x13478c4): page=0x1fed58000 add_imm=0xd29

0xfffffff00834b844: 5f6ce997  bl	#0xfffffff007da69c0
0xfffffff00834b848: 68f600f0  adrp	x8, #0xfffffff00a21a000
0xfffffff00834b84c: 08c10191  add	x8, x8, #0x70
0xfffffff00834b850: 09038052  mov	w9, #0x18
0xfffffff00834b854: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00834b858: 28008052  mov	w8, #1
0xfffffff00834b85c: 080800b9  str	w8, [x0, #8]
0xfffffff00834b860: 90affff0  adrp	x16, #0xfffffff00793e000
0xfffffff00834b864: 10822791  add	x16, x16, #0x9e0
0xfffffff00834b868: 10420091  add	x16, x16, #0x10
0xfffffff00834b86c: f10300aa  mov	x17, x0
0xfffffff00834b870: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00834b874: 300ac1da  pacda	x16, x17
0xfffffff00834b878: 100000f9  str	x16, [x0]
0xfffffff00834b87c: 69f600b0  adrp	x9, #0xfffffff00a218000
0xfffffff00834b880: 29c11e91  add	x9, x9, #0x7b0
0xfffffff00834b884: 2a910091  add	x10, x9, #0x24
0xfffffff00834b888: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff00834b88c: 6a000035  cbnz	w10, #0xfffffff00834b898
0xfffffff00834b890: 290940f9  ldr	x9, [x9, #0x10]
0xfffffff00834b894: 89ffffb5  cbnz	x9, #0xfffffff00834b884
0xfffffff00834b898: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00834b89c: ff0f5fd6  retab	
0xfffffff00834b8a0: 7f2303d5  pacibsp	
0xfffffff00834b8a4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00834b8a8: fd030091  mov	x29, sp
0xfffffff00834b8ac: 280040f9  ldr	x8, [x1]
0xfffffff00834b8b0: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff00834b8b4: 89d19652  mov	w9, #0xb68c
0xfffffff00834b8b8: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff00834b8bc: 1f01096b  cmp	w8, w9
0xfffffff00834b8c0: 80000054  b.eq	#0xfffffff00834b8d0
0xfffffff00834b8c4: c06aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff00834b8c8: 00a43491  add	x0, x0, #0xd29
0xfffffff00834b8cc: 115ffe97  bl	#0xfffffff0082e3510
0xfffffff00834b8d0: e0588052  mov	w0, #0x2c7
0xfffffff00834b8d4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00834b8d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00834b8dc: ff0f5fd6  retab	
0xfffffff00834b8e0: 7f2303d5  pacibsp	
0xfffffff00834b8e4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00834b8e8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00834b8ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00834b8f0: fd830091  add	x29, sp, #0x20
0xfffffff00834b8f4: f30300aa  mov	x19, x0
0xfffffff00834b8f8: 080080d2  mov	x8, #0
0xfffffff00834b8fc: f0aefff0  adrp	x16, #0xfffffff00792a000
0xfffffff00834b900: 10221f91  add	x16, x16, #0x7c8
0xfffffff00834b904: 10420091  add	x16, x16, #0x10
0xfffffff00834b908: f10300aa  mov	x17, x0
0xfffffff00834b90c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00834b910: 300ac1da  pacda	x16, x17
0xfffffff00834b914: 100000f9  str	x16, [x0]
0xfffffff00834b918: 090440f9  ldr	x9, [x0, #8]
0xfffffff00834b91c: 350540f9  ldr	x21, [x9, #8]
0xfffffff00834b920: 76f60090  adrp	x22, #0xfffffff00a217000
0xfffffff00834b924: c06647f9  ldr	x0, [x22, #0xec8]
0xfffffff00834b928: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00834b92c: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff00834b930: 0a200091  add	x10, x0, #8
0xfffffff00834b934: 497de8c8  casa	x8, x9, [x10]
0xfffffff00834b938: 1f0100f1  cmp	x8, #0
0xfffffff00834b93c: c10e0054  b.ne	#0xfffffff00834bb14
0xfffffff00834b940: e8f70090  adrp	x8, #0xfffffff00a247000
