; Candidate 15264
; ADRP+ADD at VM 0xfffffff009b45af4 (fileoff 0x2b41af4): page=0x1fdae4000 add_imm=0xe2b

0xfffffff009b45a74: 1f040071  cmp	w0, #1
0xfffffff009b45a78: 81040054  b.ne	#0xfffffff009b45b08
0xfffffff009b45a7c: 700240f9  ldr	x16, [x19]
0xfffffff009b45a80: f10313aa  mov	x17, x19
0xfffffff009b45a84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b45a88: 301ac1da  autda	x16, x17
0xfffffff009b45a8c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b45a90: 1002118b  add	x16, x16, x17
0xfffffff009b45a94: 080240f9  ldr	x8, [x16]
0xfffffff009b45a98: e90310aa  mov	x9, x16
0xfffffff009b45a9c: e00313aa  mov	x0, x19
0xfffffff009b45aa0: 010080d2  mov	x1, #0
0xfffffff009b45aa4: f10309aa  mov	x17, x9
0xfffffff009b45aa8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b45aac: 11093fd7  blraa	x8, x17
0xfffffff009b45ab0: f40300aa  mov	x20, x0
0xfffffff009b45ab4: 700240f9  ldr	x16, [x19]
0xfffffff009b45ab8: f10313aa  mov	x17, x19
0xfffffff009b45abc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b45ac0: 301ac1da  autda	x16, x17
0xfffffff009b45ac4: 114380d2  mov	x17, #0x218
0xfffffff009b45ac8: 1002118b  add	x16, x16, x17
0xfffffff009b45acc: 080240f9  ldr	x8, [x16]
0xfffffff009b45ad0: e90310aa  mov	x9, x16
0xfffffff009b45ad4: e00313aa  mov	x0, x19
0xfffffff009b45ad8: 010080d2  mov	x1, #0
0xfffffff009b45adc: f10309aa  mov	x17, x9
0xfffffff009b45ae0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b45ae4: 11093fd7  blraa	x8, x17
0xfffffff009b45ae8: fae301a9  stp	x26, x24, [sp, #0x18]
0xfffffff009b45aec: e0e700a9  stp	x0, x25, [sp, #8]
0xfffffff009b45af0: f40300f9  str	x20, [sp]
0xfffffff009b45af4: 20d7fe90  adrp	x0, #0xfffffff007629000
0xfffffff009b45af8: 00ac3891  add	x0, x0, #0xe2b
0xfffffff009b45afc: 4945a097  bl	#0xfffffff008357020
0xfffffff009b45b00: b8fa6736  tbz	w24, #0xc, #0xfffffff009b45a54
0xfffffff009b45b04: 4d000014  b	#0xfffffff009b45c38
0xfffffff009b45b08: 88027a92  and	x8, x20, #0x40
0xfffffff009b45b0c: 08fd45d3  lsr	x8, x8, #5
0xfffffff009b45b10: 14011f52  eor	w20, w8, #2
0xfffffff009b45b14: 700240f9  ldr	x16, [x19]
0xfffffff009b45b18: f10313aa  mov	x17, x19
0xfffffff009b45b1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b45b20: 301ac1da  autda	x16, x17
0xfffffff009b45b24: 113d80d2  mov	x17, #0x1e8
0xfffffff009b45b28: 1002118b  add	x16, x16, x17
0xfffffff009b45b2c: 080240f9  ldr	x8, [x16]
0xfffffff009b45b30: e90310aa  mov	x9, x16
0xfffffff009b45b34: e00313aa  mov	x0, x19
0xfffffff009b45b38: 010080d2  mov	x1, #0
0xfffffff009b45b3c: f10309aa  mov	x17, x9
0xfffffff009b45b40: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b45b44: 11093fd7  blraa	x8, x17
0xfffffff009b45b48: 700240f9  ldr	x16, [x19]
0xfffffff009b45b4c: f10313aa  mov	x17, x19
0xfffffff009b45b50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b45b54: 301ac1da  autda	x16, x17
0xfffffff009b45b58: 114380d2  mov	x17, #0x218
0xfffffff009b45b5c: 1002118b  add	x16, x16, x17
0xfffffff009b45b60: 080240f9  ldr	x8, [x16]
0xfffffff009b45b64: e90310aa  mov	x9, x16
0xfffffff009b45b68: e00313aa  mov	x0, x19
0xfffffff009b45b6c: 010080d2  mov	x1, #0
0xfffffff009b45b70: f10309aa  mov	x17, x9
