; Candidate 1823
; ADRP+ADD at VM 0xfffffff00853439c (fileoff 0x153039c): page=0x1febad000 add_imm=0xdd8

0xfffffff00853431c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008534320: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008534324: fd430091  add	x29, sp, #0x10
0xfffffff008534328: 60a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853432c: 00002491  add	x0, x0, #0x900
0xfffffff008534330: 014b8352  mov	w1, #0x1a58
0xfffffff008534334: c1ccf697  bl	#0xfffffff0082e7638
0xfffffff008534338: f30300aa  mov	x19, x0
0xfffffff00853433c: 14ed00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff008534340: 94621891  add	x20, x20, #0x618
0xfffffff008534344: e10314aa  mov	x1, x20
0xfffffff008534348: fff4ff97  bl	#0xfffffff008531744
0xfffffff00853434c: 30a3ffd0  adrp	x16, #0xfffffff00799a000
0xfffffff008534350: 10a20f91  add	x16, x16, #0x3e8
0xfffffff008534354: 10420091  add	x16, x16, #0x10
0xfffffff008534358: f10300aa  mov	x17, x0
0xfffffff00853435c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008534360: 300ac1da  pacda	x16, x17
0xfffffff008534364: 100000f9  str	x16, [x0]
0xfffffff008534368: e00314aa  mov	x0, x20
0xfffffff00853436c: 72c3f697  bl	#0xfffffff0082e5134
0xfffffff008534370: e00313aa  mov	x0, x19
0xfffffff008534374: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008534378: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853437c: ff0f5fd6  retab	
0xfffffff008534380: 5f2403d5  bti	c
0xfffffff008534384: dcc0f617  b	#0xfffffff0082e46f4
0xfffffff008534388: 5f2403d5  bti	c
0xfffffff00853438c: dac0f617  b	#0xfffffff0082e46f4
0xfffffff008534390: 7f2303d5  pacibsp	
0xfffffff008534394: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008534398: fd030091  mov	x29, sp
0xfffffff00853439c: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085343a0: 00603791  add	x0, x0, #0xdd8
0xfffffff0085343a4: a5d3f797  bl	#0xfffffff008329238
0xfffffff0085343a8: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085343ac: 00f502f9  str	x0, [x8, #0x5e8]
0xfffffff0085343b0: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085343b4: 00083891  add	x0, x0, #0xe02
0xfffffff0085343b8: a0d3f797  bl	#0xfffffff008329238
0xfffffff0085343bc: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085343c0: 00f902f9  str	x0, [x8, #0x5f0]
0xfffffff0085343c4: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085343c8: 00883891  add	x0, x0, #0xe22
0xfffffff0085343cc: 9bd3f797  bl	#0xfffffff008329238
0xfffffff0085343d0: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085343d4: 00fd02f9  str	x0, [x8, #0x5f8]
0xfffffff0085343d8: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085343dc: 00e43891  add	x0, x0, #0xe39
0xfffffff0085343e0: 96d3f797  bl	#0xfffffff008329238
0xfffffff0085343e4: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085343e8: 000103f9  str	x0, [x8, #0x600]
0xfffffff0085343ec: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085343f0: 004c3991  add	x0, x0, #0xe53
0xfffffff0085343f4: 91d3f797  bl	#0xfffffff008329238
0xfffffff0085343f8: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085343fc: 000503f9  str	x0, [x8, #0x608]
0xfffffff008534400: 605dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008534404: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008534408: 8cd3f797  bl	#0xfffffff008329238
0xfffffff00853440c: 08ed00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008534410: 000903f9  str	x0, [x8, #0x610]
0xfffffff008534414: 00ed00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008534418: 00601891  add	x0, x0, #0x618
