; Candidate 1067
; ADRP+ADD at VM 0xfffffff0081d58ec (fileoff 0x11d18ec): page=0x1feeaf000 add_imm=0xe0a

0xfffffff0081d586c: 13000014  b	#0xfffffff0081d58b8
0xfffffff0081d5870: 080080d2  mov	x8, #0
0xfffffff0081d5874: 220200b4  cbz	x2, #0xfffffff0081d58b8
0xfffffff0081d5878: 0951218b  add	x9, x8, w1, uxtw #4
0xfffffff0081d587c: 300140f9  ldr	x16, [x9]
0xfffffff0081d5880: b00100b4  cbz	x16, #0xfffffff0081d58b4
0xfffffff0081d5884: ea03012a  mov	w10, w1
0xfffffff0081d5888: 0a110a8b  add	x10, x8, x10, lsl #4
0xfffffff0081d588c: 4a0540f9  ldr	x10, [x10, #8]
0xfffffff0081d5890: 490109ca  eor	x9, x10, x9
0xfffffff0081d5894: f10309aa  mov	x17, x9
0xfffffff0081d5898: 719ae8f2  movk	x17, #0x44d3, lsl #48
0xfffffff0081d589c: 301ac1da  autda	x16, x17
0xfffffff0081d58a0: f10310aa  mov	x17, x16
0xfffffff0081d58a4: f147c1da  xpacd	x17
0xfffffff0081d58a8: 1f0211eb  cmp	x16, x17
0xfffffff0081d58ac: 40000054  b.eq	#0xfffffff0081d58b4
0xfffffff0081d58b0: 408e38d4  brk	#0xc472
0xfffffff0081d58b4: 500000f9  str	x16, [x2]
0xfffffff0081d58b8: e3faffb5  cbnz	x3, #0xfffffff0081d5814
0xfffffff0081d58bc: 09008052  mov	w9, #0
0xfffffff0081d58c0: e00309aa  mov	x0, x9
0xfffffff0081d58c4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0081d58c8: ffc30091  add	sp, sp, #0x30
0xfffffff0081d58cc: ff0f5fd6  retab	
0xfffffff0081d58d0: c8148052  mov	w8, #0xa6
0xfffffff0081d58d4: 6975fff0  adrp	x9, #0xfffffff007084000
0xfffffff0081d58d8: 29653491  add	x9, x9, #0xd19
0xfffffff0081d58dc: 6a75fff0  adrp	x10, #0xfffffff007084000
0xfffffff0081d58e0: 4aa93891  add	x10, x10, #0xe2a
0xfffffff0081d58e4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081d58e8: ea0300f9  str	x10, [sp]
0xfffffff0081d58ec: 6075fff0  adrp	x0, #0xfffffff007084000
0xfffffff0081d58f0: 00283891  add	x0, x0, #0xe0a
0xfffffff0081d58f4: 06fb0a94  bl	#0xfffffff00849450c
0xfffffff0081d58f8: 7f2303d5  pacibsp	
0xfffffff0081d58fc: ffc300d1  sub	sp, sp, #0x30
0xfffffff0081d5900: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081d5904: fd830091  add	x29, sp, #0x20
0xfffffff0081d5908: e00200b4  cbz	x0, #0xfffffff0081d5964
0xfffffff0081d590c: 0b1040b9  ldr	w11, [x0, #0x10]
0xfffffff0081d5910: 0b1400b9  str	w11, [x0, #0x14]
0xfffffff0081d5914: 0a2040b9  ldr	w10, [x0, #0x20]
0xfffffff0081d5918: 5f2d0071  cmp	w10, #0xb
0xfffffff0081d591c: 28140054  b.hi	#0xfffffff0081d5ba0
0xfffffff0081d5920: 28008052  mov	w8, #1
0xfffffff0081d5924: 0821ca1a  lsl	w8, w8, w10
0xfffffff0081d5928: 69fd8052  mov	w9, #0x7eb
0xfffffff0081d592c: 1f01096a  tst	w8, w9
0xfffffff0081d5930: a0090054  b.eq	#0xfffffff0081d5a64
0xfffffff0081d5934: 080040f9  ldr	x8, [x0]
0xfffffff0081d5938: a80100b4  cbz	x8, #0xfffffff0081d596c
0xfffffff0081d593c: f00308aa  mov	x16, x8
0xfffffff0081d5940: f10300aa  mov	x17, x0
0xfffffff0081d5944: b141f6f2  movk	x17, #0xb20d, lsl #48
0xfffffff0081d5948: 301ac1da  autda	x16, x17
0xfffffff0081d594c: f10310aa  mov	x17, x16
0xfffffff0081d5950: f147c1da  xpacd	x17
0xfffffff0081d5954: 1f0211eb  cmp	x16, x17
0xfffffff0081d5958: 40000054  b.eq	#0xfffffff0081d5960
0xfffffff0081d595c: 408e38d4  brk	#0xc472
0xfffffff0081d5960: 04000014  b	#0xfffffff0081d5970
0xfffffff0081d5964: c9028052  mov	w9, #0x16
0xfffffff0081d5968: 8a000014  b	#0xfffffff0081d5b90
