; Candidate 11460
; ADRP+ADD at VM 0xfffffff008f542cc (fileoff 0x1f502cc): page=0x1fe4ca000 add_imm=0xda2

0xfffffff008f5424c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008f54250: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008f54254: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008f54258: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008f5425c: fdc30191  add	x29, sp, #0x70
0xfffffff008f54260: f30300aa  mov	x19, x0
0xfffffff008f54264: 685effb0  adrp	x8, #0xfffffff007b21000
0xfffffff008f54268: 087544f9  ldr	x8, [x8, #0x8e8]
0xfffffff008f5426c: 080140f9  ldr	x8, [x8]
0xfffffff008f54270: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff008f54274: 145040f9  ldr	x20, [x0, #0xa0]
0xfffffff008f54278: 100040f9  ldr	x16, [x0]
0xfffffff008f5427c: f10300aa  mov	x17, x0
0xfffffff008f54280: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54284: 301ac1da  autda	x16, x17
0xfffffff008f54288: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f5428c: e90310aa  mov	x9, x16
0xfffffff008f54290: f10309aa  mov	x17, x9
0xfffffff008f54294: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f54298: 11093fd7  blraa	x8, x17
0xfffffff008f5429c: af41ce97  bl	#0xfffffff0082e4958
0xfffffff008f542a0: 4826ffd0  adrp	x8, #0xfffffff00741e000
0xfffffff008f542a4: 081d3791  add	x8, x8, #0xdc7
0xfffffff008f542a8: 140100b4  cbz	x20, #0xfffffff008f542c8
0xfffffff008f542ac: e02300a9  stp	x0, x8, [sp]
0xfffffff008f542b0: 4226ffd0  adrp	x2, #0xfffffff00741e000
0xfffffff008f542b4: 42883691  add	x2, x2, #0xda2
0xfffffff008f542b8: e00314aa  mov	x0, x20
0xfffffff008f542bc: 21008052  mov	w1, #1
0xfffffff008f542c0: e1c04094  bl	#0xfffffff009f84644
0xfffffff008f542c4: 05000014  b	#0xfffffff008f542d8
0xfffffff008f542c8: e02300a9  stp	x0, x8, [sp]
0xfffffff008f542cc: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f542d0: 00883691  add	x0, x0, #0xda2
0xfffffff008f542d4: 530bd097  bl	#0xfffffff008357020
0xfffffff008f542d8: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008f542dc: 100040f9  ldr	x16, [x0]
0xfffffff008f542e0: f10300aa  mov	x17, x0
0xfffffff008f542e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f542e8: 301ac1da  autda	x16, x17
0xfffffff008f542ec: 112180d2  mov	x17, #0x108
0xfffffff008f542f0: 1002118b  add	x16, x16, x17
0xfffffff008f542f4: 080240f9  ldr	x8, [x16]
0xfffffff008f542f8: e90310aa  mov	x9, x16
0xfffffff008f542fc: f10309aa  mov	x17, x9
0xfffffff008f54300: 71adf9f2  movk	x17, #0xcd6b, lsl #48
0xfffffff008f54304: 11093fd7  blraa	x8, x17
0xfffffff008f54308: e85a8052  mov	w8, #0x2d7
0xfffffff008f5430c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008f54310: 1f00086b  cmp	w0, w8
0xfffffff008f54314: ec030054  b.gt	#0xfffffff008f54390
0xfffffff008f54318: 88598052  mov	w8, #0x2cc
0xfffffff008f5431c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008f54320: 1f00086b  cmp	w0, w8
0xfffffff008f54324: 60040054  b.eq	#0xfffffff008f543b0
0xfffffff008f54328: e85a8052  mov	w8, #0x2d7
0xfffffff008f5432c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008f54330: 1f00086b  cmp	w0, w8
0xfffffff008f54334: 010b0054  b.ne	#0xfffffff008f54494
0xfffffff008f54338: 745240f9  ldr	x20, [x19, #0xa0]
0xfffffff008f5433c: 700240f9  ldr	x16, [x19]
0xfffffff008f54340: f10313aa  mov	x17, x19
0xfffffff008f54344: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54348: 301ac1da  autda	x16, x17
