; Candidate 7683
; ADRP+ADD at VM 0xfffffff008878aec (fileoff 0x1874aec): page=0x1fe971000 add_imm=0xe80

0xfffffff008878a6c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008878a70: a80b8052  mov	w8, #0x5d
0xfffffff008878a74: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff008878a78: 63e00691  add	x3, x3, #0x1b8
0xfffffff008878a7c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008878a80: f50300f9  str	x21, [sp]
0xfffffff008878a84: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008878a88: 00003a91  add	x0, x0, #0xe80
0xfffffff008878a8c: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008878a90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008878a94: 02008052  mov	w2, #0
0xfffffff008878a98: a6e9ea97  bl	#0xfffffff008333130
0xfffffff008878a9c: 557e8012  mov	w21, #-0x3f3
0xfffffff008878aa0: 4d000014  b	#0xfffffff008878bd4
0xfffffff008878aa4: c2ed0094  bl	#0xfffffff0088b41ac
0xfffffff008878aa8: f50300aa  mov	x21, x0
0xfffffff008878aac: 80008052  mov	w0, #4
0xfffffff008878ab0: 680b0094  bl	#0xfffffff00887b850
0xfffffff008878ab4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008878ab8: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008878abc: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878ac0: 084d1491  add	x8, x8, #0x513
0xfffffff008878ac4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008878ac8: c8228052  mov	w8, #0x116
0xfffffff008878acc: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff008878ad0: 29451391  add	x9, x9, #0x4d1
0xfffffff008878ad4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008878ad8: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878adc: 08053c91  add	x8, x8, #0xf01
0xfffffff008878ae0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008878ae4: a80b8052  mov	w8, #0x5d
0xfffffff008878ae8: f52300a9  stp	x21, x8, [sp]
0xfffffff008878aec: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008878af0: 00003a91  add	x0, x0, #0xe80
0xfffffff008878af4: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008878af8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008878afc: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff008878b00: 63f00591  add	x3, x3, #0x17c
0xfffffff008878b04: 02008052  mov	w2, #0
0xfffffff008878b08: 8ae9ea97  bl	#0xfffffff008333130
0xfffffff008878b0c: 157d8012  mov	w21, #-0x3e9
0xfffffff008878b10: 31000014  b	#0xfffffff008878bd4
0xfffffff008878b14: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878b18: 01008052  mov	w1, #0
0xfffffff008878b1c: 1c4b0094  bl	#0xfffffff00888b78c
0xfffffff008878b20: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878b24: 01008052  mov	w1, #0
0xfffffff008878b28: 194b0094  bl	#0xfffffff00888b78c
0xfffffff008878b2c: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878b30: 734b0094  bl	#0xfffffff00888b8fc
0xfffffff008878b34: 9eed0094  bl	#0xfffffff0088b41ac
0xfffffff008878b38: f50300aa  mov	x21, x0
0xfffffff008878b3c: 80008052  mov	w0, #4
0xfffffff008878b40: 440b0094  bl	#0xfffffff00887b850
0xfffffff008878b44: f60300aa  mov	x22, x0
0xfffffff008878b48: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878b4c: 791240b9  ldr	w25, [x19, #0x10]
0xfffffff008878b50: 01008052  mov	w1, #0
0xfffffff008878b54: 0e4b0094  bl	#0xfffffff00888b78c
0xfffffff008878b58: f70300aa  mov	x23, x0
0xfffffff008878b5c: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008878b60: 01008052  mov	w1, #0
0xfffffff008878b64: 0a4b0094  bl	#0xfffffff00888b78c
0xfffffff008878b68: f80300aa  mov	x24, x0
