; Candidate 9935
; ADRP+ADD at VM 0xfffffff008bcb9c4 (fileoff 0x1bc79c4): page=0x1feec9000 add_imm=0xdf0

0xfffffff008bcb944: 10423091  add	x16, x16, #0xc10
0xfffffff008bcb948: 10420091  add	x16, x16, #0x10
0xfffffff008bcb94c: f10300aa  mov	x17, x0
0xfffffff008bcb950: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb954: 300ac1da  pacda	x16, x17
0xfffffff008bcb958: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcb95c: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcb960: 180800f9  str	x24, [x0, #0x10]
0xfffffff008bcb964: 28008052  mov	w8, #1
0xfffffff008bcb968: 08a00039  strb	w8, [x0, #0x28]
0xfffffff008bcb96c: 00fb7fd3  lsl	x0, x24, #1
0xfffffff008bcb970: f12cde97  bl	#0xfffffff008356d34
0xfffffff008bcb974: 200700f9  str	x0, [x25, #8]
0xfffffff008bcb978: 280b40f9  ldr	x8, [x25, #0x10]
0xfffffff008bcb97c: 20a301a9  stp	x0, x8, [x25, #0x18]
0xfffffff008bcb980: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bcb984: 400100b4  cbz	x0, #0xfffffff008bcb9ac
0xfffffff008bcb988: 100040f9  ldr	x16, [x0]
0xfffffff008bcb98c: f10300aa  mov	x17, x0
0xfffffff008bcb990: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb994: 301ac1da  autda	x16, x17
0xfffffff008bcb998: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcb99c: e90310aa  mov	x9, x16
0xfffffff008bcb9a0: f10309aa  mov	x17, x9
0xfffffff008bcb9a4: 511af3f2  movk	x17, #0x98d2, lsl #48
0xfffffff008bcb9a8: 11093fd7  blraa	x8, x17
0xfffffff008bcb9ac: 990600f9  str	x25, [x20, #8]
0xfffffff008bcb9b0: 100000f0  adrp	x16, #0xfffffff008bce000
0xfffffff008bcb9b4: 10122291  add	x16, x16, #0x884
0xfffffff008bcb9b8: 71ad8ad2  mov	x17, #0x556b
0xfffffff008bcb9bc: 3002c1da  pacia	x16, x17
0xfffffff008bcb9c0: 25000014  b	#0xfffffff008bcba54
0xfffffff008bcb9c4: 4076ffb0  adrp	x0, #0xfffffff007a94000
0xfffffff008bcb9c8: 00c03791  add	x0, x0, #0xdf0
0xfffffff008bcb9cc: ca2ade97  bl	#0xfffffff0083564f4
0xfffffff008bcb9d0: f90300aa  mov	x25, x0
0xfffffff008bcb9d4: 3076fff0  adrp	x16, #0xfffffff007a92000
0xfffffff008bcb9d8: 10c22e91  add	x16, x16, #0xbb0
0xfffffff008bcb9dc: 10420091  add	x16, x16, #0x10
0xfffffff008bcb9e0: f10300aa  mov	x17, x0
0xfffffff008bcb9e4: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb9e8: 300ac1da  pacda	x16, x17
0xfffffff008bcb9ec: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcb9f0: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcb9f4: 180800f9  str	x24, [x0, #0x10]
0xfffffff008bcb9f8: 28008052  mov	w8, #1
0xfffffff008bcb9fc: 08a00039  strb	w8, [x0, #0x28]
0xfffffff008bcba00: e00318aa  mov	x0, x24
0xfffffff008bcba04: cc2cde97  bl	#0xfffffff008356d34
0xfffffff008bcba08: 200700f9  str	x0, [x25, #8]
0xfffffff008bcba0c: 280b40f9  ldr	x8, [x25, #0x10]
0xfffffff008bcba10: 20a301a9  stp	x0, x8, [x25, #0x18]
0xfffffff008bcba14: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bcba18: 400100b4  cbz	x0, #0xfffffff008bcba40
0xfffffff008bcba1c: 100040f9  ldr	x16, [x0]
0xfffffff008bcba20: f10300aa  mov	x17, x0
0xfffffff008bcba24: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcba28: 301ac1da  autda	x16, x17
0xfffffff008bcba2c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcba30: e90310aa  mov	x9, x16
0xfffffff008bcba34: f10309aa  mov	x17, x9
0xfffffff008bcba38: 511af3f2  movk	x17, #0x98d2, lsl #48
0xfffffff008bcba3c: 11093fd7  blraa	x8, x17
0xfffffff008bcba40: 990600f9  str	x25, [x20, #8]
