; Candidate 14438
; ADRP+ADD at VM 0xfffffff009787e04 (fileoff 0x2783e04): page=0x1fde06000 add_imm=0xd31

0xfffffff009787d84: fdc30091  add	x29, sp, #0x30
0xfffffff009787d88: f30300aa  mov	x19, x0
0xfffffff009787d8c: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787d90: 00600491  add	x0, x0, #0x118
0xfffffff009787d94: f172ad97  bl	#0xfffffff0082e4958
0xfffffff009787d98: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009787d9c: 400100b4  cbz	x0, #0xfffffff009787dc4
0xfffffff009787da0: 100040f9  ldr	x16, [x0]
0xfffffff009787da4: f10300aa  mov	x17, x0
0xfffffff009787da8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787dac: 301ac1da  autda	x16, x17
0xfffffff009787db0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787db4: e90310aa  mov	x9, x16
0xfffffff009787db8: f10309aa  mov	x17, x9
0xfffffff009787dbc: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787dc0: 11093fd7  blraa	x8, x17
0xfffffff009787dc4: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787dc8: 00600491  add	x0, x0, #0x118
0xfffffff009787dcc: e372ad97  bl	#0xfffffff0082e4958
0xfffffff009787dd0: f40300aa  mov	x20, x0
0xfffffff009787dd4: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009787dd8: 600100b4  cbz	x0, #0xfffffff009787e04
0xfffffff009787ddc: 100040f9  ldr	x16, [x0]
0xfffffff009787de0: f10300aa  mov	x17, x0
0xfffffff009787de4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787de8: 301ac1da  autda	x16, x17
0xfffffff009787dec: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787df0: e90310aa  mov	x9, x16
0xfffffff009787df4: f10309aa  mov	x17, x9
0xfffffff009787df8: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787dfc: 11093fd7  blraa	x8, x17
0xfffffff009787e00: 03000014  b	#0xfffffff009787e0c
0xfffffff009787e04: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009787e08: 00c43491  add	x0, x0, #0xd31
0xfffffff009787e0c: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff009787e10: 08111891  add	x8, x8, #0x604
0xfffffff009787e14: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009787e18: f40300f9  str	x20, [sp]
0xfffffff009787e1c: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009787e20: 00802191  add	x0, x0, #0x860
0xfffffff009787e24: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787e28: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009787e2c: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff009787e30: 63a83991  add	x3, x3, #0xe6a
0xfffffff009787e34: 02008052  mov	w2, #0
0xfffffff009787e38: beacae97  bl	#0xfffffff008333130
0xfffffff009787e3c: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff009787e40: 080300b4  cbz	x8, #0xfffffff009787ea0
0xfffffff009787e44: e00313aa  mov	x0, x19
0xfffffff009787e48: 83f3af97  bl	#0xfffffff008384c54
0xfffffff009787e4c: a0020037  tbnz	w0, #0, #0xfffffff009787ea0
0xfffffff009787e50: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009787e54: 100040f9  ldr	x16, [x0]
0xfffffff009787e58: f10300aa  mov	x17, x0
0xfffffff009787e5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787e60: 301ac1da  autda	x16, x17
0xfffffff009787e64: 11b980d2  mov	x17, #0x5c8
0xfffffff009787e68: 1002118b  add	x16, x16, x17
0xfffffff009787e6c: 080240f9  ldr	x8, [x16]
0xfffffff009787e70: e10310aa  mov	x1, x16
0xfffffff009787e74: f00308aa  mov	x16, x8
0xfffffff009787e78: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009787e7c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009787e80: ff030191  add	sp, sp, #0x40
