; Candidate 11182
; ADRP+ADD at VM 0xfffffff008e90510 (fileoff 0x1e8c510): page=0x1fec7e000 add_imm=0xd00

0xfffffff008e90490: 08108052  mov	w8, #0x80
0xfffffff008e90494: 083800b9  str	w8, [x0, #0x38]
0xfffffff008e90498: d6820091  add	x22, x22, #0x20
0xfffffff008e9049c: f10316aa  mov	x17, x22
0xfffffff008e904a0: 51d4e2f2  movk	x17, #0x16a2, lsl #48
0xfffffff008e904a4: f10a3fd7  blraa	x23, x17
0xfffffff008e904a8: b063ffd0  adrp	x16, #0xfffffff007b06000
0xfffffff008e904ac: 10620491  add	x16, x16, #0x118
0xfffffff008e904b0: 10420091  add	x16, x16, #0x10
0xfffffff008e904b4: f10315aa  mov	x17, x21
0xfffffff008e904b8: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e904bc: 300ac1da  pacda	x16, x17
0xfffffff008e904c0: b00200f9  str	x16, [x21]
0xfffffff008e904c4: 500000d0  adrp	x16, #0xfffffff008e9a000
0xfffffff008e904c8: 10520491  add	x16, x16, #0x114
0xfffffff008e904cc: 31d68dd2  mov	x17, #0x6eb1
0xfffffff008e904d0: 3002c1da  pacia	x16, x17
0xfffffff008e904d4: b07e04a9  stp	x16, xzr, [x21, #0x40]
0xfffffff008e904d8: bf4e05a9  stp	xzr, x19, [x21, #0x50]
0xfffffff008e904dc: e00314aa  mov	x0, x20
0xfffffff008e904e0: e10315aa  mov	x1, x21
0xfffffff008e904e4: f2f72a94  bl	#0xfffffff00994e4ac
0xfffffff008e904e8: b00240f9  ldr	x16, [x21]
0xfffffff008e904ec: f10315aa  mov	x17, x21
0xfffffff008e904f0: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e904f4: 301ac1da  autda	x16, x17
0xfffffff008e904f8: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e904fc: e90310aa  mov	x9, x16
0xfffffff008e90500: e00315aa  mov	x0, x21
0xfffffff008e90504: f10309aa  mov	x17, x9
0xfffffff008e90508: 1122f8f2  movk	x17, #0xc110, lsl #48
0xfffffff008e9050c: 11093fd7  blraa	x8, x17
0xfffffff008e90510: e063ffd0  adrp	x0, #0xfffffff007b0e000
0xfffffff008e90514: 00003491  add	x0, x0, #0xd00
0xfffffff008e90518: f717d397  bl	#0xfffffff0083564f4
0xfffffff008e9051c: f50300aa  mov	x21, x0
0xfffffff008e90520: ee122b94  bl	#0xfffffff0099550d8
0xfffffff008e90524: b063ffb0  adrp	x16, #0xfffffff007b05000
0xfffffff008e90528: 10623091  add	x16, x16, #0xc18
0xfffffff008e9052c: 10420091  add	x16, x16, #0x10
0xfffffff008e90530: f10300aa  mov	x17, x0
0xfffffff008e90534: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e90538: 300ac1da  pacda	x16, x17
0xfffffff008e9053c: 100000f9  str	x16, [x0]
0xfffffff008e90540: 1f600039  strb	wzr, [x0, #0x18]
0xfffffff008e90544: 18058052  mov	w24, #0x28
0xfffffff008e90548: 181c00b9  str	w24, [x0, #0x1c]
0xfffffff008e9054c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008e90550: 001800fd  str	d0, [x0, #0x30]
0xfffffff008e90554: 88028052  mov	w8, #0x14
0xfffffff008e90558: 083800b9  str	w8, [x0, #0x38]
0xfffffff008e9055c: f10316aa  mov	x17, x22
0xfffffff008e90560: 51d4e2f2  movk	x17, #0x16a2, lsl #48
0xfffffff008e90564: f10a3fd7  blraa	x23, x17
0xfffffff008e90568: b063ffd0  adrp	x16, #0xfffffff007b06000
0xfffffff008e9056c: 10620691  add	x16, x16, #0x198
0xfffffff008e90570: 10420091  add	x16, x16, #0x10
0xfffffff008e90574: f10315aa  mov	x17, x21
0xfffffff008e90578: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e9057c: 300ac1da  pacda	x16, x17
0xfffffff008e90580: b00200f9  str	x16, [x21]
0xfffffff008e90584: 500000d0  adrp	x16, #0xfffffff008e9a000
0xfffffff008e90588: 10c20491  add	x16, x16, #0x130
0xfffffff008e9058c: 31d68dd2  mov	x17, #0x6eb1
