; Candidate 12744
; ADRP+ADD at VM 0xfffffff009150228 (fileoff 0x214c228): page=0x1fe337000 add_imm=0xcdc

0xfffffff0091501a8: f10309aa  mov	x17, x9
0xfffffff0091501ac: d133edf2  movk	x17, #0x699e, lsl #48
0xfffffff0091501b0: 11093fd7  blraa	x8, x17
0xfffffff0091501b4: 20200034  cbz	w0, #0xfffffff0091505b8
0xfffffff0091501b8: f30300aa  mov	x19, x0
0xfffffff0091501bc: 288e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff0091501c0: 08615e39  ldrb	w8, [x8, #0x798]
0xfffffff0091501c4: e8070034  cbz	w8, #0xfffffff0091502c0
0xfffffff0091501c8: a819fff0  adrp	x8, #0xfffffff007487000
0xfffffff0091501cc: 08393091  add	x8, x8, #0xc0e
0xfffffff0091501d0: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff0091501d4: a819fff0  adrp	x8, #0xfffffff007487000
0xfffffff0091501d8: 081d1391  add	x8, x8, #0x4c7
0xfffffff0091501dc: c9968052  mov	w9, #0x4b6
0xfffffff0091501e0: e82700a9  stp	x8, x9, [sp]
0xfffffff0091501e4: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff0091501e8: 00ec1a91  add	x0, x0, #0x6bb
0xfffffff0091501ec: c5000014  b	#0xfffffff009150500
0xfffffff0091501f0: 2bf7b597  bl	#0xfffffff007ecde9c
0xfffffff0091501f4: a819fff0  adrp	x8, #0xfffffff007487000
0xfffffff0091501f8: 08393091  add	x8, x8, #0xc0e
0xfffffff0091501fc: a0070034  cbz	w0, #0xfffffff0091502f0
0xfffffff009150200: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009150204: a819fff0  adrp	x8, #0xfffffff007487000
0xfffffff009150208: 081d1391  add	x8, x8, #0x4c7
0xfffffff00915020c: e9958052  mov	w9, #0x4af
0xfffffff009150210: e82700a9  stp	x8, x9, [sp]
0xfffffff009150214: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150218: 00a42f91  add	x0, x0, #0xbe9
0xfffffff00915021c: 811bc897  bl	#0xfffffff008357020
0xfffffff009150220: d4000014  b	#0xfffffff009150570
0xfffffff009150224: ffbf0039  strb	wzr, [sp, #0x2f]
0xfffffff009150228: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff00915022c: 00703391  add	x0, x0, #0xcdc
0xfffffff009150230: 8c9cb197  bl	#0xfffffff007db7460
0xfffffff009150234: 48cc8d52  mov	w8, #0x6e62
0xfffffff009150238: 280cae72  movk	w8, #0x7061, lsl #16
0xfffffff00915023c: 080d0011  add	w8, w8, #3
0xfffffff009150240: e82b00b9  str	w8, [sp, #0x28]
0xfffffff009150244: 700240f9  ldr	x16, [x19]
0xfffffff009150248: f10313aa  mov	x17, x19
0xfffffff00915024c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009150250: 301ac1da  autda	x16, x17
0xfffffff009150254: f10310aa  mov	x17, x16
0xfffffff009150258: f147c1da  xpacd	x17
0xfffffff00915025c: 1f0211eb  cmp	x16, x17
0xfffffff009150260: 40000054  b.eq	#0xfffffff009150268
0xfffffff009150264: 408e38d4  brk	#0xc472
0xfffffff009150268: 08c21791  add	x8, x16, #0x5f0
0xfffffff00915026c: 09fa42f9  ldr	x9, [x16, #0x5f0]
0xfffffff009150270: e4a30091  add	x4, sp, #0x28
0xfffffff009150274: e00313aa  mov	x0, x19
0xfffffff009150278: a1688a52  mov	w1, #0x5345
0xfffffff00915027c: 41a8a972  movk	w1, #0x4d42, lsl #16
0xfffffff009150280: 02008052  mov	w2, #0
0xfffffff009150284: 83008052  mov	w3, #4
0xfffffff009150288: f10308aa  mov	x17, x8
0xfffffff00915028c: 3109edf2  movk	x17, #0x6849, lsl #48
0xfffffff009150290: 31093fd7  blraa	x9, x17
0xfffffff009150294: 200f0034  cbz	w0, #0xfffffff009150478
0xfffffff009150298: fa0300aa  mov	x26, x0
0xfffffff00915029c: 88635e39  ldrb	w8, [x28, #0x798]
0xfffffff0091502a0: e8050034  cbz	w8, #0xfffffff00915035c
0xfffffff0091502a4: e0031aaa  mov	x0, x26
