; Candidate 1557
; ADRP+ADD at VM 0xfffffff008497578 (fileoff 0x1493578): page=0x1febaf000 add_imm=0xdcc

0xfffffff0084974f8: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0084974fc: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008497500: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008497504: fd430291  add	x29, sp, #0x90
0xfffffff008497508: f50302aa  mov	x21, x2
0xfffffff00849750c: f40301aa  mov	x20, x1
0xfffffff008497510: f30300aa  mov	x19, x0
0xfffffff008497514: 170040b9  ldr	w23, [x0]
0xfffffff008497518: 36423bd5  mrs	x22, daif
0xfffffff00849751c: e803362a  mvn	w8, w22
0xfffffff008497520: 1f0d7af2  tst	x8, #0x3c0
0xfffffff008497524: 40000054  b.eq	#0xfffffff00849752c
0xfffffff008497528: df4f03d5  msr	daifset, #0xf
0xfffffff00849752c: 2016e397  bl	#0xfffffff007d5cdac
0xfffffff008497530: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff008497534: df020ff1  cmp	x22, #0x3c0
0xfffffff008497538: 40000054  b.eq	#0xfffffff008497540
0xfffffff00849753c: 36421bd5  msr	daif, x22
0xfffffff008497540: f67e1853  lsr	w22, w23, #0x18
0xfffffff008497544: 1f050071  cmp	w8, #1
0xfffffff008497548: e1010054  b.ne	#0xfffffff008497584
0xfffffff00849754c: a92240a9  ldp	x9, x8, [x21]
0xfffffff008497550: 0a0109cb  sub	x10, x8, x9
0xfffffff008497554: eb5e1053  ubfx	w11, w23, #0x10, #8
0xfffffff008497558: ec220853  ubfx	w12, w23, #8, #1
0xfffffff00849755c: cd2b8052  mov	w13, #0x15e
0xfffffff008497560: 6e5dfff0  adrp	x14, #0xfffffff007046000
0xfffffff008497564: ce193291  add	x14, x14, #0xc86
0xfffffff008497568: ee3704a9  stp	x14, x13, [sp, #0x40]
0xfffffff00849756c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008497570: ec2702a9  stp	x12, x9, [sp, #0x20]
0xfffffff008497574: eb5b01a9  stp	x11, x22, [sp, #0x10]
0xfffffff008497578: 605dfff0  adrp	x0, #0xfffffff007046000
0xfffffff00849757c: 00303791  add	x0, x0, #0xdcc
0xfffffff008497580: 13000014  b	#0xfffffff0084975cc
0xfffffff008497584: e00313aa  mov	x0, x19
0xfffffff008497588: 010080d2  mov	x1, #0
0xfffffff00849758c: 3f60e497  bl	#0xfffffff007daf688
0xfffffff008497590: a92240a9  ldp	x9, x8, [x21]
0xfffffff008497594: 0a0109cb  sub	x10, x8, x9
0xfffffff008497598: eb5e1053  ubfx	w11, w23, #0x10, #8
0xfffffff00849759c: ec220853  ubfx	w12, w23, #8, #1
0xfffffff0084975a0: 0d1440b9  ldr	w13, [x0, #0x14]
0xfffffff0084975a4: ef2c8052  mov	w15, #0x167
0xfffffff0084975a8: 6e5dfff0  adrp	x14, #0xfffffff007046000
0xfffffff0084975ac: ce193291  add	x14, x14, #0xc86
0xfffffff0084975b0: eebf04a9  stp	x14, x15, [sp, #0x48]
0xfffffff0084975b4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0084975b8: eca702a9  stp	x12, x9, [sp, #0x28]
0xfffffff0084975bc: f6b701a9  stp	x22, x13, [sp, #0x18]
0xfffffff0084975c0: eb0b00f9  str	x11, [sp, #0x10]
0xfffffff0084975c4: 605dfff0  adrp	x0, #0xfffffff007046000
0xfffffff0084975c8: 00543991  add	x0, x0, #0xe55
0xfffffff0084975cc: f32b00a9  stp	x19, x10, [sp]
0xfffffff0084975d0: cff3ff97  bl	#0xfffffff00849450c
0xfffffff0084975d4: 7f2303d5  pacibsp	
0xfffffff0084975d8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0084975dc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0084975e0: fd030191  add	x29, sp, #0x40
0xfffffff0084975e4: 09204129  ldp	w9, w8, [x0, #8]
0xfffffff0084975e8: 0a2c4029  ldp	w10, w11, [x0]
0xfffffff0084975ec: cd108052  mov	w13, #0x86
0xfffffff0084975f0: 6c5dfff0  adrp	x12, #0xfffffff007046000
0xfffffff0084975f4: 8c193291  add	x12, x12, #0xc86
