; Candidate 5075
; ADRP+ADD at VM 0xfffffff0087d6a44 (fileoff 0x17d2a44): page=0x1fea3b000 add_imm=0xe2e

0xfffffff0087d69c4: c1f9ff54  b.ne	#0xfffffff0087d68fc
0xfffffff0087d69c8: 02000014  b	#0xfffffff0087d69d0
0xfffffff0087d69cc: 09e4002f  movi	d9, #0000000000000000
0xfffffff0087d69d0: c802631e  ucvtf	d8, w22
0xfffffff0087d69d4: 2919681e  fdiv	d9, d9, d8
0xfffffff0087d69d8: 37070034  cbz	w23, #0xfffffff0087d6abc
0xfffffff0087d69dc: 600f8052  mov	w0, #0x7b
0xfffffff0087d69e0: e1008052  mov	w1, #7
0xfffffff0087d69e4: 7b930294  bl	#0xfffffff00887b7d0
0xfffffff0087d69e8: a0060034  cbz	w0, #0xfffffff0087d6abc
0xfffffff0087d69ec: 600f8052  mov	w0, #0x7b
0xfffffff0087d69f0: 8a930294  bl	#0xfffffff00887b818
0xfffffff0087d69f4: f30300aa  mov	x19, x0
0xfffffff0087d69f8: ed750394  bl	#0xfffffff0088b41ac
0xfffffff0087d69fc: f80300aa  mov	x24, x0
0xfffffff0087d6a00: e0008052  mov	w0, #7
0xfffffff0087d6a04: 93930294  bl	#0xfffffff00887b850
0xfffffff0087d6a08: 3901781e  fcvtzs	w25, d9
0xfffffff0087d6a0c: 53020034  cbz	w19, #0xfffffff0087d6a54
0xfffffff0087d6a10: 2003621e  scvtf	d0, w25
0xfffffff0087d6a14: 2039601e  fsub	d0, d9, d0
0xfffffff0087d6a18: a850ff90  adrp	x8, #0xfffffff0071ea000
0xfffffff0087d6a1c: 010943fd  ldr	d1, [x8, #0x610]
0xfffffff0087d6a20: 0008611e  fmul	d0, d0, d1
0xfffffff0087d6a24: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6a28: 00107e1e  fmov	d0, #-1.00000000
0xfffffff0087d6a2c: 2021601e  fcmp	d9, d0
0xfffffff0087d6a30: 08a5885a  cneg	w8, w8, lt
0xfffffff0087d6a34: e06701a9  stp	x0, x25, [sp, #0x10]
0xfffffff0087d6a38: 690f8052  mov	w9, #0x7b
0xfffffff0087d6a3c: f82700a9  stp	x24, x9, [sp]
0xfffffff0087d6a40: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff0087d6a44: c051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d6a48: 00b83891  add	x0, x0, #0xe2e
0xfffffff0087d6a4c: 8582d797  bl	#0xfffffff007db7460
0xfffffff0087d6a50: 1b000014  b	#0xfffffff0087d6abc
0xfffffff0087d6a54: d6750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6a58: f30300aa  mov	x19, x0
0xfffffff0087d6a5c: e0008052  mov	w0, #7
0xfffffff0087d6a60: 7c930294  bl	#0xfffffff00887b850
0xfffffff0087d6a64: 2003621e  scvtf	d0, w25
0xfffffff0087d6a68: 2039601e  fsub	d0, d9, d0
0xfffffff0087d6a6c: a850ff90  adrp	x8, #0xfffffff0071ea000
0xfffffff0087d6a70: 010943fd  ldr	d1, [x8, #0x610]
0xfffffff0087d6a74: 0008611e  fmul	d0, d0, d1
0xfffffff0087d6a78: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6a7c: 00107e1e  fmov	d0, #-1.00000000
0xfffffff0087d6a80: 2021601e  fcmp	d9, d0
0xfffffff0087d6a84: 08a5885a  cneg	w8, w8, lt
0xfffffff0087d6a88: e90316aa  mov	x9, x22
0xfffffff0087d6a8c: e06701a9  stp	x0, x25, [sp, #0x10]
0xfffffff0087d6a90: 6a0f8052  mov	w10, #0x7b
0xfffffff0087d6a94: f32b00a9  stp	x19, x10, [sp]
0xfffffff0087d6a98: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff0087d6a9c: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d6aa0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d6aa4: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d6aa8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d6aac: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d6ab0: 63682391  add	x3, x3, #0x8da
0xfffffff0087d6ab4: 02008052  mov	w2, #0
0xfffffff0087d6ab8: 9e71ed97  bl	#0xfffffff008333130
0xfffffff0087d6abc: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff0087d6ac0: 16080034  cbz	w22, #0xfffffff0087d6bc0
