; Candidate 16674
; ADRP+ADD at VM 0xfffffff009f1ffe0 (fileoff 0x2f1bfe0): page=0x1fd939000 add_imm=0xd3a

0xfffffff009f1ff60: c0c9fed0  adrp	x0, #0xfffffff007859000
0xfffffff009f1ff64: 00ec0f91  add	x0, x0, #0x3fb
0xfffffff009f1ff68: 577efd97  bl	#0xfffffff009e7f8c4
0xfffffff009f1ff6c: 15008052  mov	w21, #0
0xfffffff009f1ff70: 1b008052  mov	w27, #0
0xfffffff009f1ff74: d4fdff17  b	#0xfffffff009f1f6c4
0xfffffff009f1ff78: 08414079  ldrh	w8, [x8, #0x20]
0xfffffff009f1ff7c: 68110837  tbnz	w8, #1, #0xfffffff009f201a8
0xfffffff009f1ff80: e86f40f9  ldr	x8, [sp, #0xd8]
0xfffffff009f1ff84: 088540f9  ldr	x8, [x8, #0x108]
0xfffffff009f1ff88: 08810091  add	x8, x8, #0x20
0xfffffff009f1ff8c: 09008092  mov	x9, #-1
0xfffffff009f1ff90: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009f1ff94: e00314aa  mov	x0, x20
0xfffffff009f1ff98: e1031baa  mov	x1, x27
0xfffffff009f1ff9c: bc670094  bl	#0xfffffff009f39e8c
0xfffffff009f1ffa0: 80c20291  add	x0, x20, #0xb0
0xfffffff009f1ffa4: 163a7a97  bl	#0xfffffff007dae7fc
0xfffffff009f1ffa8: e00314aa  mov	x0, x20
0xfffffff009f1ffac: 255c0094  bl	#0xfffffff009f37040
0xfffffff009f1ffb0: 80000014  b	#0xfffffff009f201b0
0xfffffff009f1ffb4: e86f40f9  ldr	x8, [sp, #0xd8]
0xfffffff009f1ffb8: 080140f9  ldr	x8, [x8]
0xfffffff009f1ffbc: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009f1ffc0: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f1ffc4: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f1ffc8: e90318aa  mov	x9, x24
0xfffffff009f1ffcc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f1ffd0: c8c9fed0  adrp	x8, #0xfffffff007859000
0xfffffff009f1ffd4: 08a50f91  add	x8, x8, #0x3e9
0xfffffff009f1ffd8: 897f8152  mov	w9, #0xbfc
0xfffffff009f1ffdc: e82700a9  stp	x8, x9, [sp]
0xfffffff009f1ffe0: c0c9feb0  adrp	x0, #0xfffffff007858000
0xfffffff009f1ffe4: 00e83491  add	x0, x0, #0xd3a
0xfffffff009f1ffe8: 377efd97  bl	#0xfffffff009e7f8c4
0xfffffff009f1ffec: ff7700f9  str	xzr, [sp, #0xe8]
0xfffffff009f1fff0: 0dfdff17  b	#0xfffffff009f1f424
0xfffffff009f1fff4: fa5740f9  ldr	x26, [sp, #0xa8]
0xfffffff009f1fff8: acfcff17  b	#0xfffffff009f1f2a8
0xfffffff009f1fffc: 48038052  mov	w8, #0x1a
0xfffffff009f20000: e402080a  and	w4, w23, w8
0xfffffff009f20004: 481340b9  ldr	w8, [x26, #0x10]
0xfffffff009f20008: 01551612  and	w1, w8, #0xfffffc00
0xfffffff009f2000c: 42534079  ldrh	w2, [x26, #0x28]
0xfffffff009f20010: e88347a9  ldp	x8, x0, [sp, #0x78]
0xfffffff009f20014: 05454079  ldrh	w5, [x8, #0x22]
0xfffffff009f20018: a3c303d1  sub	x3, x29, #0xf0
0xfffffff009f2001c: e7a30591  add	x7, sp, #0x168
0xfffffff009f20020: e60319aa  mov	x6, x25
0xfffffff009f20024: 95070094  bl	#0xfffffff009f21e78
0xfffffff009f20028: 60140034  cbz	w0, #0xfffffff009f202b4
0xfffffff009f2002c: f80300aa  mov	x24, x0
0xfffffff009f20030: fa0316aa  mov	x26, x22
0xfffffff009f20034: ffe700b9  str	wzr, [sp, #0xe4]
0xfffffff009f20038: ffff1829  stp	wzr, wzr, [sp, #0xc4]
0xfffffff009f2003c: ff6b00f9  str	xzr, [sp, #0xd0]
0xfffffff009f20040: 19008052  mov	w25, #0
0xfffffff009f20044: 1c008052  mov	w28, #0
0xfffffff009f20048: 15008052  mov	w21, #0
0xfffffff009f2004c: 1b008052  mov	w27, #0
0xfffffff009f20050: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff009f20054: ff8300f9  str	xzr, [sp, #0x100]
0xfffffff009f20058: 17008052  mov	w23, #0
0xfffffff009f2005c: 50000014  b	#0xfffffff009f2019c
