; Candidate 431
; ADRP+ADD at VM 0xfffffff007f08c68 (fileoff 0xf04c68): page=0x1ff155000 add_imm=0xd87

0xfffffff007f08be8: 6b8ffa97  bl	#0xfffffff007dac994
0xfffffff007f08bec: e00313aa  mov	x0, x19
0xfffffff007f08bf0: 21008052  mov	w1, #1
0xfffffff007f08bf4: e20314aa  mov	x2, x20
0xfffffff007f08bf8: 03008052  mov	w3, #0
0xfffffff007f08bfc: 8af6ff97  bl	#0xfffffff007f06624
0xfffffff007f08c00: d4faff34  cbz	w20, #0xfffffff007f08b58
0xfffffff007f08c04: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff007f08c08: 1f0117eb  cmp	x8, x23
0xfffffff007f08c0c: e1080054  b.ne	#0xfffffff007f08d28
0xfffffff007f08c10: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff007f08c14: a8060035  cbnz	w8, #0xfffffff007f08ce8
0xfffffff007f08c18: 686640b9  ldr	w8, [x19, #0x64]
0xfffffff007f08c1c: 68060035  cbnz	w8, #0xfffffff007f08ce8
0xfffffff007f08c20: 685e40b9  ldr	w8, [x19, #0x5c]
0xfffffff007f08c24: 28060035  cbnz	w8, #0xfffffff007f08ce8
0xfffffff007f08c28: 68b24079  ldrh	w8, [x19, #0x58]
0xfffffff007f08c2c: 1f094071  cmp	w8, #2, lsl #12
0xfffffff007f08c30: c2050054  b.hs	#0xfffffff007f08ce8
0xfffffff007f08c34: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff007f08c38: 680000b4  cbz	x8, #0xfffffff007f08c44
0xfffffff007f08c3c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff007f08c40: 480800b5  cbnz	x8, #0xfffffff007f08d48
0xfffffff007f08c44: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff007f08c48: 680000b5  cbnz	x8, #0xfffffff007f08c54
0xfffffff007f08c4c: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff007f08c50: c8f8ffb4  cbz	x8, #0xfffffff007f08b68
0xfffffff007f08c54: 089b8252  mov	w8, #0x14d8
0xfffffff007f08c58: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08c5c: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08c60: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08c64: f30300f9  str	x19, [sp]
0xfffffff007f08c68: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08c6c: 001c3691  add	x0, x0, #0xd87
0xfffffff007f08c70: 272e1694  bl	#0xfffffff00849450c
0xfffffff007f08c74: e00313aa  mov	x0, x19
0xfffffff007f08c78: 3c000094  bl	#0xfffffff007f08d68
0xfffffff007f08c7c: 34008052  mov	w20, #1
0xfffffff007f08c80: e00313aa  mov	x0, x19
0xfffffff007f08c84: 21008052  mov	w1, #1
0xfffffff007f08c88: bef3ff97  bl	#0xfffffff007f05b80
0xfffffff007f08c8c: 130080d2  mov	x19, #0
0xfffffff007f08c90: b40200b9  str	w20, [x21]
0xfffffff007f08c94: b5ffff17  b	#0xfffffff007f08b68
0xfffffff007f08c98: e00313aa  mov	x0, x19
0xfffffff007f08c9c: 22008052  mov	w2, #1
0xfffffff007f08ca0: 968bfa97  bl	#0xfffffff007dabaf8
0xfffffff007f08ca4: 96ffff17  b	#0xfffffff007f08afc
0xfffffff007f08ca8: 68e64079  ldrh	w8, [x19, #0x72]
0xfffffff007f08cac: 69e24079  ldrh	w9, [x19, #0x70]
0xfffffff007f08cb0: 6a5640b9  ldr	w10, [x19, #0x54]
0xfffffff007f08cb4: cbeb8252  mov	w11, #0x175e
0xfffffff007f08cb8: ac8affb0  adrp	x12, #0xfffffff00705d000
0xfffffff007f08cbc: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f08cc0: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f08cc4: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f08cc8: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f08ccc: aa8affb0  adrp	x10, #0xfffffff00705d000
0xfffffff007f08cd0: 4a511991  add	x10, x10, #0x654
0xfffffff007f08cd4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f08cd8: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08cdc: 00001891  add	x0, x0, #0x600
0xfffffff007f08ce0: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007f08ce4: 0a2e1694  bl	#0xfffffff00849450c
