; Candidate 8501
; ADRP+ADD at VM 0xfffffff0088ae204 (fileoff 0x18aa204): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae184: 9335ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae188: e0040034  cbz	w0, #0xfffffff0088ae224
0xfffffff0088ae18c: c00f8052  mov	w0, #0x7e
0xfffffff0088ae190: a235ff97  bl	#0xfffffff00887b818
0xfffffff0088ae194: f60300aa  mov	x22, x0
0xfffffff0088ae198: 05180094  bl	#0xfffffff0088b41ac
0xfffffff0088ae19c: f50300aa  mov	x21, x0
0xfffffff0088ae1a0: c0008052  mov	w0, #6
0xfffffff0088ae1a4: ab35ff97  bl	#0xfffffff00887b850
0xfffffff0088ae1a8: 96010034  cbz	w22, #0xfffffff0088ae1d8
0xfffffff0088ae1ac: e80314aa  mov	x8, x20
0xfffffff0088ae1b0: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088ae1b4: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae1b8: 08a93791  add	x8, x8, #0xdea
0xfffffff0088ae1bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae1c0: c80f8052  mov	w8, #0x7e
0xfffffff0088ae1c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae1c8: 204bfff0  adrp	x0, #0xfffffff007215000
0xfffffff0088ae1cc: 00a81591  add	x0, x0, #0x56a
0xfffffff0088ae1d0: a424d497  bl	#0xfffffff007db7460
0xfffffff0088ae1d4: 14000014  b	#0xfffffff0088ae224
0xfffffff0088ae1d8: f5170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae1dc: f50300aa  mov	x21, x0
0xfffffff0088ae1e0: c0008052  mov	w0, #6
0xfffffff0088ae1e4: 9b35ff97  bl	#0xfffffff00887b850
0xfffffff0088ae1e8: e80314aa  mov	x8, x20
0xfffffff0088ae1ec: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088ae1f0: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae1f4: 08a93791  add	x8, x8, #0xdea
0xfffffff0088ae1f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae1fc: c80f8052  mov	w8, #0x7e
0xfffffff0088ae200: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae204: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae208: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae20c: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae210: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae214: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae218: 635c3c91  add	x3, x3, #0xf17
0xfffffff0088ae21c: 02008052  mov	w2, #0
0xfffffff0088ae220: c413ea97  bl	#0xfffffff008333130
0xfffffff0088ae224: e00314aa  mov	x0, x20
0xfffffff0088ae228: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088ae22c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088ae230: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088ae234: ff030291  add	sp, sp, #0x80
0xfffffff0088ae238: ff0f5fd6  retab	
0xfffffff0088ae23c: e00313aa  mov	x0, x19
0xfffffff0088ae240: 01008052  mov	w1, #0
0xfffffff0088ae244: 76feff97  bl	#0xfffffff0088adc1c
0xfffffff0088ae248: 28008052  mov	w8, #1
0xfffffff0088ae24c: 68b200f9  str	x8, [x19, #0x160]
0xfffffff0088ae250: 68623c91  add	x8, x19, #0xf18
0xfffffff0088ae254: e0e7076f  movi	v0.2d, #0xffffffffffffffff
0xfffffff0088ae258: 0001803d  str	q0, [x8]
0xfffffff0088ae25c: c8ffff17  b	#0xfffffff0088ae17c
0xfffffff0088ae260: d3170094  bl	#0xfffffff0088b41ac
0xfffffff0088ae264: f50300aa  mov	x21, x0
0xfffffff0088ae268: 80008052  mov	w0, #4
0xfffffff0088ae26c: 7935ff97  bl	#0xfffffff00887b850
0xfffffff0088ae270: e80314aa  mov	x8, x20
0xfffffff0088ae274: 690240b9  ldr	w9, [x19]
0xfffffff0088ae278: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088ae27c: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae280: 08b92791  add	x8, x8, #0x9ee
