; Candidate 7696
; ADRP+ADD at VM 0xfffffff008879900 (fileoff 0x1875900): page=0x1fe970000 add_imm=0xe80

0xfffffff008879880: d6060091  add	x22, x22, #1
0xfffffff008879884: 18030491  add	x24, x24, #0x100
0xfffffff008879888: 5aa30091  add	x26, x26, #0x28
0xfffffff00887988c: 9f0316eb  cmp	x28, x22
0xfffffff008879890: e1f4ff54  b.ne	#0xfffffff00887972c
0xfffffff008879894: 17008052  mov	w23, #0
0xfffffff008879898: 744200b9  str	w20, [x19, #0x40]
0xfffffff00887989c: ba035af8  ldur	x26, [x29, #-0x60]
0xfffffff0088798a0: 2f000014  b	#0xfffffff00887995c
0xfffffff0088798a4: 42ea0094  bl	#0xfffffff0088b41ac
0xfffffff0088798a8: f70300aa  mov	x23, x0
0xfffffff0088798ac: 80008052  mov	w0, #4
0xfffffff0088798b0: e8070094  bl	#0xfffffff00887b850
0xfffffff0088798b4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088798b8: e9031aaa  mov	x9, x26
0xfffffff0088798bc: e95705a9  stp	x9, x21, [sp, #0x50]
0xfffffff0088798c0: e90314aa  mov	x9, x20
0xfffffff0088798c4: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088798c8: 884dffd0  adrp	x8, #0xfffffff00722b000
0xfffffff0088798cc: 08d51e91  add	x8, x8, #0x7b5
0xfffffff0088798d0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088798d4: 88388052  mov	w8, #0x1c4
0xfffffff0088798d8: 894dffd0  adrp	x9, #0xfffffff00722b000
0xfffffff0088798dc: 29911d91  add	x9, x9, #0x764
0xfffffff0088798e0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088798e4: 884dffd0  adrp	x8, #0xfffffff00722b000
0xfffffff0088798e8: 08053c91  add	x8, x8, #0xf01
0xfffffff0088798ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088798f0: a80b8052  mov	w8, #0x5d
0xfffffff0088798f4: 034fffb0  adrp	x3, #0xfffffff00725a000
0xfffffff0088798f8: 63880f91  add	x3, x3, #0x3e2
0xfffffff0088798fc: f72300a9  stp	x23, x8, [sp]
0xfffffff008879900: 804bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008879904: 00003a91  add	x0, x0, #0xe80
0xfffffff008879908: 618cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00887990c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008879910: 02008052  mov	w2, #0
0xfffffff008879914: 07e6ea97  bl	#0xfffffff008333130
0xfffffff008879918: 177d8012  mov	w23, #-0x3e9
0xfffffff00887991c: 60420691  add	x0, x19, #0x190
0xfffffff008879920: 01008052  mov	w1, #0
0xfffffff008879924: 02048052  mov	w2, #0x20
0xfffffff008879928: a64cd397  bl	#0xfffffff007d4cbc0
0xfffffff00887992c: 60c20691  add	x0, x19, #0x1b0
0xfffffff008879930: 01008052  mov	w1, #0
0xfffffff008879934: 02048052  mov	w2, #0x20
0xfffffff008879938: a24cd397  bl	#0xfffffff007d4cbc0
0xfffffff00887993c: 9f060071  cmp	w20, #1
0xfffffff008879940: eb000054  b.lt	#0xfffffff00887995c
0xfffffff008879944: 78420191  add	x24, x19, #0x50
0xfffffff008879948: e00318aa  mov	x0, x24
0xfffffff00887994c: 106ffd97  bl	#0xfffffff0087d558c
0xfffffff008879950: 18a30091  add	x24, x24, #0x28
0xfffffff008879954: 9c0700f1  subs	x28, x28, #1
0xfffffff008879958: 81ffff54  b.ne	#0xfffffff008879948
0xfffffff00887995c: a00b8052  mov	w0, #0x5d
0xfffffff008879960: c1008052  mov	w1, #6
0xfffffff008879964: 9b070094  bl	#0xfffffff00887b7d0
0xfffffff008879968: 80060034  cbz	w0, #0xfffffff008879a38
0xfffffff00887996c: a00b8052  mov	w0, #0x5d
0xfffffff008879970: aa070094  bl	#0xfffffff00887b818
0xfffffff008879974: f90300aa  mov	x25, x0
0xfffffff008879978: 0dea0094  bl	#0xfffffff0088b41ac
0xfffffff00887997c: f80300aa  mov	x24, x0
