; Candidate 1126
; ADRP+ADD at VM 0xfffffff00821c074 (fileoff 0x1218074): page=0x1fee6d000 add_imm=0xe82

0xfffffff00821bff4: 000000ad  stp	q0, q0, [x0]
0xfffffff00821bff8: 000001ad  stp	q0, q0, [x0, #0x20]
0xfffffff00821bffc: 1ffc04a9  stp	xzr, xzr, [x0, #0x48]
0xfffffff00821c000: 10000090  adrp	x16, #0xfffffff00821c000
0xfffffff00821c004: 10320291  add	x16, x16, #0x8c
0xfffffff00821c008: 117b8ed2  mov	x17, #0x73d8
0xfffffff00821c00c: 3002c1da  pacia	x16, x17
0xfffffff00821c010: 10fc05a9  stp	x16, xzr, [x0, #0x58]
0xfffffff00821c014: 1f7c07a9  stp	xzr, xzr, [x0, #0x70]
0xfffffff00821c018: 1f3400f9  str	xzr, [x0, #0x68]
0xfffffff00821c01c: 142000f9  str	x20, [x0, #0x40]
0xfffffff00821c020: 480101d0  adrp	x8, #0xfffffff00a246000
0xfffffff00821c024: 001901f9  str	x0, [x8, #0x230]
0xfffffff00821c028: 88baffd0  adrp	x8, #0xfffffff00796e000
0xfffffff00821c02c: 08c946f9  ldr	x8, [x8, #0xd90]
0xfffffff00821c030: 6173ffd0  adrp	x1, #0xfffffff00708a000
0xfffffff00821c034: 21341b91  add	x1, x1, #0x6cd
0xfffffff00821c038: c2ff00d0  adrp	x2, #0xfffffff00a216000
0xfffffff00821c03c: 42803991  add	x2, x2, #0xe60
0xfffffff00821c040: 00b10191  add	x0, x8, #0x6c
0xfffffff00821c044: 83008052  mov	w3, #4
0xfffffff00821c048: 04008052  mov	w4, #0
0xfffffff00821c04c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00821c050: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00821c054: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00821c058: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00821c05c: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff00821c060: ff2303d5  autibsp	
0xfffffff00821c064: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00821c068: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00821c070
0xfffffff00821c06c: 208e38d4  brk	#0xc471
0xfffffff00821c070: db430914  b	#0xfffffff00846cfdc
0xfffffff00821c074: 6073ffb0  adrp	x0, #0xfffffff007089000
0xfffffff00821c078: 00083a91  add	x0, x0, #0xe82
0xfffffff00821c07c: 6173ffb0  adrp	x1, #0xfffffff007089000
0xfffffff00821c080: 210c3991  add	x1, x1, #0xe43
0xfffffff00821c084: 622f8152  mov	w2, #0x97b
0xfffffff00821c088: e30d0a94  bl	#0xfffffff00849f814
0xfffffff00821c08c: 7f2303d5  pacibsp	
0xfffffff00821c090: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00821c094: fd030091  mov	x29, sp
0xfffffff00821c098: 40048052  mov	w0, #0x22
0xfffffff00821c09c: b5b9ef97  bl	#0xfffffff007e0a770
0xfffffff00821c0a0: 60048052  mov	w0, #0x23
0xfffffff00821c0a4: b3b9ef97  bl	#0xfffffff007e0a770
0xfffffff00821c0a8: 80048052  mov	w0, #0x24
0xfffffff00821c0ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00821c0b0: ff2303d5  autibsp	
0xfffffff00821c0b4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00821c0b8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00821c0c0
0xfffffff00821c0bc: 208e38d4  brk	#0xc471
0xfffffff00821c0c0: acb9ef17  b	#0xfffffff007e0a770
0xfffffff00821c0c4: 7f2303d5  pacibsp	
0xfffffff00821c0c8: ff8301d1  sub	sp, sp, #0x60
0xfffffff00821c0cc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00821c0d0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00821c0d4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00821c0d8: fd430191  add	x29, sp, #0x50
0xfffffff00821c0dc: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff00821c0e0: 10000090  adrp	x16, #0xfffffff00821c000
0xfffffff00821c0e4: 10221191  add	x16, x16, #0x448
0xfffffff00821c0e8: d19f9cd2  mov	x17, #0xe4fe
0xfffffff00821c0ec: 3002c1da  pacia	x16, x17
0xfffffff00821c0f0: e10310aa  mov	x1, x16
