; Candidate 13143
; ADRP+ADD at VM 0xfffffff0091fcb28 (fileoff 0x21f8b28): page=0x1fe2a6000 add_imm=0xda0

0xfffffff0091fcaa8: f9880090  adrp	x25, #0xfffffff00a318000
0xfffffff0091fcaac: 201f07f9  str	x0, [x25, #0xe38]
0xfffffff0091fcab0: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcab4: 00e03491  add	x0, x0, #0xd38
0xfffffff0091fcab8: e0b1c497  bl	#0xfffffff008329238
0xfffffff0091fcabc: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcac0: 002107f9  str	x0, [x8, #0xe40]
0xfffffff0091fcac4: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcac8: 00483591  add	x0, x0, #0xd52
0xfffffff0091fcacc: dbb1c497  bl	#0xfffffff008329238
0xfffffff0091fcad0: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcad4: 002507f9  str	x0, [x8, #0xe48]
0xfffffff0091fcad8: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcadc: 00583591  add	x0, x0, #0xd56
0xfffffff0091fcae0: d6b1c497  bl	#0xfffffff008329238
0xfffffff0091fcae4: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcae8: 002907f9  str	x0, [x8, #0xe50]
0xfffffff0091fcaec: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcaf0: 00a43591  add	x0, x0, #0xd69
0xfffffff0091fcaf4: d1b1c497  bl	#0xfffffff008329238
0xfffffff0091fcaf8: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcafc: 002d07f9  str	x0, [x8, #0xe58]
0xfffffff0091fcb00: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb04: 00e83591  add	x0, x0, #0xd7a
0xfffffff0091fcb08: ccb1c497  bl	#0xfffffff008329238
0xfffffff0091fcb0c: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb10: 003107f9  str	x0, [x8, #0xe60]
0xfffffff0091fcb14: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb18: 00483691  add	x0, x0, #0xd92
0xfffffff0091fcb1c: c7b1c497  bl	#0xfffffff008329238
0xfffffff0091fcb20: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb24: 003507f9  str	x0, [x8, #0xe68]
0xfffffff0091fcb28: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb2c: 00803691  add	x0, x0, #0xda0
0xfffffff0091fcb30: c2b1c497  bl	#0xfffffff008329238
0xfffffff0091fcb34: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb38: 003907f9  str	x0, [x8, #0xe70]
0xfffffff0091fcb3c: e00313aa  mov	x0, x19
0xfffffff0091fcb40: beb1c497  bl	#0xfffffff008329238
0xfffffff0091fcb44: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb48: 003d07f9  str	x0, [x8, #0xe78]
0xfffffff0091fcb4c: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb50: 00943691  add	x0, x0, #0xda5
0xfffffff0091fcb54: b9b1c497  bl	#0xfffffff008329238
0xfffffff0091fcb58: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb5c: 004107f9  str	x0, [x8, #0xe80]
0xfffffff0091fcb60: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb64: 00b03691  add	x0, x0, #0xdac
0xfffffff0091fcb68: b4b1c497  bl	#0xfffffff008329238
0xfffffff0091fcb6c: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb70: 004507f9  str	x0, [x8, #0xe88]
0xfffffff0091fcb74: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb78: 00d43691  add	x0, x0, #0xdb5
0xfffffff0091fcb7c: afb1c497  bl	#0xfffffff008329238
0xfffffff0091fcb80: e8880090  adrp	x8, #0xfffffff00a318000
0xfffffff0091fcb84: 004907f9  str	x0, [x8, #0xe90]
0xfffffff0091fcb88: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcb8c: 00ec3691  add	x0, x0, #0xdbb
0xfffffff0091fcb90: aab1c497  bl	#0xfffffff008329238
0xfffffff0091fcb94: fa880090  adrp	x26, #0xfffffff00a318000
0xfffffff0091fcb98: 404f07f9  str	x0, [x26, #0xe98]
0xfffffff0091fcb9c: 2015ffd0  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fcba0: 00003791  add	x0, x0, #0xdc0
0xfffffff0091fcba4: a5b1c497  bl	#0xfffffff008329238
