; Candidate 11385
; ADRP+ADD at VM 0xfffffff008f047bc (fileoff 0x1f007bc): page=0x1fe50a000 add_imm=0xeb5

0xfffffff008f0473c: 080240f9  ldr	x8, [x16]
0xfffffff008f04740: e90310aa  mov	x9, x16
0xfffffff008f04744: e2830091  add	x2, sp, #0x20
0xfffffff008f04748: e00313aa  mov	x0, x19
0xfffffff008f0474c: 61009052  mov	w1, #0x8003
0xfffffff008f04750: e17fbc72  movk	w1, #0xe3ff, lsl #16
0xfffffff008f04754: 03028052  mov	w3, #0x10
0xfffffff008f04758: f10309aa  mov	x17, x9
0xfffffff008f0475c: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008f04760: 11093fd7  blraa	x8, x17
0xfffffff008f04764: 00008052  mov	w0, #0
0xfffffff008f04768: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008f0476c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008f04770: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008f04774: ff830191  add	sp, sp, #0x60
0xfffffff008f04778: ff0f5fd6  retab	
0xfffffff008f0477c: 7f2303d5  pacibsp	
0xfffffff008f04780: ff4301d1  sub	sp, sp, #0x50
0xfffffff008f04784: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008f04788: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008f0478c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008f04790: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008f04794: fd030191  add	x29, sp, #0x40
0xfffffff008f04798: 004c40f9  ldr	x0, [x0, #0x98]
0xfffffff008f0479c: 000100b4  cbz	x0, #0xfffffff008f047bc
0xfffffff008f047a0: 4828ffd0  adrp	x8, #0xfffffff00740e000
0xfffffff008f047a4: 08993a91  add	x8, x8, #0xea6
0xfffffff008f047a8: e80300f9  str	x8, [sp]
0xfffffff008f047ac: 4228ffd0  adrp	x2, #0xfffffff00740e000
0xfffffff008f047b0: 42083a91  add	x2, x2, #0xe82
0xfffffff008f047b4: a1008052  mov	w1, #5
0xfffffff008f047b8: 2eeeff97  bl	#0xfffffff008f00070
0xfffffff008f047bc: 4028ffd0  adrp	x0, #0xfffffff00740e000
0xfffffff008f047c0: 00d43a91  add	x0, x0, #0xeb5
0xfffffff008f047c4: 010080d2  mov	x1, #0
0xfffffff008f047c8: 3216d297  bl	#0xfffffff00838a090
0xfffffff008f047cc: 400600b4  cbz	x0, #0xfffffff008f04894
0xfffffff008f047d0: f30300aa  mov	x19, x0
0xfffffff008f047d4: d013d297  bl	#0xfffffff008389714
0xfffffff008f047d8: 200600b4  cbz	x0, #0xfffffff008f0489c
0xfffffff008f047dc: f40300aa  mov	x20, x0
0xfffffff008f047e0: 8860fff0  adrp	x8, #0xfffffff007b17000
0xfffffff008f047e4: 085541f9  ldr	x8, [x8, #0x2a8]
0xfffffff008f047e8: 160140f9  ldr	x22, [x8]
0xfffffff008f047ec: 5728ffd0  adrp	x23, #0xfffffff00740e000
0xfffffff008f047f0: f7223b91  add	x23, x23, #0xec8
0xfffffff008f047f4: 900240f9  ldr	x16, [x20]
0xfffffff008f047f8: f10314aa  mov	x17, x20
0xfffffff008f047fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f04800: 301ac1da  autda	x16, x17
0xfffffff008f04804: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff008f04808: e90310aa  mov	x9, x16
0xfffffff008f0480c: e00314aa  mov	x0, x20
0xfffffff008f04810: f10309aa  mov	x17, x9
0xfffffff008f04814: 1159e3f2  movk	x17, #0x1ac8, lsl #48
0xfffffff008f04818: 11093fd7  blraa	x8, x17
0xfffffff008f0481c: e10316aa  mov	x1, x22
0xfffffff008f04820: 357dcf97  bl	#0xfffffff0082e3cf4
0xfffffff008f04824: f50300aa  mov	x21, x0
0xfffffff008f04828: 000400b4  cbz	x0, #0xfffffff008f048a8
0xfffffff008f0482c: b00240f9  ldr	x16, [x21]
0xfffffff008f04830: f10315aa  mov	x17, x21
0xfffffff008f04834: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f04838: 301ac1da  autda	x16, x17
