; Candidate 7769
; ADRP+ADD at VM 0xfffffff00887e4e0 (fileoff 0x187a4e0): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887e460: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00887e464: 08258052  mov	w8, #0x128
0xfffffff00887e468: 694dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff00887e46c: 29c11191  add	x9, x9, #0x470
0xfffffff00887e470: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887e474: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e478: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e47c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887e480: 280b8052  mov	w8, #0x59
0xfffffff00887e484: 004dfff0  adrp	x0, #0xfffffff007221000
0xfffffff00887e488: 00e01f91  add	x0, x0, #0x7f8
0xfffffff00887e48c: f52300a9  stp	x21, x8, [sp]
0xfffffff00887e490: f4e3d497  bl	#0xfffffff007db7460
0xfffffff00887e494: 1b000014  b	#0xfffffff00887e500
0xfffffff00887e498: 45d70094  bl	#0xfffffff0088b41ac
0xfffffff00887e49c: f50300aa  mov	x21, x0
0xfffffff00887e4a0: 80008052  mov	w0, #4
0xfffffff00887e4a4: ebf4ff97  bl	#0xfffffff00887b850
0xfffffff00887e4a8: 68264329  ldp	w8, w9, [x19, #0x18]
0xfffffff00887e4ac: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00887e4b0: 884cfff0  adrp	x8, #0xfffffff007211000
0xfffffff00887e4b4: 08591891  add	x8, x8, #0x616
0xfffffff00887e4b8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887e4bc: 08258052  mov	w8, #0x128
0xfffffff00887e4c0: 694dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff00887e4c4: 29c11191  add	x9, x9, #0x470
0xfffffff00887e4c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887e4cc: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e4d0: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e4d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887e4d8: 280b8052  mov	w8, #0x59
0xfffffff00887e4dc: f52300a9  stp	x21, x8, [sp]
0xfffffff00887e4e0: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887e4e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887e4e8: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887e4ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887e4f0: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887e4f4: 63d00791  add	x3, x3, #0x1f4
0xfffffff00887e4f8: 02008052  mov	w2, #0
0xfffffff00887e4fc: 0dd3ea97  bl	#0xfffffff008333130
0xfffffff00887e500: 557e8012  mov	w21, #-0x3f3
0xfffffff00887e504: 8dffff17  b	#0xfffffff00887e338
0xfffffff00887e508: 7f2303d5  pacibsp	
0xfffffff00887e50c: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00887e510: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00887e514: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00887e518: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00887e51c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00887e520: fd430291  add	x29, sp, #0x90
0xfffffff00887e524: f50302aa  mov	x21, x2
0xfffffff00887e528: f40301aa  mov	x20, x1
0xfffffff00887e52c: f30300aa  mov	x19, x0
0xfffffff00887e530: 200b8052  mov	w0, #0x59
0xfffffff00887e534: 01018052  mov	w1, #8
0xfffffff00887e538: a6f4ff97  bl	#0xfffffff00887b7d0
0xfffffff00887e53c: 00060034  cbz	w0, #0xfffffff00887e5fc
0xfffffff00887e540: 200b8052  mov	w0, #0x59
0xfffffff00887e544: b5f4ff97  bl	#0xfffffff00887b818
0xfffffff00887e548: f70300aa  mov	x23, x0
0xfffffff00887e54c: 18d70094  bl	#0xfffffff0088b41ac
0xfffffff00887e550: f60300aa  mov	x22, x0
0xfffffff00887e554: 00018052  mov	w0, #8
0xfffffff00887e558: bef4ff97  bl	#0xfffffff00887b850
0xfffffff00887e55c: 17020034  cbz	w23, #0xfffffff00887e59c
