; Candidate 15157
; ADRP+ADD at VM 0xfffffff009ae2bbc (fileoff 0x2adebbc): page=0x1fdb35000 add_imm=0xe7e

0xfffffff009ae2b3c: 00e40a91  add	x0, x0, #0x2b9
0xfffffff009ae2b40: 73c6a697  bl	#0xfffffff00849450c
0xfffffff009ae2b44: 7f2303d5  pacibsp	
0xfffffff009ae2b48: ff8300d1  sub	sp, sp, #0x20
0xfffffff009ae2b4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ae2b50: fd430091  add	x29, sp, #0x10
0xfffffff009ae2b54: 88d9fef0  adrp	x8, #0xfffffff007615000
0xfffffff009ae2b58: 089d0291  add	x8, x8, #0xa7
0xfffffff009ae2b5c: 293e8052  mov	w9, #0x1f1
0xfffffff009ae2b60: e82700a9  stp	x8, x9, [sp]
0xfffffff009ae2b64: 80d9fef0  adrp	x0, #0xfffffff007615000
0xfffffff009ae2b68: 00b00191  add	x0, x0, #0x6c
0xfffffff009ae2b6c: 68c6a697  bl	#0xfffffff00849450c
0xfffffff009ae2b70: 7f2303d5  pacibsp	
0xfffffff009ae2b74: ff8300d1  sub	sp, sp, #0x20
0xfffffff009ae2b78: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ae2b7c: fd430091  add	x29, sp, #0x10
0xfffffff009ae2b80: 88d9fef0  adrp	x8, #0xfffffff007615000
0xfffffff009ae2b84: 089d0291  add	x8, x8, #0xa7
0xfffffff009ae2b88: a9408052  mov	w9, #0x205
0xfffffff009ae2b8c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ae2b90: 80d9fef0  adrp	x0, #0xfffffff007615000
0xfffffff009ae2b94: 00d40291  add	x0, x0, #0xb5
0xfffffff009ae2b98: 5dc6a697  bl	#0xfffffff00849450c
0xfffffff009ae2b9c: 7f2303d5  pacibsp	
0xfffffff009ae2ba0: ff8300d1  sub	sp, sp, #0x20
0xfffffff009ae2ba4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ae2ba8: fd430091  add	x29, sp, #0x10
0xfffffff009ae2bac: a8d9feb0  adrp	x8, #0xfffffff007617000
0xfffffff009ae2bb0: 08413791  add	x8, x8, #0xdd0
0xfffffff009ae2bb4: a9808052  mov	w9, #0x405
0xfffffff009ae2bb8: e82700a9  stp	x8, x9, [sp]
0xfffffff009ae2bbc: a0d9feb0  adrp	x0, #0xfffffff007617000
0xfffffff009ae2bc0: 00f83991  add	x0, x0, #0xe7e
0xfffffff009ae2bc4: 52c6a697  bl	#0xfffffff00849450c
0xfffffff009ae2bc8: 7f2303d5  pacibsp	
0xfffffff009ae2bcc: ffc300d1  sub	sp, sp, #0x30
0xfffffff009ae2bd0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009ae2bd4: fd830091  add	x29, sp, #0x20
0xfffffff009ae2bd8: 08c98052  mov	w8, #0x648
0xfffffff009ae2bdc: a9d9feb0  adrp	x9, #0xfffffff007617000
0xfffffff009ae2be0: 29413791  add	x9, x9, #0xdd0
0xfffffff009ae2be4: aad9feb0  adrp	x10, #0xfffffff007617000
0xfffffff009ae2be8: 4a693d91  add	x10, x10, #0xf5a
0xfffffff009ae2bec: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009ae2bf0: ea0300f9  str	x10, [sp]
0xfffffff009ae2bf4: 80d9fed0  adrp	x0, #0xfffffff007614000
0xfffffff009ae2bf8: 00300f91  add	x0, x0, #0x3cc
0xfffffff009ae2bfc: 44c6a697  bl	#0xfffffff00849450c
0xfffffff009ae2c00: 7f2303d5  pacibsp	
0xfffffff009ae2c04: ff8300d1  sub	sp, sp, #0x20
0xfffffff009ae2c08: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ae2c0c: fd430091  add	x29, sp, #0x10
0xfffffff009ae2c10: a8d9feb0  adrp	x8, #0xfffffff007617000
0xfffffff009ae2c14: 08413791  add	x8, x8, #0xdd0
0xfffffff009ae2c18: 49518152  mov	w9, #0xa8a
0xfffffff009ae2c1c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ae2c20: a0d9fed0  adrp	x0, #0xfffffff007618000
0xfffffff009ae2c24: 00f80991  add	x0, x0, #0x27e
0xfffffff009ae2c28: 39c6a697  bl	#0xfffffff00849450c
0xfffffff009ae2c2c: 7f2303d5  pacibsp	
0xfffffff009ae2c30: ff8300d1  sub	sp, sp, #0x20
0xfffffff009ae2c34: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009ae2c38: fd430091  add	x29, sp, #0x10
