; Candidate 1361
; ADRP+ADD at VM 0xfffffff008385d64 (fileoff 0x1381d64): page=0x1fed18000 add_imm=0xd9d

0xfffffff008385ce4: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008385ce8: 11093fd7  blraa	x8, x17
0xfffffff008385cec: f30300aa  mov	x19, x0
0xfffffff008385cf0: 000300b4  cbz	x0, #0xfffffff008385d50
0xfffffff008385cf4: 700240f9  ldr	x16, [x19]
0xfffffff008385cf8: f10313aa  mov	x17, x19
0xfffffff008385cfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008385d00: 301ac1da  autda	x16, x17
0xfffffff008385d04: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff008385d08: e90310aa  mov	x9, x16
0xfffffff008385d0c: e00313aa  mov	x0, x19
0xfffffff008385d10: 01008052  mov	w1, #0
0xfffffff008385d14: f10309aa  mov	x17, x9
0xfffffff008385d18: b1bde3f2  movk	x17, #0x1ded, lsl #48
0xfffffff008385d1c: 11093fd7  blraa	x8, x17
0xfffffff008385d20: 80010037  tbnz	w0, #0, #0xfffffff008385d50
0xfffffff008385d24: 700240f9  ldr	x16, [x19]
0xfffffff008385d28: f10313aa  mov	x17, x19
0xfffffff008385d2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008385d30: 301ac1da  autda	x16, x17
0xfffffff008385d34: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008385d38: e90310aa  mov	x9, x16
0xfffffff008385d3c: e00313aa  mov	x0, x19
0xfffffff008385d40: f10309aa  mov	x17, x9
0xfffffff008385d44: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008385d48: 11093fd7  blraa	x8, x17
0xfffffff008385d4c: 130080d2  mov	x19, #0
0xfffffff008385d50: a8f400b0  adrp	x8, #0xfffffff00a21a000
0xfffffff008385d54: 13f501f9  str	x19, [x8, #0x3e8]
0xfffffff008385d58: 9c46ff97  bl	#0xfffffff0083577c8
0xfffffff008385d5c: a8f400b0  adrp	x8, #0xfffffff00a21a000
0xfffffff008385d60: 00f101f9  str	x0, [x8, #0x3e0]
0xfffffff008385d64: c068ff90  adrp	x0, #0xfffffff00709d000
0xfffffff008385d68: 00743691  add	x0, x0, #0xd9d
0xfffffff008385d6c: 338dfe97  bl	#0xfffffff008329238
0xfffffff008385d70: a8f400b0  adrp	x8, #0xfffffff00a21a000
0xfffffff008385d74: 00a101f9  str	x0, [x8, #0x340]
0xfffffff008385d78: 13f600f0  adrp	x19, #0xfffffff00a248000
0xfffffff008385d7c: 73a20091  add	x19, x19, #0x28
0xfffffff008385d80: 10000090  adrp	x16, #0xfffffff008385000
0xfffffff008385d84: 10f23991  add	x16, x16, #0xe7c
0xfffffff008385d88: f1a09ad2  mov	x17, #0xd507
0xfffffff008385d8c: 3002c1da  pacia	x16, x17
0xfffffff008385d90: e00310aa  mov	x0, x16
0xfffffff008385d94: 010080d2  mov	x1, #0
0xfffffff008385d98: e20313aa  mov	x2, x19
0xfffffff008385d9c: 8b90e997  bl	#0xfffffff007de9fc8
0xfffffff008385da0: 680240f9  ldr	x8, [x19]
0xfffffff008385da4: 280600b4  cbz	x8, #0xfffffff008385e68
0xfffffff008385da8: 00a11291  add	x0, x8, #0x4a8
0xfffffff008385dac: 010942f9  ldr	x1, [x8, #0x410]
0xfffffff008385db0: c268ff90  adrp	x2, #0xfffffff00709d000
0xfffffff008385db4: 42c83691  add	x2, x2, #0xdb2
0xfffffff008385db8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008385dbc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008385dc0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008385dc4: ff030191  add	sp, sp, #0x40
0xfffffff008385dc8: ff2303d5  autibsp	
0xfffffff008385dcc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008385dd0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008385dd8
0xfffffff008385dd4: 208e38d4  brk	#0xc471
0xfffffff008385dd8: c23dfb17  b	#0xfffffff0082554e0
0xfffffff008385ddc: 700240f9  ldr	x16, [x19]
0xfffffff008385de0: f10313aa  mov	x17, x19
