; Candidate 15190
; ADRP+ADD at VM 0xfffffff009b2dcd4 (fileoff 0x2b29cd4): page=0x88c000 add_imm=0xd30

0xfffffff009b2dc54: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b2dc58: ff0f5fd6  retab	
0xfffffff009b2dc5c: 5f2403d5  bti	c
0xfffffff009b2dc60: 3f0000b9  str	wzr, [x1]
0xfffffff009b2dc64: e0588052  mov	w0, #0x2c7
0xfffffff009b2dc68: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009b2dc6c: c0035fd6  ret	
0xfffffff009b2dc70: 5f2403d5  bti	c
0xfffffff009b2dc74: a0da9e17  b	#0xfffffff0082e46f4
0xfffffff009b2dc78: 5f2403d5  bti	c
0xfffffff009b2dc7c: c0035fd6  ret	
0xfffffff009b2dc80: 7f2303d5  pacibsp	
0xfffffff009b2dc84: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2dc88: fd030091  mov	x29, sp
0xfffffff009b2dc8c: 60440090  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2dc90: 00c03491  add	x0, x0, #0xd30
0xfffffff009b2dc94: c1d7fe90  adrp	x1, #0xfffffff007625000
0xfffffff009b2dc98: 21503791  add	x1, x1, #0xdd4
0xfffffff009b2dc9c: 220dfff0  adrp	x2, #0xfffffff007cd4000
0xfffffff009b2dca0: 424045f9  ldr	x2, [x2, #0xa80]
0xfffffff009b2dca4: 03468052  mov	w3, #0x230
0xfffffff009b2dca8: a4d79e97  bl	#0xfffffff0082e3b38
0xfffffff009b2dcac: 500dffd0  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2dcb0: 10420d91  add	x16, x16, #0x350
0xfffffff009b2dcb4: 10420091  add	x16, x16, #0x10
0xfffffff009b2dcb8: f10300aa  mov	x17, x0
0xfffffff009b2dcbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2dcc0: 300ac1da  pacda	x16, x17
0xfffffff009b2dcc4: 100000f9  str	x16, [x0]
0xfffffff009b2dcc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b2dccc: ff0f5fd6  retab	
0xfffffff009b2dcd0: 5f2403d5  bti	c
0xfffffff009b2dcd4: 60440090  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2dcd8: 00c03491  add	x0, x0, #0xd30
0xfffffff009b2dcdc: 86da9e17  b	#0xfffffff0082e46f4
0xfffffff009b2dce0: 7f2303d5  pacibsp	
0xfffffff009b2dce4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2dce8: fd030091  mov	x29, sp
0xfffffff009b2dcec: c1d7feb0  adrp	x1, #0xfffffff007626000
0xfffffff009b2dcf0: 21fc1891  add	x1, x1, #0x63f
0xfffffff009b2dcf4: 220dfff0  adrp	x2, #0xfffffff007cd4000
0xfffffff009b2dcf8: 423445f9  ldr	x2, [x2, #0xa68]
0xfffffff009b2dcfc: 03038052  mov	w3, #0x18
0xfffffff009b2dd00: 8ed79e97  bl	#0xfffffff0082e3b38
0xfffffff009b2dd04: 500dffd0  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2dd08: 10821791  add	x16, x16, #0x5e0
0xfffffff009b2dd0c: 10420091  add	x16, x16, #0x10
0xfffffff009b2dd10: f10300aa  mov	x17, x0
0xfffffff009b2dd14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2dd18: 300ac1da  pacda	x16, x17
0xfffffff009b2dd1c: 100000f9  str	x16, [x0]
0xfffffff009b2dd20: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b2dd24: ff0f5fd6  retab	
0xfffffff009b2dd28: 5f2403d5  bti	c
0xfffffff009b2dd2c: 72da9e17  b	#0xfffffff0082e46f4
0xfffffff009b2dd30: 7f2303d5  pacibsp	
0xfffffff009b2dd34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2dd38: fd030091  mov	x29, sp
0xfffffff009b2dd3c: 8ce69e97  bl	#0xfffffff0082e776c
0xfffffff009b2dd40: 500dffd0  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2dd44: 10421591  add	x16, x16, #0x550
0xfffffff009b2dd48: 10420091  add	x16, x16, #0x10
0xfffffff009b2dd4c: f10300aa  mov	x17, x0
0xfffffff009b2dd50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
