; Candidate 3918
; ADRP+ADD at VM 0xfffffff008773dc4 (fileoff 0x176fdc4): page=0x1fe9be000 add_imm=0xd90

0xfffffff008773d44: ada560d3  ubfx	x13, x13, #0x20, #0xa
0xfffffff008773d48: ab251633  bfi	w11, w13, #0xa, #0xa
0xfffffff008773d4c: 4a510e91  add	x10, x10, #0x394
0xfffffff008773d50: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008773d54: 4b250c33  bfi	w11, w10, #0x14, #0xa
0xfffffff008773d58: 2cc103f8  stur	x12, [x9, #0x3c]
0xfffffff008773d5c: 0b1506b9  str	w11, [x8, #0x614]
0xfffffff008773d60: c0035fd6  ret	
0xfffffff008773d64: 7f2303d5  pacibsp	
0xfffffff008773d68: ff0301d1  sub	sp, sp, #0x40
0xfffffff008773d6c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008773d70: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008773d74: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008773d78: fdc30091  add	x29, sp, #0x30
0xfffffff008773d7c: 081041b9  ldr	w8, [x0, #0x110]
0xfffffff008773d80: 090c8052  mov	w9, #0x60
0xfffffff008773d84: 0801099b  madd	x8, x8, x9, x0
0xfffffff008773d88: 09a94b79  ldrh	w9, [x8, #0x5d4]
0xfffffff008773d8c: 0a118052  mov	w10, #0x88
0xfffffff008773d90: 29010a9b  madd	x9, x9, x10, x0
0xfffffff008773d94: 339d40f9  ldr	x19, [x9, #0x138]
0xfffffff008773d98: 08ad4b79  ldrh	w8, [x8, #0x5d6]
0xfffffff008773d9c: 16150012  and	w22, w8, #0x3f
0xfffffff008773da0: 68364079  ldrh	w8, [x19, #0x1a]
0xfffffff008773da4: 1f010071  cmp	w8, #0
0xfffffff008773da8: f5079f1a  cset	w21, ne
0xfffffff008773dac: f4139f5a  csetm	w20, eq
0xfffffff008773db0: a8010035  cbnz	w8, #0xfffffff008773de4
0xfffffff008773db4: 284d8052  mov	w8, #0x269
0xfffffff008773db8: 294ffff0  adrp	x9, #0xfffffff00715a000
0xfffffff008773dbc: 297d0691  add	x9, x9, #0x19f
0xfffffff008773dc0: e92300a9  stp	x9, x8, [sp]
0xfffffff008773dc4: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008773dc8: 00403691  add	x0, x0, #0xd90
0xfffffff008773dcc: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008773dd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008773dd4: 834effb0  adrp	x3, #0xfffffff007144000
0xfffffff008773dd8: 636c0291  add	x3, x3, #0x9b
0xfffffff008773ddc: 02008052  mov	w2, #0
0xfffffff008773de0: d4fcee97  bl	#0xfffffff008333130
0xfffffff008773de4: 8a1f8652  mov	w10, #0x30fc
0xfffffff008773de8: 4a00a072  movk	w10, #2, lsl #16
0xfffffff008773dec: 88028352  mov	w8, #0x1814
0xfffffff008773df0: cb7e081b  mul	w11, w22, w8
0xfffffff008773df4: 68010a0b  add	w8, w11, w10
0xfffffff008773df8: 29008052  mov	w9, #1
0xfffffff008773dfc: 899fa072  movk	w9, #0x4fc, lsl #16
0xfffffff008773e00: 0901092a  orr	w9, w8, w9
0xfffffff008773e04: 690200b9  str	w9, [x19]
0xfffffff008773e08: 08111411  add	w8, w8, #0x504
0xfffffff008773e0c: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff008773e10: 29008052  mov	w9, #1
0xfffffff008773e14: 8900a072  movk	w9, #4, lsl #16
0xfffffff008773e18: 0801092a  orr	w8, w8, w9
0xfffffff008773e1c: 680206b9  str	w8, [x19, #0x600]
0xfffffff008773e20: 69da4779  ldrh	w9, [x19, #0x3ec]
0xfffffff008773e24: 6cde4779  ldrh	w12, [x19, #0x3ee]
0xfffffff008773e28: 8c7d099b  mul	x12, x12, x9
0xfffffff008773e2c: 9f090071  cmp	w12, #2
0xfffffff008773e30: c3000054  b.lo	#0xfffffff008773e48
0xfffffff008773e34: 69321891  add	x9, x19, #0x60c
0xfffffff008773e38: 8c0500d1  sub	x12, x12, #1
0xfffffff008773e3c: 28c500b8  str	w8, [x9], #0xc
0xfffffff008773e40: 8c0500f1  subs	x12, x12, #1
