; Candidate 5425
; ADRP+ADD at VM 0xfffffff0087f01c4 (fileoff 0x17ec1c4): page=0x1fe9f9000 add_imm=0xe80

0xfffffff0087f0144: 6ac646b9  ldr	w10, [x19, #0x6c4]
0xfffffff0087f0148: 6bca46b9  ldr	w11, [x19, #0x6c8]
0xfffffff0087f014c: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087f0150: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f0154: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f0158: 080f8052  mov	w8, #0x78
0xfffffff0087f015c: 2051ff90  adrp	x0, #0xfffffff007214000
0xfffffff0087f0160: 00a03991  add	x0, x0, #0xe68
0xfffffff0087f0164: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f0168: be1cd797  bl	#0xfffffff007db7460
0xfffffff0087f016c: 72000014  b	#0xfffffff0087f0334
0xfffffff0087f0170: 0f100394  bl	#0xfffffff0088b41ac
0xfffffff0087f0174: f30300aa  mov	x19, x0
0xfffffff0087f0178: 80008052  mov	w0, #4
0xfffffff0087f017c: b52d0294  bl	#0xfffffff00887b850
0xfffffff0087f0180: e80316aa  mov	x8, x22
0xfffffff0087f0184: a91a40b9  ldr	w9, [x21, #0x18]
0xfffffff0087f0188: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f018c: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f0190: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f0194: 0851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087f0198: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f019c: c9518052  mov	w9, #0x28e
0xfffffff0087f01a0: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087f01a4: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f01a8: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f01ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f01b0: a80e8052  mov	w8, #0x75
0xfffffff0087f01b4: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f01b8: 63e81991  add	x3, x3, #0x67a
0xfffffff0087f01bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f01c0: f30300f9  str	x19, [sp]
0xfffffff0087f01c4: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f01c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f01cc: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f01d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f01d4: 02008052  mov	w2, #0
0xfffffff0087f01d8: d60bed97  bl	#0xfffffff008333130
0xfffffff0087f01dc: 53ffff17  b	#0xfffffff0087eff28
0xfffffff0087f01e0: 280340f9  ldr	x8, [x25]
0xfffffff0087f01e4: 08410091  add	x8, x8, #0x10
0xfffffff0087f01e8: 090140b9  ldr	w9, [x8]
0xfffffff0087f01ec: e8c20391  add	x8, x23, #0xf0
0xfffffff0087f01f0: 2a018052  mov	w10, #9
0xfffffff0087f01f4: 0b910ad1  sub	x11, x8, #0x2a4
0xfffffff0087f01f8: 6b0140b9  ldr	w11, [x11]
0xfffffff0087f01fc: 7f01096b  cmp	w11, w9
0xfffffff0087f0200: 20f8ff54  b.eq	#0xfffffff0087f0104
0xfffffff0087f0204: 08110091  add	x8, x8, #4
0xfffffff0087f0208: 4a0500f1  subs	x10, x10, #1
0xfffffff0087f020c: 41ffff54  b.ne	#0xfffffff0087f01f4
0xfffffff0087f0210: 60008052  mov	w0, #3
0xfffffff0087f0214: 81008052  mov	w1, #4
0xfffffff0087f0218: 6e2d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f021c: c0350034  cbz	w0, #0xfffffff0087f08d4
0xfffffff0087f0220: 60008052  mov	w0, #3
0xfffffff0087f0224: 7d2d0294  bl	#0xfffffff00887b818
0xfffffff0087f0228: f40300aa  mov	x20, x0
0xfffffff0087f022c: e00f0394  bl	#0xfffffff0088b41ac
0xfffffff0087f0230: f30300aa  mov	x19, x0
0xfffffff0087f0234: 80008052  mov	w0, #4
0xfffffff0087f0238: 862d0294  bl	#0xfffffff00887b850
0xfffffff0087f023c: f42e0034  cbz	w20, #0xfffffff0087f0818
0xfffffff0087f0240: 2a018052  mov	w10, #9
