; Candidate 6434
; ADRP+ADD at VM 0xfffffff00882afbc (fileoff 0x1826fbc): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882af3c: 08490091  add	x8, x8, #0x12
0xfffffff00882af40: a9158052  mov	w9, #0xad
0xfffffff00882af44: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882af48: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882af4c: 08e93c91  add	x8, x8, #0xf3a
0xfffffff00882af50: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882af54: a80a8052  mov	w8, #0x55
0xfffffff00882af58: f52300a9  stp	x21, x8, [sp]
0xfffffff00882af5c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882af60: 00003a91  add	x0, x0, #0xe80
0xfffffff00882af64: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882af68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882af6c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882af70: 63e40791  add	x3, x3, #0x1f9
0xfffffff00882af74: 02008052  mov	w2, #0
0xfffffff00882af78: 6e20ec97  bl	#0xfffffff008333130
0xfffffff00882af7c: 000080d2  mov	x0, #0
0xfffffff00882af80: b4ffff17  b	#0xfffffff00882ae50
0xfffffff00882af84: 8a240294  bl	#0xfffffff0088b41ac
0xfffffff00882af88: f50300aa  mov	x21, x0
0xfffffff00882af8c: 80008052  mov	w0, #4
0xfffffff00882af90: 30420194  bl	#0xfffffff00887b850
0xfffffff00882af94: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00882af98: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882af9c: 08a90091  add	x8, x8, #0x2a
0xfffffff00882afa0: 29168052  mov	w9, #0xb1
0xfffffff00882afa4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882afa8: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882afac: 08e93c91  add	x8, x8, #0xf3a
0xfffffff00882afb0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882afb4: a80a8052  mov	w8, #0x55
0xfffffff00882afb8: f52300a9  stp	x21, x8, [sp]
0xfffffff00882afbc: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882afc0: 00003a91  add	x0, x0, #0xe80
0xfffffff00882afc4: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882afc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882afcc: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882afd0: 63ac0891  add	x3, x3, #0x22b
0xfffffff00882afd4: 02008052  mov	w2, #0
0xfffffff00882afd8: 5620ec97  bl	#0xfffffff008333130
0xfffffff00882afdc: 000080d2  mov	x0, #0
0xfffffff00882afe0: 9cffff17  b	#0xfffffff00882ae50
0xfffffff00882afe4: 7f2303d5  pacibsp	
0xfffffff00882afe8: ffc301d1  sub	sp, sp, #0x70
0xfffffff00882afec: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00882aff0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00882aff4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00882aff8: fd830191  add	x29, sp, #0x60
0xfffffff00882affc: f40301aa  mov	x20, x1
0xfffffff00882b000: f30300aa  mov	x19, x0
0xfffffff00882b004: 800600b4  cbz	x0, #0xfffffff00882b0d4
0xfffffff00882b008: 740600b4  cbz	x20, #0xfffffff00882b0d4
0xfffffff00882b00c: e88effb0  adrp	x8, #0xfffffff007a08000
0xfffffff00882b010: 083542f9  ldr	x8, [x8, #0x468]
0xfffffff00882b014: 020140f9  ldr	x2, [x8]
0xfffffff00882b018: 700240f9  ldr	x16, [x19]
0xfffffff00882b01c: f10313aa  mov	x17, x19
0xfffffff00882b020: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882b024: 301ac1da  autda	x16, x17
0xfffffff00882b028: 112680d2  mov	x17, #0x130
0xfffffff00882b02c: 1002118b  add	x16, x16, x17
0xfffffff00882b030: 080240f9  ldr	x8, [x16]
0xfffffff00882b034: e90310aa  mov	x9, x16
0xfffffff00882b038: a14ffff0  adrp	x1, #0xfffffff007222000
