; Candidate 8425
; ADRP+ADD at VM 0xfffffff0088aa0d4 (fileoff 0x18a60d4): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aa054: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088aa058: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa05c: 08890591  add	x8, x8, #0x162
0xfffffff0088aa060: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088aa064: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088aa068: c80f8052  mov	w8, #0x7e
0xfffffff0088aa06c: 404cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088aa070: 00f40591  add	x0, x0, #0x17d
0xfffffff0088aa074: f82300a9  stp	x24, x8, [sp]
0xfffffff0088aa078: fa34d497  bl	#0xfffffff007db7460
0xfffffff0088aa07c: 92000014  b	#0xfffffff0088aa2c4
0xfffffff0088aa080: 4b280094  bl	#0xfffffff0088b41ac
0xfffffff0088aa084: f80300aa  mov	x24, x0
0xfffffff0088aa088: 80008052  mov	w0, #4
0xfffffff0088aa08c: f145ff97  bl	#0xfffffff00887b850
0xfffffff0088aa090: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088aa094: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088aa098: e80317aa  mov	x8, x23
0xfffffff0088aa09c: e82300f9  str	x8, [sp, #0x40]
0xfffffff0088aa0a0: e80314aa  mov	x8, x20
0xfffffff0088aa0a4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088aa0a8: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa0ac: 08710091  add	x8, x8, #0x1c
0xfffffff0088aa0b0: e9378052  mov	w9, #0x1bf
0xfffffff0088aa0b4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088aa0b8: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa0bc: 08890591  add	x8, x8, #0x162
0xfffffff0088aa0c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa0c4: c80f8052  mov	w8, #0x7e
0xfffffff0088aa0c8: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa0cc: 63a40891  add	x3, x3, #0x229
0xfffffff0088aa0d0: f82300a9  stp	x24, x8, [sp]
0xfffffff0088aa0d4: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa0d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa0dc: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa0e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa0e4: 02008052  mov	w2, #0
0xfffffff0088aa0e8: 1224ea97  bl	#0xfffffff008333130
0xfffffff0088aa0ec: 187d8012  mov	w24, #-0x3e9
0xfffffff0088aa0f0: 7c000014  b	#0xfffffff0088aa2e0
0xfffffff0088aa0f4: 2e280094  bl	#0xfffffff0088b41ac
0xfffffff0088aa0f8: f80300aa  mov	x24, x0
0xfffffff0088aa0fc: 00018052  mov	w0, #8
0xfffffff0088aa100: d445ff97  bl	#0xfffffff00887b850
0xfffffff0088aa104: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088aa108: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088aa10c: e95b04a9  stp	x9, x22, [sp, #0x40]
0xfffffff0088aa110: e90314aa  mov	x9, x20
0xfffffff0088aa114: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088aa118: 683e8052  mov	w8, #0x1f3
0xfffffff0088aa11c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088aa120: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa124: 08890591  add	x8, x8, #0x162
0xfffffff0088aa128: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa12c: c80f8052  mov	w8, #0x7e
0xfffffff0088aa130: f82300a9  stp	x24, x8, [sp]
0xfffffff0088aa134: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa138: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa13c: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa140: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa144: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa148: 63a80a91  add	x3, x3, #0x2aa
0xfffffff0088aa14c: 02008052  mov	w2, #0
0xfffffff0088aa150: f823ea97  bl	#0xfffffff008333130
