; Candidate 6855
; ADRP+ADD at VM 0xfffffff0088466b0 (fileoff 0x18426b0): page=0x1fe9de000 add_imm=0xdf3

0xfffffff008846630: f10309aa  mov	x17, x9
0xfffffff008846634: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008846638: 11093fd7  blraa	x8, x17
0xfffffff00884663c: 7f2e00f9  str	xzr, [x19, #0x58]
0xfffffff008846640: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff008846644: 810000b4  cbz	x1, #0xfffffff008846654
0xfffffff008846648: e00315aa  mov	x0, x21
0xfffffff00884664c: b0460194  bl	#0xfffffff00889810c
0xfffffff008846650: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff008846654: c00d8052  mov	w0, #0x6e
0xfffffff008846658: e1008052  mov	w1, #7
0xfffffff00884665c: 5dd40094  bl	#0xfffffff00887b7d0
0xfffffff008846660: 20060034  cbz	w0, #0xfffffff008846724
0xfffffff008846664: c00d8052  mov	w0, #0x6e
0xfffffff008846668: 6cd40094  bl	#0xfffffff00887b818
0xfffffff00884666c: fb0300aa  mov	x27, x0
0xfffffff008846670: cfb60194  bl	#0xfffffff0088b41ac
0xfffffff008846674: fa0300aa  mov	x26, x0
0xfffffff008846678: e0008052  mov	w0, #7
0xfffffff00884667c: 75d40094  bl	#0xfffffff00887b850
0xfffffff008846680: 3b020034  cbz	w27, #0xfffffff0088466c4
0xfffffff008846684: e80319aa  mov	x8, x25
0xfffffff008846688: f82305a9  stp	x24, x8, [sp, #0x50]
0xfffffff00884668c: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff008846690: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008846694: e84effd0  adrp	x8, #0xfffffff007224000
0xfffffff008846698: 08353091  add	x8, x8, #0xc0d
0xfffffff00884669c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088466a0: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff0088466a4: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088466a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088466ac: c80d8052  mov	w8, #0x6e
0xfffffff0088466b0: e04effd0  adrp	x0, #0xfffffff007224000
0xfffffff0088466b4: 00cc3791  add	x0, x0, #0xdf3
0xfffffff0088466b8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088466bc: 69c3d597  bl	#0xfffffff007db7460
0xfffffff0088466c0: 19000014  b	#0xfffffff008846724
0xfffffff0088466c4: bab60194  bl	#0xfffffff0088b41ac
0xfffffff0088466c8: fa0300aa  mov	x26, x0
0xfffffff0088466cc: e0008052  mov	w0, #7
0xfffffff0088466d0: 60d40094  bl	#0xfffffff00887b850
0xfffffff0088466d4: e80319aa  mov	x8, x25
0xfffffff0088466d8: f82305a9  stp	x24, x8, [sp, #0x50]
0xfffffff0088466dc: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff0088466e0: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0088466e4: e84effd0  adrp	x8, #0xfffffff007224000
0xfffffff0088466e8: 08353091  add	x8, x8, #0xc0d
0xfffffff0088466ec: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088466f0: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff0088466f4: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088466f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088466fc: c80d8052  mov	w8, #0x6e
0xfffffff008846700: 4350ffd0  adrp	x3, #0xfffffff007250000
0xfffffff008846704: 63742b91  add	x3, x3, #0xadd
0xfffffff008846708: fa2300a9  stp	x26, x8, [sp]
0xfffffff00884670c: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008846710: 00003a91  add	x0, x0, #0xe80
0xfffffff008846714: 018effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008846718: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884671c: 02008052  mov	w2, #0
0xfffffff008846720: 84b2eb97  bl	#0xfffffff008333130
0xfffffff008846724: e00319aa  mov	x0, x25
0xfffffff008846728: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00884672c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
