; Candidate 14882
; ADRP+ADD at VM 0xfffffff0099d99b4 (fileoff 0x29d59b4): page=0x1fdc1f000 add_imm=0xd54

0xfffffff0099d9934: e8e0feb0  adrp	x8, #0xfffffff0075f6000
0xfffffff0099d9938: 08b52991  add	x8, x8, #0xa6d
0xfffffff0099d993c: 89ac8052  mov	w9, #0x564
0xfffffff0099d9940: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d9944: e0e0feb0  adrp	x0, #0xfffffff0075f6000
0xfffffff0099d9948: 00b82891  add	x0, x0, #0xa2e
0xfffffff0099d994c: f0eaaa97  bl	#0xfffffff00849450c
0xfffffff0099d9950: 7f2303d5  pacibsp	
0xfffffff0099d9954: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9958: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d995c: fd430091  add	x29, sp, #0x10
0xfffffff0099d9960: e8e0fed0  adrp	x8, #0xfffffff0075f7000
0xfffffff0099d9964: 08911691  add	x8, x8, #0x5a4
0xfffffff0099d9968: 89418052  mov	w9, #0x20c
0xfffffff0099d996c: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d9970: e0e0fed0  adrp	x0, #0xfffffff0075f7000
0xfffffff0099d9974: 00941591  add	x0, x0, #0x565
0xfffffff0099d9978: e5eaaa97  bl	#0xfffffff00849450c
0xfffffff0099d997c: 7f2303d5  pacibsp	
0xfffffff0099d9980: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d9984: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d9988: fdc30091  add	x29, sp, #0x30
0xfffffff0099d998c: 08d48252  mov	w8, #0x16a0
0xfffffff0099d9990: e9e0fef0  adrp	x9, #0xfffffff0075f8000
0xfffffff0099d9994: 294d3691  add	x9, x9, #0xd93
0xfffffff0099d9998: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0099d999c: eae0fed0  adrp	x10, #0xfffffff0075f7000
0xfffffff0099d99a0: 4a013e91  add	x10, x10, #0xf80
0xfffffff0099d99a4: abe0fe90  adrp	x11, #0xfffffff0075ed000
0xfffffff0099d99a8: 6b791291  add	x11, x11, #0x49e
0xfffffff0099d99ac: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0099d99b0: eb0300f9  str	x11, [sp]
0xfffffff0099d99b4: e0e0fef0  adrp	x0, #0xfffffff0075f8000
0xfffffff0099d99b8: 00503591  add	x0, x0, #0xd54
0xfffffff0099d99bc: d4eaaa97  bl	#0xfffffff00849450c
0xfffffff0099d99c0: 7f2303d5  pacibsp	
0xfffffff0099d99c4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099d99c8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099d99cc: fd830091  add	x29, sp, #0x20
0xfffffff0099d99d0: 081c0012  and	w8, w0, #0xff
0xfffffff0099d99d4: 09da8352  mov	w9, #0x1ed0
0xfffffff0099d99d8: eae0fef0  adrp	x10, #0xfffffff0075f8000
0xfffffff0099d99dc: 4a4d3691  add	x10, x10, #0xd93
0xfffffff0099d99e0: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0099d99e4: e80300f9  str	x8, [sp]
0xfffffff0099d99e8: 00e1fe90  adrp	x0, #0xfffffff0075f9000
0xfffffff0099d99ec: 00881c91  add	x0, x0, #0x722
0xfffffff0099d99f0: c7eaaa97  bl	#0xfffffff00849450c
0xfffffff0099d99f4: 7f2303d5  pacibsp	
0xfffffff0099d99f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099d99fc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099d9a00: fd830091  add	x29, sp, #0x20
0xfffffff0099d9a04: 2ad48352  mov	w10, #0x1ea1
0xfffffff0099d9a08: e8e0fef0  adrp	x8, #0xfffffff0075f8000
0xfffffff0099d9a0c: 084d3691  add	x8, x8, #0xd93
0xfffffff0099d9a10: 091c4092  and	x9, x0, #0xff
0xfffffff0099d9a14: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0099d9a18: e90300f9  str	x9, [sp]
0xfffffff0099d9a1c: 00e1fe90  adrp	x0, #0xfffffff0075f9000
0xfffffff0099d9a20: 00501a91  add	x0, x0, #0x694
0xfffffff0099d9a24: baeaaa97  bl	#0xfffffff00849450c
0xfffffff0099d9a28: 7f2303d5  pacibsp	
0xfffffff0099d9a2c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9a30: fd7b01a9  stp	x29, x30, [sp, #0x10]
