; Candidate 11312
; ADRP+ADD at VM 0xfffffff008eea3d8 (fileoff 0x1ee63d8): page=0x1fe51d000 add_imm=0xe67

0xfffffff008eea358: 0daf4394  bl	#0xfffffff009fd5f8c
0xfffffff008eea35c: f37340f9  ldr	x19, [sp, #0xe0]
0xfffffff008eea360: f66740f9  ldr	x22, [sp, #0xc8]
0xfffffff008eea364: f7031caa  mov	x23, x28
0xfffffff008eea368: a3c303d1  sub	x3, x29, #0xf0
0xfffffff008eea36c: e10b48a9  ldp	x1, x2, [sp, #0x80]
0xfffffff008eea370: e7f14294  bl	#0xfffffff009fa6b0c
0xfffffff008eea374: a1c303d1  sub	x1, x29, #0xf0
0xfffffff008eea378: e0031caa  mov	x0, x28
0xfffffff008eea37c: 82028052  mov	w2, #0x14
0xfffffff008eea380: acd4be97  bl	#0xfffffff007e9f630
0xfffffff008eea384: 40080034  cbz	w0, #0xfffffff008eea48c
0xfffffff008eea388: fb4b40f9  ldr	x27, [sp, #0x90]
0xfffffff008eea38c: fb0300f9  str	x27, [sp]
0xfffffff008eea390: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea394: 00a40391  add	x0, x0, #0xe9
0xfffffff008eea398: 8dffff17  b	#0xfffffff008eea1cc
0xfffffff008eea39c: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea3a0: 00640d91  add	x0, x0, #0x359
0xfffffff008eea3a4: 26000014  b	#0xfffffff008eea43c
0xfffffff008eea3a8: 086b40b9  ldr	w8, [x24, #0x68]
0xfffffff008eea3ac: 0809c05a  rev	w8, w8
0xfffffff008eea3b0: 1f4d0071  cmp	w8, #0x13
0xfffffff008eea3b4: a8110054  b.hi	#0xfffffff008eea5e8
0xfffffff008eea3b8: e06740f9  ldr	x0, [sp, #0xc8]
0xfffffff008eea3bc: f27eca97  bl	#0xfffffff008189f84
0xfffffff008eea3c0: e00300f9  str	x0, [sp]
0xfffffff008eea3c4: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea3c8: 00c81b91  add	x0, x0, #0x6f2
0xfffffff008eea3cc: cb010014  b	#0xfffffff008eeaaf8
0xfffffff008eea3d0: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008eea3d4: e80300f9  str	x8, [sp]
0xfffffff008eea3d8: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eea3dc: 009c3991  add	x0, x0, #0xe67
0xfffffff008eea3e0: 10b3d197  bl	#0xfffffff008357020
0xfffffff008eea3e4: e8a340b9  ldr	w8, [sp, #0xa0]
0xfffffff008eea3e8: 1f1d0072  tst	w8, #0xff
0xfffffff008eea3ec: f37340f9  ldr	x19, [sp, #0xe0]
0xfffffff008eea3f0: f66740f9  ldr	x22, [sp, #0xc8]
0xfffffff008eea3f4: 60efff54  b.eq	#0xfffffff008eea1e0
0xfffffff008eea3f8: e89b40b9  ldr	w8, [sp, #0x98]
0xfffffff008eea3fc: 28efff35  cbnz	w8, #0xfffffff008eea1e0
0xfffffff008eea400: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eea404: 00581e91  add	x0, x0, #0x796
0xfffffff008eea408: 06b3d197  bl	#0xfffffff008357020
0xfffffff008eea40c: e028ffb0  adrp	x0, #0xfffffff007407000
0xfffffff008eea410: 00241f91  add	x0, x0, #0x7c9
0xfffffff008eea414: 03b3d197  bl	#0xfffffff008357020
0xfffffff008eea418: f90300f9  str	x25, [sp]
0xfffffff008eea41c: e328ffb0  adrp	x3, #0xfffffff007407000
0xfffffff008eea420: 63002091  add	x3, x3, #0x800
0xfffffff008eea424: e00314aa  mov	x0, x20
0xfffffff008eea428: e18b4ba9  ldp	x1, x2, [sp, #0xb8]
0xfffffff008eea42c: 58f3ff97  bl	#0xfffffff008ee718c
0xfffffff008eea430: 74ffff17  b	#0xfffffff008eea200
0xfffffff008eea434: e028ffd0  adrp	x0, #0xfffffff007408000
0xfffffff008eea438: 008c0e91  add	x0, x0, #0x3a3
0xfffffff008eea43c: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008eea440: e80300f9  str	x8, [sp]
0xfffffff008eea444: f7b2d197  bl	#0xfffffff008357020
0xfffffff008eea448: 17008052  mov	w23, #0
0xfffffff008eea44c: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff008eea450: e1031baa  mov	x1, x27
0xfffffff008eea454: 4bb2d197  bl	#0xfffffff008356d80
