; Candidate 449
; ADRP+ADD at VM 0xfffffff007f0e5ec (fileoff 0xf0a5ec): page=0x232e000 add_imm=0xdd8

0xfffffff007f0e56c: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff007f0e570: 1f010071  cmp	w8, #0
0xfffffff007f0e574: 8c000054  b.gt	#0xfffffff007f0e584
0xfffffff007f0e578: 686640b9  ldr	w8, [x19, #0x64]
0xfffffff007f0e57c: 1f090071  cmp	w8, #2
0xfffffff007f0e580: eb010054  b.lt	#0xfffffff007f0e5bc
0xfffffff007f0e584: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007f0e588: 69220091  add	x9, x19, #8
0xfffffff007f0e58c: e20308aa  mov	x2, x8
0xfffffff007f0e590: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f0e594: 5f00086b  cmp	w2, w8
0xfffffff007f0e598: 61030054  b.ne	#0xfffffff007f0e604
0xfffffff007f0e59c: e00313aa  mov	x0, x19
0xfffffff007f0e5a0: 2d000094  bl	#0xfffffff007f0e654
0xfffffff007f0e5a4: 800300b9  str	w0, [x28]
0xfffffff007f0e5a8: 1f000071  cmp	w0, #0
0xfffffff007f0e5ac: f5079f1a  cset	w21, ne
0xfffffff007f0e5b0: e00313aa  mov	x0, x19
0xfffffff007f0e5b4: 5becff97  bl	#0xfffffff007f09720
0xfffffff007f0e5b8: e2ffff17  b	#0xfffffff007f0e540
0xfffffff007f0e5bc: 15008052  mov	w21, #0
0xfffffff007f0e5c0: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007f0e5c4: 69220091  add	x9, x19, #8
0xfffffff007f0e5c8: e20308aa  mov	x2, x8
0xfffffff007f0e5cc: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f0e5d0: 5f00086b  cmp	w2, w8
0xfffffff007f0e5d4: e0feff54  b.eq	#0xfffffff007f0e5b0
0xfffffff007f0e5d8: e00313aa  mov	x0, x19
0xfffffff007f0e5dc: e10314aa  mov	x1, x20
0xfffffff007f0e5e0: 6178fa97  bl	#0xfffffff007dac764
0xfffffff007f0e5e4: 15008052  mov	w21, #0
0xfffffff007f0e5e8: f2ffff17  b	#0xfffffff007f0e5b0
0xfffffff007f0e5ec: 601901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0e5f0: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0e5f4: e10314aa  mov	x1, x20
0xfffffff007f0e5f8: 5b78fa97  bl	#0xfffffff007dac764
0xfffffff007f0e5fc: 15008052  mov	w21, #0
0xfffffff007f0e600: d0ffff17  b	#0xfffffff007f0e540
0xfffffff007f0e604: e00313aa  mov	x0, x19
0xfffffff007f0e608: e10314aa  mov	x1, x20
0xfffffff007f0e60c: 5678fa97  bl	#0xfffffff007dac764
0xfffffff007f0e610: e3ffff17  b	#0xfffffff007f0e59c
0xfffffff007f0e614: 68e64079  ldrh	w8, [x19, #0x72]
0xfffffff007f0e618: 69e24079  ldrh	w9, [x19, #0x70]
0xfffffff007f0e61c: 6a5640b9  ldr	w10, [x19, #0x54]
0xfffffff007f0e620: cbeb8252  mov	w11, #0x175e
0xfffffff007f0e624: 6c8afff0  adrp	x12, #0xfffffff00705d000
0xfffffff007f0e628: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f0e62c: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f0e630: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f0e634: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f0e638: 6a8afff0  adrp	x10, #0xfffffff00705d000
0xfffffff007f0e63c: 4a511991  add	x10, x10, #0x654
0xfffffff007f0e640: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f0e644: 608afff0  adrp	x0, #0xfffffff00705d000
0xfffffff007f0e648: 00001891  add	x0, x0, #0x600
0xfffffff007f0e64c: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007f0e650: af171694  bl	#0xfffffff00849450c
0xfffffff007f0e654: 7f2303d5  pacibsp	
0xfffffff007f0e658: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007f0e65c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007f0e660: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007f0e664: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007f0e668: fdc30091  add	x29, sp, #0x30
