; Candidate 537
; ADRP+ADD at VM 0xfffffff007f78630 (fileoff 0xf74630): page=0x1ff0eb000 add_imm=0xe07

0xfffffff007f785b0: c1020054  b.ne	#0xfffffff007f78608
0xfffffff007f785b4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f785b8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f785bc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007f785c0: ff0f5fd6  retab	
0xfffffff007f785c4: e00313aa  mov	x0, x19
0xfffffff007f785c8: e10314aa  mov	x1, x20
0xfffffff007f785cc: 22008052  mov	w2, #1
0xfffffff007f785d0: 4acdf897  bl	#0xfffffff007dabaf8
0xfffffff007f785d4: e3ffff17  b	#0xfffffff007f78560
0xfffffff007f785d8: 4087ffd0  adrp	x0, #0xfffffff007062000
0xfffffff007f785dc: 00182091  add	x0, x0, #0x806
0xfffffff007f785e0: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f785e4: 21300991  add	x1, x1, #0x24c
0xfffffff007f785e8: a2148452  mov	w2, #0x20a5
0xfffffff007f785ec: 8a9c1494  bl	#0xfffffff00849f814
0xfffffff007f785f0: 4087ffd0  adrp	x0, #0xfffffff007062000
0xfffffff007f785f4: 00b02091  add	x0, x0, #0x82c
0xfffffff007f785f8: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f785fc: 21300991  add	x1, x1, #0x24c
0xfffffff007f78600: c2148452  mov	w2, #0x20a6
0xfffffff007f78604: 849c1494  bl	#0xfffffff00849f814
0xfffffff007f78608: e00313aa  mov	x0, x19
0xfffffff007f7860c: e10314aa  mov	x1, x20
0xfffffff007f78610: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f78614: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f78618: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007f7861c: ff2303d5  autibsp	
0xfffffff007f78620: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f78624: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f7862c
0xfffffff007f78628: 208e38d4  brk	#0xc471
0xfffffff007f7862c: 4ed0f817  b	#0xfffffff007dac764
0xfffffff007f78630: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78634: 001c3891  add	x0, x0, #0xe07
0xfffffff007f78638: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f7863c: 21300991  add	x1, x1, #0x24c
0xfffffff007f78640: 22158452  mov	w2, #0x20a9
0xfffffff007f78644: 749c1494  bl	#0xfffffff00849f814
0xfffffff007f78648: 7f2303d5  pacibsp	
0xfffffff007f7864c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff007f78650: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff007f78654: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff007f78658: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff007f7865c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff007f78660: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff007f78664: fd830291  add	x29, sp, #0xa0
0xfffffff007f78668: f50302aa  mov	x21, x2
0xfffffff007f7866c: f30301aa  mov	x19, x1
0xfffffff007f78670: f40300aa  mov	x20, x0
0xfffffff007f78674: 080080d2  mov	x8, #0
0xfffffff007f78678: 691201f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f7867c: 29010091  add	x9, x9, #0
0xfffffff007f78680: 290140f9  ldr	x9, [x9]
0xfffffff007f78684: a9831bf8  stur	x9, [x29, #-0x48]
0xfffffff007f78688: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f7868c: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff007f78690: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff007f78694: e003803d  str	q0, [sp]
0xfffffff007f78698: 17000c91  add	x23, x0, #0x300
0xfffffff007f7869c: 96d038d5  mrs	x22, tpidr_el1
0xfffffff007f786a0: c91a44b9  ldr	w9, [x22, #0x418]
0xfffffff007f786a4: ca4a41b9  ldr	w10, [x22, #0x148]
0xfffffff007f786a8: 4a050011  add	w10, w10, #1
0xfffffff007f786ac: ca4a01b9  str	w10, [x22, #0x148]
