; Candidate 14820
; ADRP+ADD at VM 0xfffffff009988bf4 (fileoff 0x2984bf4): page=0x1fdc66000 add_imm=0xe44

0xfffffff009988b74: 4a01180a  and	w10, w10, w24
0xfffffff009988b78: 4499407a  ccmp	w10, #0, #4, ls
0xfffffff009988b7c: c0000054  b.eq	#0xfffffff009988b94
0xfffffff009988b80: 49070011  add	w9, w26, #1
0xfffffff009988b84: 291d0012  and	w9, w9, #0xff
0xfffffff009988b88: 3f01286b  cmp	w9, w8, uxtb
0xfffffff009988b8c: a9feff54  b.ls	#0xfffffff009988b60
0xfffffff009988b90: 1c000014  b	#0xfffffff009988c00
0xfffffff009988b94: fa2701a9  stp	x26, x9, [sp, #0x10]
0xfffffff009988b98: f66700a9  stp	x22, x25, [sp]
0xfffffff009988b9c: e00315aa  mov	x0, x21
0xfffffff009988ba0: 2039a797  bl	#0xfffffff008357020
0xfffffff009988ba4: 68e643f9  ldr	x8, [x19, #0x7c8]
0xfffffff009988ba8: 08697a38  ldrb	w8, [x8, x26]
0xfffffff009988bac: fa2301a9  stp	x26, x8, [sp, #0x10]
0xfffffff009988bb0: f66700a9  stp	x22, x25, [sp]
0xfffffff009988bb4: e00315aa  mov	x0, x21
0xfffffff009988bb8: 669aab97  bl	#0xfffffff00846f550
0xfffffff009988bbc: 68e643f9  ldr	x8, [x19, #0x7c8]
0xfffffff009988bc0: 02697a38  ldrb	w2, [x8, x26]
0xfffffff009988bc4: 411f0012  and	w1, w26, #0xff
0xfffffff009988bc8: e00313aa  mov	x0, x19
0xfffffff009988bcc: 2d000094  bl	#0xfffffff009988c80
0xfffffff009988bd0: a0020034  cbz	w0, #0xfffffff009988c24
0xfffffff009988bd4: 685a5039  ldrb	w8, [x19, #0x416]
0xfffffff009988bd8: eaffff17  b	#0xfffffff009988b80
0xfffffff009988bdc: 685100b0  adrp	x8, #0xfffffff00a3b5000
0xfffffff009988be0: 08413d91  add	x8, x8, #0xf50
0xfffffff009988be4: 08014039  ldrb	w8, [x8]
0xfffffff009988be8: c8000036  tbz	w8, #0, #0xfffffff009988c00
0xfffffff009988bec: 88cf8052  mov	w8, #0x67c
0xfffffff009988bf0: f62300a9  stp	x22, x8, [sp]
0xfffffff009988bf4: 20e3fed0  adrp	x0, #0xfffffff0075ee000
0xfffffff009988bf8: 00103991  add	x0, x0, #0xe44
0xfffffff009988bfc: 559aab97  bl	#0xfffffff00846f550
0xfffffff009988c00: 20008052  mov	w0, #1
0xfffffff009988c04: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009988c08: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009988c0c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009988c10: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009988c14: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009988c18: ffc30191  add	sp, sp, #0x70
0xfffffff009988c1c: ff0f5fd6  retab	
0xfffffff009988c20: 94cb8052  mov	w20, #0x65c
0xfffffff009988c24: 20e3feb0  adrp	x0, #0xfffffff0075ed000
0xfffffff009988c28: 00781291  add	x0, x0, #0x49e
0xfffffff009988c2c: 21e3fed0  adrp	x1, #0xfffffff0075ee000
0xfffffff009988c30: 218c0391  add	x1, x1, #0xe3
0xfffffff009988c34: 22e3feb0  adrp	x2, #0xfffffff0075ed000
0xfffffff009988c38: 42d81291  add	x2, x2, #0x4b6
0xfffffff009988c3c: 24e3feb0  adrp	x4, #0xfffffff0075ed000
0xfffffff009988c40: 84143091  add	x4, x4, #0xc05
0xfffffff009988c44: 030080d2  mov	x3, #0
0xfffffff009988c48: e50314aa  mov	x5, x20
0xfffffff009988c4c: 06008052  mov	w6, #0
0xfffffff009988c50: ca3f0194  bl	#0xfffffff0099d8b78
0xfffffff009988c54: b4d08052  mov	w20, #0x685
0xfffffff009988c58: f65300a9  stp	x22, x20, [sp]
0xfffffff009988c5c: 33e3fed0  adrp	x19, #0xfffffff0075ee000
0xfffffff009988c60: 73de3991  add	x19, x19, #0xe77
0xfffffff009988c64: e00313aa  mov	x0, x19
0xfffffff009988c68: ee38a797  bl	#0xfffffff008357020
0xfffffff009988c6c: f65300a9  stp	x22, x20, [sp]
0xfffffff009988c70: e00313aa  mov	x0, x19
