; Candidate 9515
; ADRP+ADD at VM 0xfffffff008a67034 (fileoff 0x1a63034): page=0x1feffb000 add_imm=0xe30

0xfffffff008a66fb4: 10021091  add	x16, x16, #0x400
0xfffffff008a66fb8: 10420091  add	x16, x16, #0x10
0xfffffff008a66fbc: f10300aa  mov	x17, x0
0xfffffff008a66fc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a66fc4: 300ac1da  pacda	x16, x17
0xfffffff008a66fc8: 100000f9  str	x16, [x0]
0xfffffff008a66fcc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a66fd0: ff0f5fd6  retab	
0xfffffff008a66fd4: 5f2403d5  bti	c
0xfffffff008a66fd8: 80dfff17  b	#0xfffffff008a5edd8
0xfffffff008a66fdc: 5f2403d5  bti	c
0xfffffff008a66fe0: 7edfff17  b	#0xfffffff008a5edd8
0xfffffff008a66fe4: 7f2303d5  pacibsp	
0xfffffff008a66fe8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a66fec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a66ff0: fd430091  add	x29, sp, #0x10
0xfffffff008a66ff4: f30300aa  mov	x19, x0
0xfffffff008a66ff8: 78dfff97  bl	#0xfffffff008a5edd8
0xfffffff008a66ffc: e07fff90  adrp	x0, #0xfffffff007a62000
0xfffffff008a67000: 00c03891  add	x0, x0, #0xe30
0xfffffff008a67004: e10313aa  mov	x1, x19
0xfffffff008a67008: 02698052  mov	w2, #0x348
0xfffffff008a6700c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a67010: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a67014: ff2303d5  autibsp	
0xfffffff008a67018: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a6701c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a67024
0xfffffff008a67020: 208e38d4  brk	#0xc471
0xfffffff008a67024: 9e01e217  b	#0xfffffff0082e769c
0xfffffff008a67028: 5f2403d5  bti	c
0xfffffff008a6702c: e20301aa  mov	x2, x1
0xfffffff008a67030: e10300aa  mov	x1, x0
0xfffffff008a67034: c07ffff0  adrp	x0, #0xfffffff007a62000
0xfffffff008a67038: 00c03891  add	x0, x0, #0xe30
0xfffffff008a6703c: 9801e217  b	#0xfffffff0082e769c
0xfffffff008a67040: 5f2403d5  bti	c
0xfffffff008a67044: c0c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a67048: 00c02891  add	x0, x0, #0xa30
0xfffffff008a6704c: c0035fd6  ret	
0xfffffff008a67050: 7f2303d5  pacibsp	
0xfffffff008a67054: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a67058: fd030091  mov	x29, sp
0xfffffff008a6705c: 4142ff90  adrp	x1, #0xfffffff0072af000
0xfffffff008a67060: 21b40691  add	x1, x1, #0x1ad
0xfffffff008a67064: c2c30090  adrp	x2, #0xfffffff00a2df000
0xfffffff008a67068: 42e02691  add	x2, x2, #0x9b8
0xfffffff008a6706c: 03698052  mov	w3, #0x348
0xfffffff008a67070: b2f2e197  bl	#0xfffffff0082e3b38
0xfffffff008a67074: d07fffd0  adrp	x16, #0xfffffff007a61000
0xfffffff008a67078: 10a22e91  add	x16, x16, #0xba8
0xfffffff008a6707c: 10420091  add	x16, x16, #0x10
0xfffffff008a67080: f10300aa  mov	x17, x0
0xfffffff008a67084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a67088: 300ac1da  pacda	x16, x17
0xfffffff008a6708c: 100000f9  str	x16, [x0]
0xfffffff008a67090: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a67094: ff0f5fd6  retab	
0xfffffff008a67098: 7f2303d5  pacibsp	
0xfffffff008a6709c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a670a0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a670a4: fd430091  add	x29, sp, #0x10
0xfffffff008a670a8: c07ffff0  adrp	x0, #0xfffffff007a62000
0xfffffff008a670ac: 00c03891  add	x0, x0, #0xe30
0xfffffff008a670b0: 01698052  mov	w1, #0x348
