; Candidate 8936
; ADRP+ADD at VM 0xfffffff0088f7544 (fileoff 0x18f3544): page=0x1fe978000 add_imm=0xe2d

0xfffffff0088f74c4: a00a0036  tbz	w0, #0, #0xfffffff0088f7618
0xfffffff0088f74c8: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088f74cc: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0088f74d0: e8f30132  mov	w8, #-0x55555556
0xfffffff0088f74d4: e85700b9  str	w8, [sp, #0x54]
0xfffffff0088f74d8: e0630191  add	x0, sp, #0x58
0xfffffff0088f74dc: e1530191  add	x1, sp, #0x54
0xfffffff0088f74e0: 8973d797  bl	#0xfffffff007ed4304
0xfffffff0088f74e4: f52f40f9  ldr	x21, [sp, #0x58]
0xfffffff0088f74e8: 700240f9  ldr	x16, [x19]
0xfffffff0088f74ec: f10313aa  mov	x17, x19
0xfffffff0088f74f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088f74f4: 301ac1da  autda	x16, x17
0xfffffff0088f74f8: f10310aa  mov	x17, x16
0xfffffff0088f74fc: f147c1da  xpacd	x17
0xfffffff0088f7500: 1f0211eb  cmp	x16, x17
0xfffffff0088f7504: 40000054  b.eq	#0xfffffff0088f750c
0xfffffff0088f7508: 408e38d4  brk	#0xc472
0xfffffff0088f750c: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088f7510: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088f7514: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff0088f7518: e00313aa  mov	x0, x19
0xfffffff0088f751c: 010080d2  mov	x1, #0
0xfffffff0088f7520: f10308aa  mov	x17, x8
0xfffffff0088f7524: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088f7528: 31093fd7  blraa	x9, x17
0xfffffff0088f752c: a8c35ab8  ldur	w8, [x29, #-0x54]
0xfffffff0088f7530: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0088f7534: c84bff90  adrp	x8, #0xfffffff00726f000
0xfffffff0088f7538: 08993591  add	x8, x8, #0xd66
0xfffffff0088f753c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088f7540: f55b00a9  stp	x21, x22, [sp]
0xfffffff0088f7544: c04bff90  adrp	x0, #0xfffffff00726f000
0xfffffff0088f7548: 00b43891  add	x0, x0, #0xe2d
0xfffffff0088f754c: b57ee997  bl	#0xfffffff008357020
0xfffffff0088f7550: 32000014  b	#0xfffffff0088f7618
0xfffffff0088f7554: 00060036  tbz	w0, #0, #0xfffffff0088f7614
0xfffffff0088f7558: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088f755c: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0088f7560: e8f30132  mov	w8, #-0x55555556
0xfffffff0088f7564: e85700b9  str	w8, [sp, #0x54]
0xfffffff0088f7568: e0630191  add	x0, sp, #0x58
0xfffffff0088f756c: e1530191  add	x1, sp, #0x54
0xfffffff0088f7570: 6573d797  bl	#0xfffffff007ed4304
0xfffffff0088f7574: f42f40f9  ldr	x20, [sp, #0x58]
0xfffffff0088f7578: 700240f9  ldr	x16, [x19]
0xfffffff0088f757c: f10313aa  mov	x17, x19
0xfffffff0088f7580: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088f7584: 301ac1da  autda	x16, x17
0xfffffff0088f7588: f10310aa  mov	x17, x16
0xfffffff0088f758c: f147c1da  xpacd	x17
0xfffffff0088f7590: 1f0211eb  cmp	x16, x17
0xfffffff0088f7594: 40000054  b.eq	#0xfffffff0088f759c
0xfffffff0088f7598: 408e38d4  brk	#0xc472
0xfffffff0088f759c: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088f75a0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088f75a4: f55740b9  ldr	w21, [sp, #0x54]
0xfffffff0088f75a8: e00313aa  mov	x0, x19
0xfffffff0088f75ac: 010080d2  mov	x1, #0
0xfffffff0088f75b0: f10308aa  mov	x17, x8
0xfffffff0088f75b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088f75b8: 31093fd7  blraa	x9, x17
0xfffffff0088f75bc: a8c35ab8  ldur	w8, [x29, #-0x54]
0xfffffff0088f75c0: c94bff90  adrp	x9, #0xfffffff00726f000
