; Candidate 4659
; ADRP+ADD at VM 0xfffffff0087bf9f8 (fileoff 0x17bb9f8): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bf978: 090143b9  ldr	w9, [x8, #0x300]
0xfffffff0087bf97c: f64cfff0  adrp	x22, #0xfffffff00715e000
0xfffffff0087bf980: d6362c91  add	x22, x22, #0xb0d
0xfffffff0087bf984: 3f01026b  cmp	w9, w2
0xfffffff0087bf988: 8c010054  b.gt	#0xfffffff0087bf9b8
0xfffffff0087bf98c: 08088252  mov	w8, #0x1040
0xfffffff0087bf990: f62300a9  stp	x22, x8, [sp]
0xfffffff0087bf994: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf998: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf99c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf9a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf9a4: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf9a8: 637c0091  add	x3, x3, #0x1f
0xfffffff0087bf9ac: 02008052  mov	w2, #0
0xfffffff0087bf9b0: e0cded97  bl	#0xfffffff008333130
0xfffffff0087bf9b4: a83240f9  ldr	x8, [x21, #0x60]
0xfffffff0087bf9b8: 09c9348b  add	x9, x8, w20, sxtw #2
0xfffffff0087bf9bc: 2a3d44b9  ldr	w10, [x9, #0x43c]
0xfffffff0087bf9c0: ab2e40f9  ldr	x11, [x21, #0x58]
0xfffffff0087bf9c4: 6b2540b9  ldr	w11, [x11, #0x24]
0xfffffff0087bf9c8: 4a21cb1a  lsl	w10, w10, w11
0xfffffff0087bf9cc: 294144b9  ldr	w9, [x9, #0x440]
0xfffffff0087bf9d0: 2921cb1a  lsl	w9, w9, w11
0xfffffff0087bf9d4: 741200b9  str	w20, [x19, #0x10]
0xfffffff0087bf9d8: 088541b9  ldr	w8, [x8, #0x184]
0xfffffff0087bf9dc: 3f01086b  cmp	w9, w8
0xfffffff0087bf9e0: 2831881a  csel	w8, w9, w8, lo
0xfffffff0087bf9e4: 6a220029  stp	w10, w8, [x19]
0xfffffff0087bf9e8: 1f010a6b  cmp	w8, w10
0xfffffff0087bf9ec: 6c010054  b.gt	#0xfffffff0087bfa18
0xfffffff0087bf9f0: c8088252  mov	w8, #0x1046
0xfffffff0087bf9f4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087bf9f8: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf9fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfa00: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfa04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfa08: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfa0c: 63480191  add	x3, x3, #0x52
0xfffffff0087bfa10: 02008052  mov	w2, #0
0xfffffff0087bfa14: c7cded97  bl	#0xfffffff008333130
0xfffffff0087bfa18: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087bfa1c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087bfa20: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087bfa24: ff030191  add	sp, sp, #0x40
0xfffffff0087bfa28: ff0f5fd6  retab	
0xfffffff0087bfa2c: 7f2303d5  pacibsp	
0xfffffff0087bfa30: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087bfa34: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087bfa38: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087bfa3c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087bfa40: fdc30091  add	x29, sp, #0x30
0xfffffff0087bfa44: f40302aa  mov	x20, x2
0xfffffff0087bfa48: f30301aa  mov	x19, x1
0xfffffff0087bfa4c: f50300aa  mov	x21, x0
0xfffffff0087bfa50: 083040f9  ldr	x8, [x0, #0x60]
0xfffffff0087bfa54: 09fd42b9  ldr	w9, [x8, #0x2fc]
0xfffffff0087bfa58: f64cfff0  adrp	x22, #0xfffffff00715e000
0xfffffff0087bfa5c: d66a2c91  add	x22, x22, #0xb1a
0xfffffff0087bfa60: 3f01026b  cmp	w9, w2
0xfffffff0087bfa64: 8c010054  b.gt	#0xfffffff0087bfa94
0xfffffff0087bfa68: 68098252  mov	w8, #0x104b
0xfffffff0087bfa6c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087bfa70: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfa74: 00403691  add	x0, x0, #0xd90
