; Candidate 2459
; ADRP+ADD at VM 0xfffffff00868f8b0 (fileoff 0x168b8b0): page=0x1fea97000 add_imm=0xd5b

0xfffffff00868f830: e10313aa  mov	x1, x19
0xfffffff00868f834: a5d4ff97  bl	#0xfffffff008684ac8
0xfffffff00868f838: 700240f9  ldr	x16, [x19]
0xfffffff00868f83c: f10313aa  mov	x17, x19
0xfffffff00868f840: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00868f844: 301ac1da  autda	x16, x17
0xfffffff00868f848: 115480d2  mov	x17, #0x2a0
0xfffffff00868f84c: 1002118b  add	x16, x16, x17
0xfffffff00868f850: 080240f9  ldr	x8, [x16]
0xfffffff00868f854: e90310aa  mov	x9, x16
0xfffffff00868f858: e00313aa  mov	x0, x19
0xfffffff00868f85c: 01008052  mov	w1, #0
0xfffffff00868f860: f10309aa  mov	x17, x9
0xfffffff00868f864: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff00868f868: 11093fd7  blraa	x8, x17
0xfffffff00868f86c: e00315aa  mov	x0, x21
0xfffffff00868f870: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00868f874: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00868f878: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00868f87c: ff0f5fd6  retab	
0xfffffff00868f880: 7f2303d5  pacibsp	
0xfffffff00868f884: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00868f888: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00868f88c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00868f890: fd830091  add	x29, sp, #0x20
0xfffffff00868f894: f40301aa  mov	x20, x1
0xfffffff00868f898: f30300aa  mov	x19, x0
0xfffffff00868f89c: a154fff0  adrp	x1, #0xfffffff007126000
0xfffffff00868f8a0: 21183591  add	x1, x1, #0xd46
0xfffffff00868f8a4: e00314aa  mov	x0, x20
0xfffffff00868f8a8: a534f397  bl	#0xfffffff00835cb3c
0xfffffff00868f8ac: 200a0034  cbz	w0, #0xfffffff00868f9f0
0xfffffff00868f8b0: a054fff0  adrp	x0, #0xfffffff007126000
0xfffffff00868f8b4: 006c3591  add	x0, x0, #0xd5b
0xfffffff00868f8b8: 6066f297  bl	#0xfffffff008329238
0xfffffff00868f8bc: f50300aa  mov	x21, x0
0xfffffff00868f8c0: e00314aa  mov	x0, x20
0xfffffff00868f8c4: 3f31f397  bl	#0xfffffff00835bdc0
0xfffffff00868f8c8: e20300aa  mov	x2, x0
0xfffffff00868f8cc: 900240f9  ldr	x16, [x20]
0xfffffff00868f8d0: f10314aa  mov	x17, x20
0xfffffff00868f8d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00868f8d8: 301ac1da  autda	x16, x17
0xfffffff00868f8dc: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff00868f8e0: e90310aa  mov	x9, x16
0xfffffff00868f8e4: e00314aa  mov	x0, x20
0xfffffff00868f8e8: e10315aa  mov	x1, x21
0xfffffff00868f8ec: f10309aa  mov	x17, x9
0xfffffff00868f8f0: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff00868f8f4: 11093fd7  blraa	x8, x17
0xfffffff00868f8f8: 900240f9  ldr	x16, [x20]
0xfffffff00868f8fc: f10314aa  mov	x17, x20
0xfffffff00868f900: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00868f904: 301ac1da  autda	x16, x17
0xfffffff00868f908: f10310aa  mov	x17, x16
0xfffffff00868f90c: f147c1da  xpacd	x17
0xfffffff00868f910: 1f0211eb  cmp	x16, x17
0xfffffff00868f914: 40000054  b.eq	#0xfffffff00868f91c
0xfffffff00868f918: 408e38d4  brk	#0xc472
0xfffffff00868f91c: 08620491  add	x8, x16, #0x118
0xfffffff00868f920: 098e40f9  ldr	x9, [x16, #0x118]
0xfffffff00868f924: a154fff0  adrp	x1, #0xfffffff007126000
0xfffffff00868f928: 21183591  add	x1, x1, #0xd46
0xfffffff00868f92c: e00314aa  mov	x0, x20
