; Candidate 14097
; ADRP+ADD at VM 0xfffffff0096fb990 (fileoff 0x26f7990): page=0x1fde95000 add_imm=0xe6a

0xfffffff0096fb910: 010080d2  mov	x1, #0
0xfffffff0096fb914: f10309aa  mov	x17, x9
0xfffffff0096fb918: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096fb91c: 11093fd7  blraa	x8, x17
0xfffffff0096fb920: 60000014  b	#0xfffffff0096fbaa0
0xfffffff0096fb924: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb928: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb92c: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb930: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb934: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb938: f40300f9  str	x20, [sp]
0xfffffff0096fb93c: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb940: 00043991  add	x0, x0, #0xe41
0xfffffff0096fb944: b76db197  bl	#0xfffffff008357020
0xfffffff0096fb948: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fb94c: 100040f9  ldr	x16, [x0]
0xfffffff0096fb950: f10300aa  mov	x17, x0
0xfffffff0096fb954: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb958: 301ac1da  autda	x16, x17
0xfffffff0096fb95c: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fb960: e90310aa  mov	x9, x16
0xfffffff0096fb964: f0fffff0  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fb968: 10923b91  add	x16, x16, #0xee4
0xfffffff0096fb96c: 31a897d2  mov	x17, #0xbd41
0xfffffff0096fb970: 3002c1da  pacia	x16, x17
0xfffffff0096fb974: 2f000014  b	#0xfffffff0096fba30
0xfffffff0096fb978: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb97c: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb980: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb984: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb988: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb98c: f40300f9  str	x20, [sp]
0xfffffff0096fb990: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb994: 00a83991  add	x0, x0, #0xe6a
0xfffffff0096fb998: a26db197  bl	#0xfffffff008357020
0xfffffff0096fb99c: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fb9a0: 100040f9  ldr	x16, [x0]
0xfffffff0096fb9a4: f10300aa  mov	x17, x0
0xfffffff0096fb9a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb9ac: 301ac1da  autda	x16, x17
0xfffffff0096fb9b0: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fb9b4: e90310aa  mov	x9, x16
0xfffffff0096fb9b8: f0fffff0  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fb9bc: 10323d91  add	x16, x16, #0xf4c
0xfffffff0096fb9c0: 31a897d2  mov	x17, #0xbd41
0xfffffff0096fb9c4: 3002c1da  pacia	x16, x17
0xfffffff0096fb9c8: 1a000014  b	#0xfffffff0096fba30
0xfffffff0096fb9cc: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb9d0: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb9d4: 550300b4  cbz	x21, #0xfffffff0096fba3c
0xfffffff0096fb9d8: a80240b9  ldr	w8, [x21]
0xfffffff0096fb9dc: 19000014  b	#0xfffffff0096fba40
0xfffffff0096fb9e0: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb9e4: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb9e8: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb9ec: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb9f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb9f4: f40300f9  str	x20, [sp]
0xfffffff0096fb9f8: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb9fc: 004c3a91  add	x0, x0, #0xe93
0xfffffff0096fba00: 886db197  bl	#0xfffffff008357020
0xfffffff0096fba04: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fba08: 100040f9  ldr	x16, [x0]
0xfffffff0096fba0c: f10300aa  mov	x17, x0
