; Candidate 3360
; ADRP+ADD at VM 0xfffffff008737814 (fileoff 0x1733814): page=0x1fe9fa000 add_imm=0xd90

0xfffffff008737794: 11093fd7  blraa	x8, x17
0xfffffff008737798: 8002c03d  ldr	q0, [x20]
0xfffffff00873779c: 0000803d  str	q0, [x0]
0xfffffff0087377a0: 808641ad  ldp	q0, q1, [x20, #0x30]
0xfffffff0087377a4: 838a40ad  ldp	q3, q2, [x20, #0x10]
0xfffffff0087377a8: 008401ad  stp	q0, q1, [x0, #0x30]
0xfffffff0087377ac: 038800ad  stp	q3, q2, [x0, #0x10]
0xfffffff0087377b0: 681641b9  ldr	w8, [x19, #0x114]
0xfffffff0087377b4: 08050011  add	w8, w8, #1
0xfffffff0087377b8: 09090012  and	w9, w8, #7
0xfffffff0087377bc: 691601b9  str	w9, [x19, #0x114]
0xfffffff0087377c0: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff0087377c4: f450fff0  adrp	x20, #0xfffffff007156000
0xfffffff0087377c8: 94063891  add	x20, x20, #0xe01
0xfffffff0087377cc: 3f01086b  cmp	w9, w8
0xfffffff0087377d0: a1010054  b.ne	#0xfffffff008737804
0xfffffff0087377d4: e8228052  mov	w8, #0x117
0xfffffff0087377d8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087377dc: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087377e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087377e4: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087377e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087377ec: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff0087377f0: 63841191  add	x3, x3, #0x461
0xfffffff0087377f4: 02008052  mov	w2, #0
0xfffffff0087377f8: 4eeeef97  bl	#0xfffffff008333130
0xfffffff0087377fc: 691641b9  ldr	w9, [x19, #0x114]
0xfffffff008737800: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff008737804: 3f01086b  cmp	w9, w8
0xfffffff008737808: 61010054  b.ne	#0xfffffff008737834
0xfffffff00873780c: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff008737810: f40300f9  str	x20, [sp]
0xfffffff008737814: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737818: 00403691  add	x0, x0, #0xd90
0xfffffff00873781c: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008737820: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737824: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737828: 63501291  add	x3, x3, #0x494
0xfffffff00873782c: 02008052  mov	w2, #0
0xfffffff008737830: 40eeef97  bl	#0xfffffff008333130
0xfffffff008737834: e00313aa  mov	x0, x19
0xfffffff008737838: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00873783c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008737840: ff030191  add	sp, sp, #0x40
0xfffffff008737844: ff2303d5  autibsp	
0xfffffff008737848: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00873784c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008737854
0xfffffff008737850: 208e38d4  brk	#0xc471
0xfffffff008737854: 01000014  b	#0xfffffff008737858
0xfffffff008737858: 7f2303d5  pacibsp	
0xfffffff00873785c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008737860: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008737864: fd430091  add	x29, sp, #0x10
0xfffffff008737868: 00d842f9  ldr	x0, [x0, #0x5b0]
0xfffffff00873786c: e00000b4  cbz	x0, #0xfffffff008737888
0xfffffff008737870: 21008052  mov	w1, #1
0xfffffff008737874: 22008052  mov	w2, #1
0xfffffff008737878: 23008052  mov	w3, #1
0xfffffff00873787c: 64ed0094  bl	#0xfffffff008772e0c
0xfffffff008737880: 00008052  mov	w0, #0
0xfffffff008737884: 0e000014  b	#0xfffffff0087378bc
0xfffffff008737888: 0851ff90  adrp	x8, #0xfffffff007157000
0xfffffff00873788c: 087d0091  add	x8, x8, #0x1f
0xfffffff008737890: e80300f9  str	x8, [sp]
