; Candidate 4118
; ADRP+ADD at VM 0xfffffff008792a68 (fileoff 0x178ea68): page=0x1fe99f000 add_imm=0xd90

0xfffffff0087929e8: e06a28fc  str	d0, [x23, x8]
0xfffffff0087929ec: 1f030039  strb	wzr, [x24]
0xfffffff0087929f0: 88c24439  ldrb	w8, [x20, #0x130]
0xfffffff0087929f4: 082c0039  strb	w8, [x0, #0xb]
0xfffffff0087929f8: 88764039  ldrb	w8, [x20, #0x1d]
0xfffffff0087929fc: e82f00b9  str	w8, [sp, #0x2c]
0xfffffff008792a00: 100040f9  ldr	x16, [x0]
0xfffffff008792a04: f10300aa  mov	x17, x0
0xfffffff008792a08: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792a0c: 301ac1da  autda	x16, x17
0xfffffff008792a10: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008792a14: e90310aa  mov	x9, x16
0xfffffff008792a18: e2b30091  add	x2, sp, #0x2c
0xfffffff008792a1c: 61038052  mov	w1, #0x1b
0xfffffff008792a20: f10309aa  mov	x17, x9
0xfffffff008792a24: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008792a28: 11093fd7  blraa	x8, x17
0xfffffff008792a2c: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792a30: 827a0091  add	x2, x20, #0x1e
0xfffffff008792a34: 100040f9  ldr	x16, [x0]
0xfffffff008792a38: f10300aa  mov	x17, x0
0xfffffff008792a3c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792a40: 301ac1da  autda	x16, x17
0xfffffff008792a44: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008792a48: e90310aa  mov	x9, x16
0xfffffff008792a4c: e1028052  mov	w1, #0x17
0xfffffff008792a50: f10309aa  mov	x17, x9
0xfffffff008792a54: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008792a58: 11093fd7  blraa	x8, x17
0xfffffff008792a5c: 80010034  cbz	w0, #0xfffffff008792a8c
0xfffffff008792a60: f60300aa  mov	x22, x0
0xfffffff008792a64: f60300f9  str	x22, [sp]
0xfffffff008792a68: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792a6c: 00403691  add	x0, x0, #0xd90
0xfffffff008792a70: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792a74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792a78: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792a7c: 63d83391  add	x3, x3, #0xcf6
0xfffffff008792a80: 02008052  mov	w2, #0
0xfffffff008792a84: ab81ee97  bl	#0xfffffff008333130
0xfffffff008792a88: 2c000014  b	#0xfffffff008792b38
0xfffffff008792a8c: 082f4639  ldrb	w8, [x24, #0x18b]
0xfffffff008792a90: e82b00b9  str	w8, [sp, #0x28]
0xfffffff008792a94: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792a98: 100040f9  ldr	x16, [x0]
0xfffffff008792a9c: f10300aa  mov	x17, x0
0xfffffff008792aa0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792aa4: 301ac1da  autda	x16, x17
0xfffffff008792aa8: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008792aac: e90310aa  mov	x9, x16
0xfffffff008792ab0: e2a30091  add	x2, sp, #0x28
0xfffffff008792ab4: c1038052  mov	w1, #0x1e
0xfffffff008792ab8: f10309aa  mov	x17, x9
0xfffffff008792abc: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008792ac0: 11093fd7  blraa	x8, x17
0xfffffff008792ac4: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008792ac8: 821a41b9  ldr	w2, [x20, #0x118]
0xfffffff008792acc: 100040f9  ldr	x16, [x0]
0xfffffff008792ad0: f10300aa  mov	x17, x0
0xfffffff008792ad4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008792ad8: 301ac1da  autda	x16, x17
0xfffffff008792adc: 080e43f8  ldr	x8, [x16, #0x30]!
0xfffffff008792ae0: e90310aa  mov	x9, x16
0xfffffff008792ae4: 01108052  mov	w1, #0x80
