; Candidate 10249
; ADRP+ADD at VM 0xfffffff008cc6738 (fileoff 0x1cc2738): page=0x1fe69a000 add_imm=0xe64

0xfffffff008cc66b8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc66bc: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc66c0: 49034039  ldrb	w9, [x26]
0xfffffff008cc66c4: 4a0b4039  ldrb	w10, [x26, #2]
0xfffffff008cc66c8: 4b0f4039  ldrb	w11, [x26, #3]
0xfffffff008cc66cc: 4c134039  ldrb	w12, [x26, #4]
0xfffffff008cc66d0: 4d174039  ldrb	w13, [x26, #5]
0xfffffff008cc66d4: 4e1b4039  ldrb	w14, [x26, #6]
0xfffffff008cc66d8: 4f1f4039  ldrb	w15, [x26, #7]
0xfffffff008cc66dc: 50234039  ldrb	w16, [x26, #8]
0xfffffff008cc66e0: ef4304a9  stp	x15, x16, [sp, #0x40]
0xfffffff008cc66e4: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff008cc66e8: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff008cc66ec: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008cc66f0: c034ffd0  adrp	x0, #0xfffffff007360000
0xfffffff008cc66f4: 001c3891  add	x0, x0, #0xe07
0xfffffff008cc66f8: e84f00a9  stp	x8, x19, [sp]
0xfffffff008cc66fc: 95a3de97  bl	#0xfffffff00846f550
0xfffffff008cc6700: c80240b9  ldr	w8, [x22]
0xfffffff008cc6704: 28b70f36  tbz	w8, #1, #0xfffffff008cc5de8
0xfffffff008cc6708: 48034039  ldrb	w8, [x26]
0xfffffff008cc670c: 490b4039  ldrb	w9, [x26, #2]
0xfffffff008cc6710: 4a0f4039  ldrb	w10, [x26, #3]
0xfffffff008cc6714: 4b134039  ldrb	w11, [x26, #4]
0xfffffff008cc6718: 4c174039  ldrb	w12, [x26, #5]
0xfffffff008cc671c: 4d1b4039  ldrb	w13, [x26, #6]
0xfffffff008cc6720: 4e1f4039  ldrb	w14, [x26, #7]
0xfffffff008cc6724: 4f234039  ldrb	w15, [x26, #8]
0xfffffff008cc6728: eebf03a9  stp	x14, x15, [sp, #0x38]
0xfffffff008cc672c: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff008cc6730: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008cc6734: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008cc6738: c034ffd0  adrp	x0, #0xfffffff007360000
0xfffffff008cc673c: 00903991  add	x0, x0, #0xe64
0xfffffff008cc6740: f30300f9  str	x19, [sp]
0xfffffff008cc6744: 3742da97  bl	#0xfffffff008357020
0xfffffff008cc6748: a8fdff17  b	#0xfffffff008cc5de8
0xfffffff008cc674c: c05dc297  bl	#0xfffffff007d5de4c
0xfffffff008cc6750: 7f2303d5  pacibsp	
0xfffffff008cc6754: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008cc6758: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008cc675c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008cc6760: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008cc6764: fd430291  add	x29, sp, #0x90
0xfffffff008cc6768: f50302aa  mov	x21, x2
0xfffffff008cc676c: f60301aa  mov	x22, x1
0xfffffff008cc6770: f30300aa  mov	x19, x0
0xfffffff008cc6774: 086fffd0  adrp	x8, #0xfffffff007aa8000
0xfffffff008cc6778: 08e940f9  ldr	x8, [x8, #0x1d0]
0xfffffff008cc677c: 080140f9  ldr	x8, [x8]
0xfffffff008cc6780: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff008cc6784: 08187a39  ldrb	w8, [x0, #0xe86]
0xfffffff008cc6788: e8050034  cbz	w8, #0xfffffff008cc6844
0xfffffff008cc678c: 684a47f9  ldr	x8, [x19, #0xe90]
0xfffffff008cc6790: e80000b5  cbnz	x8, #0xfffffff008cc67ac
0xfffffff008cc6794: 601647f9  ldr	x0, [x19, #0xe28]
0xfffffff008cc6798: 4134ff90  adrp	x1, #0xfffffff00734e000
0xfffffff008cc679c: 21b42091  add	x1, x1, #0x82d
0xfffffff008cc67a0: 34f9e697  bl	#0xfffffff008684c70
0xfffffff008cc67a4: 604a07f9  str	x0, [x19, #0xe90]
0xfffffff008cc67a8: c01800b4  cbz	x0, #0xfffffff008cc6ac0
0xfffffff008cc67ac: 685647f9  ldr	x8, [x19, #0xea8]
0xfffffff008cc67b0: a80400b5  cbnz	x8, #0xfffffff008cc6844
0xfffffff008cc67b4: 601647f9  ldr	x0, [x19, #0xe28]
