; Candidate 8760
; ADRP+ADD at VM 0xfffffff0088c38a0 (fileoff 0x18bf8a0): page=0x1fe926000 add_imm=0xe80

0xfffffff0088c3820: 00050036  tbz	w0, #0, #0xfffffff0088c38c0
0xfffffff0088c3824: 60008052  mov	w0, #3
0xfffffff0088c3828: fcdffe97  bl	#0xfffffff00887b818
0xfffffff0088c382c: f40300aa  mov	x20, x0
0xfffffff0088c3830: 5fc2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3834: f30300aa  mov	x19, x0
0xfffffff0088c3838: 60008052  mov	w0, #3
0xfffffff0088c383c: 05e0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3840: d4010036  tbz	w20, #0, #0xfffffff0088c3878
0xfffffff0088c3844: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c3848: 08092991  add	x8, x8, #0xa42
0xfffffff0088c384c: 49138052  mov	w9, #0x9a
0xfffffff0088c3850: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c3854: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c3858: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c385c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c3860: 68008052  mov	w8, #3
0xfffffff0088c3864: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c3868: 604affb0  adrp	x0, #0xfffffff007210000
0xfffffff0088c386c: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c3870: fcced397  bl	#0xfffffff007db7460
0xfffffff0088c3874: 13000014  b	#0xfffffff0088c38c0
0xfffffff0088c3878: 4dc2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c387c: 517efd97  bl	#0xfffffff0088231c0
0xfffffff0088c3880: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c3884: 08092991  add	x8, x8, #0xa42
0xfffffff0088c3888: 49138052  mov	w9, #0x9a
0xfffffff0088c388c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c3890: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c3894: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c3898: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c389c: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c38a0: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c38a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c38a8: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c38ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c38b0: 234cfff0  adrp	x3, #0xfffffff00724a000
0xfffffff0088c38b4: 63243291  add	x3, x3, #0xc89
0xfffffff0088c38b8: 02008052  mov	w2, #0
0xfffffff0088c38bc: 1dbee997  bl	#0xfffffff008333130
0xfffffff0088c38c0: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c38c4: 082d2a91  add	x8, x8, #0xa8b
0xfffffff0088c38c8: 49138052  mov	w9, #0x9a
0xfffffff0088c38cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c38d0: e04affb0  adrp	x0, #0xfffffff007220000
0xfffffff0088c38d4: 00882991  add	x0, x0, #0xa62
0xfffffff0088c38d8: 0d43ef97  bl	#0xfffffff00849450c
0xfffffff0088c38dc: 7f2303d5  pacibsp	
0xfffffff0088c38e0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c38e4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c38e8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c38ec: fd030191  add	x29, sp, #0x40
0xfffffff0088c38f0: 60008052  mov	w0, #3
0xfffffff0088c38f4: 61008052  mov	w1, #3
0xfffffff0088c38f8: b6dffe97  bl	#0xfffffff00887b7d0
0xfffffff0088c38fc: 60050036  tbz	w0, #0, #0xfffffff0088c39a8
0xfffffff0088c3900: 60008052  mov	w0, #3
0xfffffff0088c3904: c5dffe97  bl	#0xfffffff00887b818
0xfffffff0088c3908: f40300aa  mov	x20, x0
0xfffffff0088c390c: 28c2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3910: f30300aa  mov	x19, x0
0xfffffff0088c3914: 60008052  mov	w0, #3
0xfffffff0088c3918: cedffe97  bl	#0xfffffff00887b850
0xfffffff0088c391c: d4010036  tbz	w20, #0, #0xfffffff0088c3954
