; Candidate 15271
; ADRP+ADD at VM 0xfffffff009b46288 (fileoff 0x2b42288): page=0x1fdae2000 add_imm=0xed0

0xfffffff009b46208: 40000054  b.eq	#0xfffffff009b46210
0xfffffff009b4620c: 408e38d4  brk	#0xc472
0xfffffff009b46210: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b46214: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b46218: e00313aa  mov	x0, x19
0xfffffff009b4621c: 010080d2  mov	x1, #0
0xfffffff009b46220: f10308aa  mov	x17, x8
0xfffffff009b46224: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b46228: 31093fd7  blraa	x9, x17
0xfffffff009b4622c: f60300aa  mov	x22, x0
0xfffffff009b46230: 700240f9  ldr	x16, [x19]
0xfffffff009b46234: f10313aa  mov	x17, x19
0xfffffff009b46238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4623c: 301ac1da  autda	x16, x17
0xfffffff009b46240: f10310aa  mov	x17, x16
0xfffffff009b46244: f147c1da  xpacd	x17
0xfffffff009b46248: 1f0211eb  cmp	x16, x17
0xfffffff009b4624c: 40000054  b.eq	#0xfffffff009b46254
0xfffffff009b46250: 408e38d4  brk	#0xc472
0xfffffff009b46254: 08620891  add	x8, x16, #0x218
0xfffffff009b46258: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4625c: e00313aa  mov	x0, x19
0xfffffff009b46260: 010080d2  mov	x1, #0
0xfffffff009b46264: f10308aa  mov	x17, x8
0xfffffff009b46268: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4626c: 31093fd7  blraa	x9, x17
0xfffffff009b46270: 08d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b46274: 08253991  add	x8, x8, #0xe49
0xfffffff009b46278: 09d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4627c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b46280: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b46284: f60300a9  stp	x22, x0, [sp]
0xfffffff009b46288: 00d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4628c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b46290: 23d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b46294: 63e43291  add	x3, x3, #0xcb9
0xfffffff009b46298: e10315aa  mov	x1, x21
0xfffffff009b4629c: e20314aa  mov	x2, x20
0xfffffff009b462a0: a4b39f97  bl	#0xfffffff008333130
0xfffffff009b462a4: 700240f9  ldr	x16, [x19]
0xfffffff009b462a8: 301bc1da  autda	x16, x25
0xfffffff009b462ac: 11c580d2  mov	x17, #0x628
0xfffffff009b462b0: 1002118b  add	x16, x16, x17
0xfffffff009b462b4: 080240f9  ldr	x8, [x16]
0xfffffff009b462b8: e90310aa  mov	x9, x16
0xfffffff009b462bc: e00313aa  mov	x0, x19
0xfffffff009b462c0: f10309aa  mov	x17, x9
0xfffffff009b462c4: f109e5f2  movk	x17, #0x284f, lsl #48
0xfffffff009b462c8: 11093fd7  blraa	x8, x17
0xfffffff009b462cc: 68fe43b9  ldr	w8, [x19, #0x3fc]
0xfffffff009b462d0: 68100034  cbz	w8, #0xfffffff009b464dc
0xfffffff009b462d4: 68b24b39  ldrb	w8, [x19, #0x2ec]
0xfffffff009b462d8: 28100034  cbz	w8, #0xfffffff009b464dc
0xfffffff009b462dc: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b462e0: 140e0036  tbz	w20, #0, #0xfffffff009b464a0
0xfffffff009b462e4: f404f036  tbz	w20, #0x1e, #0xfffffff009b46380
0xfffffff009b462e8: ed1e8e97  bl	#0xfffffff007ecde9c
0xfffffff009b462ec: 1f040071  cmp	w0, #1
0xfffffff009b462f0: 81040054  b.ne	#0xfffffff009b46380
0xfffffff009b462f4: 700240f9  ldr	x16, [x19]
0xfffffff009b462f8: 301bc1da  autda	x16, x25
0xfffffff009b462fc: 113d80d2  mov	x17, #0x1e8
0xfffffff009b46300: 1002118b  add	x16, x16, x17
0xfffffff009b46304: 080240f9  ldr	x8, [x16]
