; Candidate 6578
; ADRP+ADD at VM 0xfffffff008833c08 (fileoff 0x182fc08): page=0x1fe9b6000 add_imm=0xe80

0xfffffff008833b88: e00314aa  mov	x0, x20
0xfffffff008833b8c: e61fff97  bl	#0xfffffff0087fbb24
0xfffffff008833b90: f50300aa  mov	x21, x0
0xfffffff008833b94: 69a24d29  ldp	w9, w8, [x19, #0x6c]
0xfffffff008833b98: 297d60d3  lsl	x9, x9, #0x20
0xfffffff008833b9c: 28c108aa  orr	x8, x9, x8, lsl #48
0xfffffff008833ba0: 6aa64c69  ldpsw	x10, x9, [x19, #0x64]
0xfffffff008833ba4: 084109aa  orr	x8, x8, x9, lsl #16
0xfffffff008833ba8: 02010aaa  orr	x2, x8, x10
0xfffffff008833bac: 69a24f29  ldp	w9, w8, [x19, #0x7c]
0xfffffff008833bb0: 297d60d3  lsl	x9, x9, #0x20
0xfffffff008833bb4: 28c108aa  orr	x8, x9, x8, lsl #48
0xfffffff008833bb8: 6aa64e69  ldpsw	x10, x9, [x19, #0x74]
0xfffffff008833bbc: 084109aa  orr	x8, x8, x9, lsl #16
0xfffffff008833bc0: 610a40b9  ldr	w1, [x19, #8]
0xfffffff008833bc4: 03010aaa  orr	x3, x8, x10
0xfffffff008833bc8: 00a08052  mov	w0, #0x500
0xfffffff008833bcc: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008833bd0: 040080d2  mov	x4, #0
0xfffffff008833bd4: 050080d2  mov	x5, #0
0xfffffff008833bd8: cb28e597  bl	#0xfffffff00817df04
0xfffffff008833bdc: 45000014  b	#0xfffffff008833cf0
0xfffffff008833be0: 73010294  bl	#0xfffffff0088b41ac
0xfffffff008833be4: f50300aa  mov	x21, x0
0xfffffff008833be8: 00018052  mov	w0, #8
0xfffffff008833bec: 191f0194  bl	#0xfffffff00887b850
0xfffffff008833bf0: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008833bf4: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833bf8: 08453f91  add	x8, x8, #0xfd1
0xfffffff008833bfc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008833c00: 280f8052  mov	w8, #0x79
0xfffffff008833c04: f52300a9  stp	x21, x8, [sp]
0xfffffff008833c08: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008833c0c: 00003a91  add	x0, x0, #0xe80
0xfffffff008833c10: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008833c14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833c18: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff008833c1c: 634c2c91  add	x3, x3, #0xb13
0xfffffff008833c20: 02008052  mov	w2, #0
0xfffffff008833c24: 43fdeb97  bl	#0xfffffff008333130
0xfffffff008833c28: d3faffb5  cbnz	x19, #0xfffffff008833b80
0xfffffff008833c2c: 200f8052  mov	w0, #0x79
0xfffffff008833c30: 81008052  mov	w1, #4
0xfffffff008833c34: e71e0194  bl	#0xfffffff00887b7d0
0xfffffff008833c38: a0050034  cbz	w0, #0xfffffff008833cec
0xfffffff008833c3c: 200f8052  mov	w0, #0x79
0xfffffff008833c40: f61e0194  bl	#0xfffffff00887b818
0xfffffff008833c44: f60300aa  mov	x22, x0
0xfffffff008833c48: 59010294  bl	#0xfffffff0088b41ac
0xfffffff008833c4c: f50300aa  mov	x21, x0
0xfffffff008833c50: 80008052  mov	w0, #4
0xfffffff008833c54: ff1e0194  bl	#0xfffffff00887b850
0xfffffff008833c58: f6010034  cbz	w22, #0xfffffff008833c94
0xfffffff008833c5c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008833c60: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833c64: 08b53e91  add	x8, x8, #0xfad
0xfffffff008833c68: a9138052  mov	w9, #0x9d
0xfffffff008833c6c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008833c70: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833c74: 08453f91  add	x8, x8, #0xfd1
0xfffffff008833c78: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008833c7c: 280f8052  mov	w8, #0x79
0xfffffff008833c80: 004fffd0  adrp	x0, #0xfffffff007215000
0xfffffff008833c84: 00081391  add	x0, x0, #0x4c2
