; Candidate 14279
; ADRP+ADD at VM 0xfffffff00975cef4 (fileoff 0x2758ef4): page=0xc2f000 add_imm=0xea8

0xfffffff00975ce74: c00100b5  cbnz	x0, #0xfffffff00975ceac
0xfffffff00975ce78: b00240f9  ldr	x16, [x21]
0xfffffff00975ce7c: f10315aa  mov	x17, x21
0xfffffff00975ce80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975ce84: 301ac1da  autda	x16, x17
0xfffffff00975ce88: 113d80d2  mov	x17, #0x1e8
0xfffffff00975ce8c: 1002118b  add	x16, x16, x17
0xfffffff00975ce90: 080240f9  ldr	x8, [x16]
0xfffffff00975ce94: e90310aa  mov	x9, x16
0xfffffff00975ce98: e00315aa  mov	x0, x21
0xfffffff00975ce9c: 010080d2  mov	x1, #0
0xfffffff00975cea0: f10309aa  mov	x17, x9
0xfffffff00975cea4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975cea8: 11093fd7  blraa	x8, x17
0xfffffff00975ceac: e00315aa  mov	x0, x21
0xfffffff00975ceb0: eb2efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975ceb4: e00315aa  mov	x0, x21
0xfffffff00975ceb8: e92efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975cebc: c00100b5  cbnz	x0, #0xfffffff00975cef4
0xfffffff00975cec0: b00240f9  ldr	x16, [x21]
0xfffffff00975cec4: f10315aa  mov	x17, x21
0xfffffff00975cec8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975cecc: 301ac1da  autda	x16, x17
0xfffffff00975ced0: 114380d2  mov	x17, #0x218
0xfffffff00975ced4: 1002118b  add	x16, x16, x17
0xfffffff00975ced8: 080240f9  ldr	x8, [x16]
0xfffffff00975cedc: e90310aa  mov	x9, x16
0xfffffff00975cee0: e00315aa  mov	x0, x21
0xfffffff00975cee4: 010080d2  mov	x1, #0
0xfffffff00975cee8: f10309aa  mov	x17, x9
0xfffffff00975ceec: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975cef0: 11093fd7  blraa	x8, x17
0xfffffff00975cef4: 606100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975cef8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975cefc: 971eae97  bl	#0xfffffff0082e4958
0xfffffff00975cf00: f30300aa  mov	x19, x0
0xfffffff00975cf04: e00315aa  mov	x0, x21
0xfffffff00975cf08: d52efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975cf0c: f60300aa  mov	x22, x0
0xfffffff00975cf10: e00100b5  cbnz	x0, #0xfffffff00975cf4c
0xfffffff00975cf14: b00240f9  ldr	x16, [x21]
0xfffffff00975cf18: f10315aa  mov	x17, x21
0xfffffff00975cf1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975cf20: 301ac1da  autda	x16, x17
0xfffffff00975cf24: 113d80d2  mov	x17, #0x1e8
0xfffffff00975cf28: 1002118b  add	x16, x16, x17
0xfffffff00975cf2c: 080240f9  ldr	x8, [x16]
0xfffffff00975cf30: e90310aa  mov	x9, x16
0xfffffff00975cf34: e00315aa  mov	x0, x21
0xfffffff00975cf38: 010080d2  mov	x1, #0
0xfffffff00975cf3c: f10309aa  mov	x17, x9
0xfffffff00975cf40: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975cf44: 11093fd7  blraa	x8, x17
0xfffffff00975cf48: f60300aa  mov	x22, x0
0xfffffff00975cf4c: fb6704a9  stp	x27, x25, [sp, #0x40]
0xfffffff00975cf50: e00315aa  mov	x0, x21
0xfffffff00975cf54: c22efd97  bl	#0xfffffff0096a8a5c
0xfffffff00975cf58: 99f1feb0  adrp	x25, #0xfffffff00758d000
0xfffffff00975cf5c: 39c73491  add	x25, x25, #0xd31
0xfffffff00975cf60: 88f1feb0  adrp	x8, #0xfffffff00758d000
0xfffffff00975cf64: 08c93491  add	x8, x8, #0xd32
0xfffffff00975cf68: 1f0000f1  cmp	x0, #0
0xfffffff00975cf6c: 1701999a  csel	x23, x8, x25, eq
0xfffffff00975cf70: e00315aa  mov	x0, x21
