; Candidate 3326
; ADRP+ADD at VM 0xfffffff008731cdc (fileoff 0x172dcdc): page=0x1fea00000 add_imm=0xd90

0xfffffff008731c5c: 0a690379  strh	w10, [x8, #0x1b4]
0xfffffff008731c60: 4a3d4092  and	x10, x10, #0xffff
0xfffffff008731c64: 8cb98452  mov	w12, #0x25cc
0xfffffff008731c68: 6b010c8b  add	x11, x11, x12
0xfffffff008731c6c: 0ce10691  add	x12, x8, #0x1b8
0xfffffff008731c70: 6d7969b8  ldr	w13, [x11, x9, lsl #2]
0xfffffff008731c74: 8d792978  strh	w13, [x12, x9, lsl #1]
0xfffffff008731c78: 2d050091  add	x13, x9, #1
0xfffffff008731c7c: 3f010aeb  cmp	x9, x10
0xfffffff008731c80: e9030daa  mov	x9, x13
0xfffffff008731c84: 63ffff54  b.lo	#0xfffffff008731c70
0xfffffff008731c88: 090080d2  mov	x9, #0
0xfffffff008731c8c: 0ad08452  mov	w10, #0x2680
0xfffffff008731c90: 8b560a9b  madd	x11, x20, x10, x21
0xfffffff008731c94: 6a794079  ldrh	w10, [x11, #0x3c]
0xfffffff008731c98: 4a050011  add	w10, w10, #1
0xfffffff008731c9c: 0a6d0379  strh	w10, [x8, #0x1b6]
0xfffffff008731ca0: 4a3d4092  and	x10, x10, #0xffff
0xfffffff008731ca4: 0cc48452  mov	w12, #0x2620
0xfffffff008731ca8: 6b010c8b  add	x11, x11, x12
0xfffffff008731cac: 08890791  add	x8, x8, #0x1e2
0xfffffff008731cb0: 6c7969b8  ldr	w12, [x11, x9, lsl #2]
0xfffffff008731cb4: 0c792978  strh	w12, [x8, x9, lsl #1]
0xfffffff008731cb8: 2c050091  add	x12, x9, #1
0xfffffff008731cbc: 3f010aeb  cmp	x9, x10
0xfffffff008731cc0: e9030caa  mov	x9, x12
0xfffffff008731cc4: 63ffff54  b.lo	#0xfffffff008731cb0
0xfffffff008731cc8: 00008052  mov	w0, #0
0xfffffff008731ccc: 0d000014  b	#0xfffffff008731d00
0xfffffff008731cd0: e850ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff008731cd4: 08bd1991  add	x8, x8, #0x66f
0xfffffff008731cd8: e82700a9  stp	x8, x9, [sp]
0xfffffff008731cdc: 0050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008731ce0: 00403691  add	x0, x0, #0xd90
0xfffffff008731ce4: 6196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008731ce8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008731cec: 4350ffb0  adrp	x3, #0xfffffff00713a000
0xfffffff008731cf0: 63043a91  add	x3, x3, #0xe81
0xfffffff008731cf4: 02008052  mov	w2, #0
0xfffffff008731cf8: 0e05f097  bl	#0xfffffff008333130
0xfffffff008731cfc: 00008012  mov	w0, #-1
0xfffffff008731d00: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008731d04: 6996ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008731d08: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008731d0c: 290140f9  ldr	x9, [x9]
0xfffffff008731d10: 3f0108eb  cmp	x9, x8
0xfffffff008731d14: 21070054  b.ne	#0xfffffff008731df8
0xfffffff008731d18: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff008731d1c: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff008731d20: f65756a9  ldp	x22, x21, [sp, #0x160]
0xfffffff008731d24: f85f55a9  ldp	x24, x23, [sp, #0x150]
0xfffffff008731d28: fa6754a9  ldp	x26, x25, [sp, #0x140]
0xfffffff008731d2c: fc6f53a9  ldp	x28, x27, [sp, #0x130]
0xfffffff008731d30: ff430691  add	sp, sp, #0x190
0xfffffff008731d34: ff0f5fd6  retab	
0xfffffff008731d38: 00008052  mov	w0, #0
0xfffffff008731d3c: 080340f9  ldr	x8, [x24]
0xfffffff008731d40: e9830032  mov	w9, #0x10001
0xfffffff008731d44: 09b501b9  str	w9, [x8, #0x1b4]
0xfffffff008731d48: 1f710379  strh	wzr, [x8, #0x1b8]
0xfffffff008731d4c: 09518b52  mov	w9, #0x5a88
0xfffffff008731d50: ea1740f9  ldr	x10, [sp, #0x28]
0xfffffff008731d54: 892b099b  madd	x9, x28, x9, x10
0xfffffff008731d58: 0a2c8b52  mov	w10, #0x5960
