; Candidate 8107
; ADRP+ADD at VM 0xfffffff008895ae0 (fileoff 0x1891ae0): page=0x1fe954000 add_imm=0xe80

0xfffffff008895a60: 6e97ff97  bl	#0xfffffff00887b818
0xfffffff008895a64: f60300aa  mov	x22, x0
0xfffffff008895a68: d1790094  bl	#0xfffffff0088b41ac
0xfffffff008895a6c: f50300aa  mov	x21, x0
0xfffffff008895a70: 80008052  mov	w0, #4
0xfffffff008895a74: 7797ff97  bl	#0xfffffff00887b850
0xfffffff008895a78: 76110034  cbz	w22, #0xfffffff008895ca4
0xfffffff008895a7c: e80240f9  ldr	x8, [x23]
0xfffffff008895a80: f82300f9  str	x24, [sp, #0x40]
0xfffffff008895a84: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895a88: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895a8c: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895a90: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895a94: 89288152  mov	w9, #0x944
0xfffffff008895a98: d6feff17  b	#0xfffffff0088955f0
0xfffffff008895a9c: c4790094  bl	#0xfffffff0088b41ac
0xfffffff008895aa0: f50300aa  mov	x21, x0
0xfffffff008895aa4: 80008052  mov	w0, #4
0xfffffff008895aa8: 6a97ff97  bl	#0xfffffff00887b850
0xfffffff008895aac: e80240f9  ldr	x8, [x23]
0xfffffff008895ab0: f82300f9  str	x24, [sp, #0x40]
0xfffffff008895ab4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895ab8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895abc: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895ac0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895ac4: 09228152  mov	w9, #0x910
0xfffffff008895ac8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895acc: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895ad0: 08651d91  add	x8, x8, #0x759
0xfffffff008895ad4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895ad8: 88098052  mov	w8, #0x4c
0xfffffff008895adc: f52300a9  stp	x21, x8, [sp]
0xfffffff008895ae0: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895ae4: 00003a91  add	x0, x0, #0xe80
0xfffffff008895ae8: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895aec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895af0: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895af4: 63381091  add	x3, x3, #0x40e
0xfffffff008895af8: 02008052  mov	w2, #0
0xfffffff008895afc: 8d75ea97  bl	#0xfffffff008333130
0xfffffff008895b00: 9ffeff17  b	#0xfffffff00889557c
0xfffffff008895b04: aa790094  bl	#0xfffffff0088b41ac
0xfffffff008895b08: f50300aa  mov	x21, x0
0xfffffff008895b0c: 80008052  mov	w0, #4
0xfffffff008895b10: 5097ff97  bl	#0xfffffff00887b850
0xfffffff008895b14: e80240f9  ldr	x8, [x23]
0xfffffff008895b18: f86704a9  stp	x24, x25, [sp, #0x40]
0xfffffff008895b1c: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008895b20: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008895b24: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff008895b28: 08b92791  add	x8, x8, #0x9ee
0xfffffff008895b2c: 892a8152  mov	w9, #0x954
0xfffffff008895b30: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008895b34: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895b38: 08651d91  add	x8, x8, #0x759
0xfffffff008895b3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895b40: 88098052  mov	w8, #0x4c
0xfffffff008895b44: f52300a9  stp	x21, x8, [sp]
0xfffffff008895b48: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008895b4c: 00003a91  add	x0, x0, #0xe80
0xfffffff008895b50: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895b54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895b58: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008895b5c: 63241591  add	x3, x3, #0x549
