; Candidate 10383
; ADRP+ADD at VM 0xfffffff008d24424 (fileoff 0x1d20424): page=0x1fe658000 add_imm=0xcfc

0xfffffff008d243a4: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff008d243a8: d632ffd0  adrp	x22, #0xfffffff00737e000
0xfffffff008d243ac: d6c20091  add	x22, x22, #0x30
0xfffffff008d243b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d243b4: f60300f9  str	x22, [sp]
0xfffffff008d243b8: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d243bc: 00283291  add	x0, x0, #0xc8a
0xfffffff008d243c0: 0f300094  bl	#0xfffffff008d303fc
0xfffffff008d243c4: 78de42a9  ldp	x24, x23, [x19, #0x28]
0xfffffff008d243c8: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008d243cc: 100040f9  ldr	x16, [x0]
0xfffffff008d243d0: f10300aa  mov	x17, x0
0xfffffff008d243d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d243d8: 301ac1da  autda	x16, x17
0xfffffff008d243dc: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008d243e0: e90310aa  mov	x9, x16
0xfffffff008d243e4: f10309aa  mov	x17, x9
0xfffffff008d243e8: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008d243ec: 11093fd7  blraa	x8, x17
0xfffffff008d243f0: f80301a9  stp	x24, x0, [sp, #0x10]
0xfffffff008d243f4: f65f00a9  stp	x22, x23, [sp]
0xfffffff008d243f8: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d243fc: 00dc3291  add	x0, x0, #0xcb7
0xfffffff008d24400: ff2f0094  bl	#0xfffffff008d303fc
0xfffffff008d24404: 69a242a9  ldp	x9, x8, [x19, #0x28]
0xfffffff008d24408: 0a01158b  add	x10, x8, x21
0xfffffff008d2440c: 0801148b  add	x8, x8, x20
0xfffffff008d24410: 6aa203a9  stp	x10, x8, [x19, #0x38]
0xfffffff008d24414: 2801158b  add	x8, x9, x21
0xfffffff008d24418: 2901148b  add	x9, x9, x20
0xfffffff008d2441c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d24420: f60300f9  str	x22, [sp]
0xfffffff008d24424: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24428: 00f03391  add	x0, x0, #0xcfc
0xfffffff008d2442c: f42f0094  bl	#0xfffffff008d303fc
0xfffffff008d24430: 20008052  mov	w0, #1
0xfffffff008d24434: 0e000014  b	#0xfffffff008d2446c
0xfffffff008d24438: c832ffd0  adrp	x8, #0xfffffff00737e000
0xfffffff008d2443c: 08c10091  add	x8, x8, #0x30
0xfffffff008d24440: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d24444: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24448: 00fc1a91  add	x0, x0, #0x6bf
0xfffffff008d2444c: 06000014  b	#0xfffffff008d24464
0xfffffff008d24450: c832ffd0  adrp	x8, #0xfffffff00737e000
0xfffffff008d24454: 08c10091  add	x8, x8, #0x30
0xfffffff008d24458: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d2445c: c032ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d24460: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff008d24464: e62f0094  bl	#0xfffffff008d303fc
0xfffffff008d24468: 00008052  mov	w0, #0
0xfffffff008d2446c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d24470: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d24474: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d24478: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008d2447c: ff830191  add	sp, sp, #0x60
0xfffffff008d24480: ff0f5fd6  retab	
0xfffffff008d24484: 5f2403d5  bti	c
0xfffffff008d24488: 004000d1  sub	x0, x0, #0x10
0xfffffff008d2448c: 7dffff17  b	#0xfffffff008d24280
0xfffffff008d24490: 5f2403d5  bti	c
0xfffffff008d24494: 09008052  mov	w9, #0
0xfffffff008d24498: 081c40f9  ldr	x8, [x0, #0x38]
0xfffffff008d2449c: 1f0100b9  str	wzr, [x8]
0xfffffff008d244a0: 0a2040f9  ldr	x10, [x0, #0x40]
