; Candidate 2634
; ADRP+ADD at VM 0xfffffff0086d60b0 (fileoff 0x16d20b0): page=0x1fea5b000 add_imm=0xd90

0xfffffff0086d6030: 1f00096b  cmp	w0, w9
0xfffffff0086d6034: c0000054  b.eq	#0xfffffff0086d604c
0xfffffff0086d6038: 88578052  mov	w8, #0x2bc
0xfffffff0086d603c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0086d6040: 1f00086b  cmp	w0, w8
0xfffffff0086d6044: 80040054  b.eq	#0xfffffff0086d60d4
0xfffffff0086d6048: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0086d604c: 0801188b  add	x8, x8, x24
0xfffffff0086d6050: 0801158a  and	x8, x8, x21
0xfffffff0086d6054: 0825d79a  lsr	x8, x8, x23
0xfffffff0086d6058: 0821d69a  lsl	x8, x8, x22
0xfffffff0086d605c: 9f120071  cmp	w20, #4
0xfffffff0086d6060: 00010054  b.eq	#0xfffffff0086d6080
0xfffffff0086d6064: 9f0a0071  cmp	w20, #2
0xfffffff0086d6068: 01050054  b.ne	#0xfffffff0086d6108
0xfffffff0086d606c: ea1340f9  ldr	x10, [sp, #0x20]
0xfffffff0086d6070: 49697378  ldrh	w9, [x10, x19]
0xfffffff0086d6074: 2801082a  orr	w8, w9, w8
0xfffffff0086d6078: 48693378  strh	w8, [x10, x19]
0xfffffff0086d607c: 05000014  b	#0xfffffff0086d6090
0xfffffff0086d6080: ea1340f9  ldr	x10, [sp, #0x20]
0xfffffff0086d6084: 496973b8  ldr	w9, [x10, x19]
0xfffffff0086d6088: 2801082a  orr	w8, w9, w8
0xfffffff0086d608c: 486933b8  str	w8, [x10, x19]
0xfffffff0086d6090: 9ca30091  add	x28, x28, #0x28
0xfffffff0086d6094: 7b0700f1  subs	x27, x27, #1
0xfffffff0086d6098: e1f9ff54  b.ne	#0xfffffff0086d5fd4
0xfffffff0086d609c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff0086d60a0: 25000014  b	#0xfffffff0086d6134
0xfffffff0086d60a4: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d60a8: 08710191  add	x8, x8, #0x5c
0xfffffff0086d60ac: e80300f9  str	x8, [sp]
0xfffffff0086d60b0: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d60b4: 00403691  add	x0, x0, #0xd90
0xfffffff0086d60b8: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d60bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d60c0: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d60c4: 63542291  add	x3, x3, #0x895
0xfffffff0086d60c8: 02008052  mov	w2, #0
0xfffffff0086d60cc: 1974f197  bl	#0xfffffff008333130
0xfffffff0086d60d0: 19000014  b	#0xfffffff0086d6134
0xfffffff0086d60d4: f9eb00a9  stp	x25, x26, [sp, #8]
0xfffffff0086d60d8: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d60dc: 08710191  add	x8, x8, #0x5c
0xfffffff0086d60e0: e80300f9  str	x8, [sp]
0xfffffff0086d60e4: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d60e8: 00403691  add	x0, x0, #0xd90
0xfffffff0086d60ec: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d60f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d60f4: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d60f8: 63d02291  add	x3, x3, #0x8b4
0xfffffff0086d60fc: 02008052  mov	w2, #0
0xfffffff0086d6100: 0c74f197  bl	#0xfffffff008333130
0xfffffff0086d6104: 0c000014  b	#0xfffffff0086d6134
0xfffffff0086d6108: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d610c: 08710191  add	x8, x8, #0x5c
0xfffffff0086d6110: e85300a9  stp	x8, x20, [sp]
0xfffffff0086d6114: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6118: 00403691  add	x0, x0, #0xd90
0xfffffff0086d611c: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d6120: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d6124: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d6128: 63282491  add	x3, x3, #0x90a
0xfffffff0086d612c: 02008052  mov	w2, #0
