; Candidate 16348
; ADRP+ADD at VM 0xfffffff009e68e90 (fileoff 0x2e64e90): page=0x1fdecd000 add_imm=0xed8

0xfffffff009e68e10: e00319aa  mov	x0, x25
0xfffffff009e68e14: 8b289397  bl	#0xfffffff008333040
0xfffffff009e68e18: 606640f9  ldr	x0, [x19, #0xc8]
0xfffffff009e68e1c: 5f030071  cmp	w26, #0
0xfffffff009e68e20: 2103969a  csel	x1, x25, x22, eq
0xfffffff009e68e24: e2c30091  add	x2, sp, #0x30
0xfffffff009e68e28: 03018052  mov	w3, #8
0xfffffff009e68e2c: a1f5ff97  bl	#0xfffffff009e664b0
0xfffffff009e68e30: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009e68e34: 681100b4  cbz	x8, #0xfffffff009e69060
0xfffffff009e68e38: 182140f9  ldr	x24, [x8, #0x40]
0xfffffff009e68e3c: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e68e40: 606640f9  ldr	x0, [x19, #0xc8]
0xfffffff009e68e44: 1b018052  mov	w27, #8
0xfffffff009e68e48: e2c30091  add	x2, sp, #0x30
0xfffffff009e68e4c: e10316aa  mov	x1, x22
0xfffffff009e68e50: 03018052  mov	w3, #8
0xfffffff009e68e54: 97f5ff97  bl	#0xfffffff009e664b0
0xfffffff009e68e58: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009e68e5c: a81100b4  cbz	x8, #0xfffffff009e69090
0xfffffff009e68e60: 192140f9  ldr	x25, [x8, #0x40]
0xfffffff009e68e64: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e68e68: 606640f9  ldr	x0, [x19, #0xc8]
0xfffffff009e68e6c: 5f030071  cmp	w26, #0
0xfffffff009e68e70: 88018052  mov	w8, #0xc
0xfffffff009e68e74: 03019b1a  csel	w3, w8, w27, eq
0xfffffff009e68e78: e2c30091  add	x2, sp, #0x30
0xfffffff009e68e7c: e10316aa  mov	x1, x22
0xfffffff009e68e80: 8cf5ff97  bl	#0xfffffff009e664b0
0xfffffff009e68e84: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009e68e88: 081200b4  cbz	x8, #0xfffffff009e690c8
0xfffffff009e68e8c: 162140f9  ldr	x22, [x8, #0x40]
0xfffffff009e68e90: 60f6feb0  adrp	x0, #0xfffffff007d35000
0xfffffff009e68e94: 00603b91  add	x0, x0, #0xed8
0xfffffff009e68e98: 01788052  mov	w1, #0x3c0
0xfffffff009e68e9c: e7f99197  bl	#0xfffffff0082e7638
0xfffffff009e68ea0: fa0300aa  mov	x26, x0
0xfffffff009e68ea4: 7b2b0090  adrp	x27, #0xfffffff00a3d4000
0xfffffff009e68ea8: 7ba31691  add	x27, x27, #0x5a8
0xfffffff009e68eac: e1031baa  mov	x1, x27
0xfffffff009e68eb0: cae2f097  bl	#0xfffffff009aa19d8
0xfffffff009e68eb4: 50f6fe90  adrp	x16, #0xfffffff007d30000
0xfffffff009e68eb8: 10821991  add	x16, x16, #0x660
0xfffffff009e68ebc: 10420091  add	x16, x16, #0x10
0xfffffff009e68ec0: f10300aa  mov	x17, x0
0xfffffff009e68ec4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e68ec8: 300ac1da  pacda	x16, x17
0xfffffff009e68ecc: 100000f9  str	x16, [x0]
0xfffffff009e68ed0: e0031baa  mov	x0, x27
0xfffffff009e68ed4: 98f09197  bl	#0xfffffff0082e5134
0xfffffff009e68ed8: d8b99397  bl	#0xfffffff008357638
0xfffffff009e68edc: 406b00f9  str	x0, [x26, #0xd0]
0xfffffff009e68ee0: 500340f9  ldr	x16, [x26]
0xfffffff009e68ee4: f1031aaa  mov	x17, x26
0xfffffff009e68ee8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e68eec: 301ac1da  autda	x16, x17
0xfffffff009e68ef0: f10310aa  mov	x17, x16
0xfffffff009e68ef4: f147c1da  xpacd	x17
0xfffffff009e68ef8: 1f0211eb  cmp	x16, x17
0xfffffff009e68efc: 40000054  b.eq	#0xfffffff009e68f04
0xfffffff009e68f00: 408e38d4  brk	#0xc472
0xfffffff009e68f04: e80310aa  mov	x8, x16
0xfffffff009e68f08: 201100b4  cbz	x0, #0xfffffff009e6912c
0xfffffff009e68f0c: 09011891  add	x9, x8, #0x600
