; Candidate 6590
; ADRP+ADD at VM 0xfffffff008834710 (fileoff 0x1830710): page=0x1fe9b5000 add_imm=0xe80

0xfffffff008834690: 740bd697  bl	#0xfffffff007db7460
0xfffffff008834694: 40000014  b	#0xfffffff008834794
0xfffffff008834698: 6a5e40b9  ldr	w10, [x19, #0x5c]
0xfffffff00883469c: 2a080034  cbz	w10, #0xfffffff0088347a0
0xfffffff0088346a0: ea0240f9  ldr	x10, [x23]
0xfffffff0088346a4: 36008052  mov	w22, #1
0xfffffff0088346a8: 5f0109eb  cmp	x10, x9
0xfffffff0088346ac: cd070054  b.le	#0xfffffff0088347a4
0xfffffff0088346b0: 69c240b9  ldr	w9, [x19, #0xc0]
0xfffffff0088346b4: 3f010071  cmp	w9, #0
0xfffffff0088346b8: 49008052  mov	w9, #2
0xfffffff0088346bc: 3815891a  cinc	w24, w9, eq
0xfffffff0088346c0: d606961a  cinc	w22, w22, ne
0xfffffff0088346c4: 39000014  b	#0xfffffff0088347a8
0xfffffff0088346c8: b9fe0194  bl	#0xfffffff0088b41ac
0xfffffff0088346cc: f40300aa  mov	x20, x0
0xfffffff0088346d0: 80008052  mov	w0, #4
0xfffffff0088346d4: 5f1c0194  bl	#0xfffffff00887b850
0xfffffff0088346d8: 680240f9  ldr	x8, [x19]
0xfffffff0088346dc: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff0088346e0: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff0088346e4: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088346e8: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff0088346ec: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff0088346f0: 08c50091  add	x8, x8, #0x31
0xfffffff0088346f4: 092f8052  mov	w9, #0x178
0xfffffff0088346f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088346fc: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834700: 08950291  add	x8, x8, #0xa5
0xfffffff008834704: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834708: 280f8052  mov	w8, #0x79
0xfffffff00883470c: f42300a9  stp	x20, x8, [sp]
0xfffffff008834710: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008834714: 00003a91  add	x0, x0, #0xe80
0xfffffff008834718: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883471c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834720: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834724: 63b43291  add	x3, x3, #0xcad
0xfffffff008834728: 02008052  mov	w2, #0
0xfffffff00883472c: 81faeb97  bl	#0xfffffff008333130
0xfffffff008834730: 36008052  mov	w22, #1
0xfffffff008834734: 547e8012  mov	w20, #-0x3f3
0xfffffff008834738: 72000014  b	#0xfffffff008834900
0xfffffff00883473c: 9cfe0194  bl	#0xfffffff0088b41ac
0xfffffff008834740: f40300aa  mov	x20, x0
0xfffffff008834744: 80008052  mov	w0, #4
0xfffffff008834748: 421c0194  bl	#0xfffffff00887b850
0xfffffff00883474c: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff008834750: 08313d91  add	x8, x8, #0xf4c
0xfffffff008834754: 892e8052  mov	w9, #0x174
0xfffffff008834758: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00883475c: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834760: 08950291  add	x8, x8, #0xa5
0xfffffff008834764: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008834768: 280f8052  mov	w8, #0x79
0xfffffff00883476c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008834770: f40300f9  str	x20, [sp]
0xfffffff008834774: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008834778: 00003a91  add	x0, x0, #0xe80
0xfffffff00883477c: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008834780: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834784: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834788: 63f83191  add	x3, x3, #0xc7e
0xfffffff00883478c: 02008052  mov	w2, #0
