; Candidate 15174
; ADRP+ADD at VM 0xfffffff009af7374 (fileoff 0x2af3374): page=0x1fe1dc000 add_imm=0xed0

0xfffffff009af72f4: 10a20891  add	x16, x16, #0x228
0xfffffff009af72f8: 10420091  add	x16, x16, #0x10
0xfffffff009af72fc: f10300aa  mov	x17, x0
0xfffffff009af7300: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009af7304: 300ac1da  pacda	x16, x17
0xfffffff009af7308: 100000f9  str	x16, [x0]
0xfffffff009af730c: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff009af7310: 400100b4  cbz	x0, #0xfffffff009af7338
0xfffffff009af7314: 100040f9  ldr	x16, [x0]
0xfffffff009af7318: f10300aa  mov	x17, x0
0xfffffff009af731c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009af7320: 301ac1da  autda	x16, x17
0xfffffff009af7324: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009af7328: e90310aa  mov	x9, x16
0xfffffff009af732c: f10309aa  mov	x17, x9
0xfffffff009af7330: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009af7334: 11093fd7  blraa	x8, x17
0xfffffff009af7338: 7f5600f9  str	xzr, [x19, #0xa8]
0xfffffff009af733c: e00313aa  mov	x0, x19
0xfffffff009af7340: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009af7344: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009af7348: ff2303d5  autibsp	
0xfffffff009af734c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009af7350: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009af7358
0xfffffff009af7354: 208e38d4  brk	#0xc471
0xfffffff009af7358: 74b6ff17  b	#0xfffffff009ae4d28
0xfffffff009af735c: 7f2303d5  pacibsp	
0xfffffff009af7360: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009af7364: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009af7368: fd430091  add	x29, sp, #0x10
0xfffffff009af736c: f30300aa  mov	x19, x0
0xfffffff009af7370: dbffff97  bl	#0xfffffff009af72dc
0xfffffff009af7374: e00eff90  adrp	x0, #0xfffffff007cd3000
0xfffffff009af7378: 00403b91  add	x0, x0, #0xed0
0xfffffff009af737c: e10313aa  mov	x1, x19
0xfffffff009af7380: 02168052  mov	w2, #0xb0
0xfffffff009af7384: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009af7388: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009af738c: ff2303d5  autibsp	
0xfffffff009af7390: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009af7394: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009af739c
0xfffffff009af7398: 208e38d4  brk	#0xc471
0xfffffff009af739c: c0c09f17  b	#0xfffffff0082e769c
0xfffffff009af73a0: 5f2403d5  bti	c
0xfffffff009af73a4: e20301aa  mov	x2, x1
0xfffffff009af73a8: e10300aa  mov	x1, x0
0xfffffff009af73ac: e00eff90  adrp	x0, #0xfffffff007cd3000
0xfffffff009af73b0: 00403b91  add	x0, x0, #0xed0
0xfffffff009af73b4: bac09f17  b	#0xfffffff0082e769c
0xfffffff009af73b8: 5f2403d5  bti	c
0xfffffff009af73bc: 004600d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009af73c0: 00801f91  add	x0, x0, #0x7e0
0xfffffff009af73c4: c0035fd6  ret	
0xfffffff009af73c8: 7f2303d5  pacibsp	
0xfffffff009af73cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009af73d0: fd030091  mov	x29, sp
0xfffffff009af73d4: 21d9fe90  adrp	x1, #0xfffffff00761b000
0xfffffff009af73d8: 21ec2491  add	x1, x1, #0x93b
0xfffffff009af73dc: 024600d0  adrp	x2, #0xfffffff00a3b9000
0xfffffff009af73e0: 42c01491  add	x2, x2, #0x530
0xfffffff009af73e4: 03168052  mov	w3, #0xb0
0xfffffff009af73e8: d4b19f97  bl	#0xfffffff0082e3b38
0xfffffff009af73ec: b00effd0  adrp	x16, #0xfffffff007ccd000
0xfffffff009af73f0: 10821e91  add	x16, x16, #0x7a0
